"","cand_A","cand_B"
"58251",1,8
"58252",8,0
"58253",3,9
"58254",8,5
"58255",3,0
"58256",6,5
"58257",5,0
"58258",7,7
"58259",1,7
"58260",1,8
"58261",9,1
"58262",3,8
"58263",7,5
"58264",3,6
"58265",8,5
"58266",5,5
"58267",4,6
"58268",8,5
"58269",2,2
"58270",5,6
"58271",0,2
"58272",4,4
"58273",8,5
"58274",4,7
"58275",2,8
"58276",3,4
"58277",10,1
"58278",3,6
"58279",7,2
"58280",5,5
"58281",9,0
"58282",3,8
"58283",5,4
"58284",7,6
"58285",5,5
"58286",2,7
"58288",6,4
"58289",5,5
"58290",4,5
"58291",8,5
"58292",8,4
"58293",7,6
"58294",10,0
"58295",8,6
"58296",10,6
"58297",8,3
"58298",4,7
"58299",5,5
"58300",4,6
"58301",8,4
"58302",5,5
"58303",4,9
"58304",1,7
"58305",10,0
"58306",8,4
"58307",0,10
"58308",7,3
"58309",3,9
"58310",4,8
"58311",4,4
"58312",3,3
"58313",0,10
"58314",5,5
"58315",9,1
"58316",8,2
"58317",3,7
"58318",10,2
"58319",7,3
"58320",8,2
"58321",9,4
"58322",10,0
"58323",1,10
"58324",6,9
"58325",3,9
"58326",10,5
"58327",3,7
"58328",2,8
"58329",5,5
"58330",7,4
"58331",8,1
"58332",8,4
"58333",10,3
"58334",3,4
"58335",7,3
"58336",4,6
"58337",2,8
"58338",4,8
"58339",4,1
"58340",6,5
"58341",4,8
"58342",5,7
"58343",5,9
"58344",8,0
"58345",4,8
"58346",8,3
"58347",7,2
"58348",2,6
"58349",8,2
"58350",5,5
"58351",3,5
"58352",8,5
"58353",5,5
"58354",10,4
"58355",7,2
"58356",4,6
"58357",8,6
"58358",7,5
"58359",7,5
"58360",7,0
"58361",2,6
"58362",0,10
"58363",3,7
"58364",6,3
"58365",3,7
"58366",10,0
"58367",6,5
"58368",2,7
"58369",3,7
"58370",5,9
"58371",8,3
"58372",9,4
"58373",3,8
"58374",2,9
"58375",4,8
"58376",10,0
"58377",8,6
"58378",8,3
"58379",10,0
"58380",10,6
"58381",8,1
"58382",7,5
"58383",0,0
"58384",0,10
"58385",8,3
"58386",8,5
"58387",8,6
"58388",6,2
"58389",5,5
"58390",5,6
"58391",3,3
"58392",9,1
"58393",10,4
"58394",10,0
"58395",1,9
"58396",10,2
"58397",3,9
"58398",6,7
"58399",2,10
"58400",5,5
"58401",0,10
"58402",10,4
"58403",0,9
"58404",9,1
"58405",5,4
"58406",7,5
"58407",5,5
"58408",7,5
"58409",5,6
"58410",3,6
"58411",0,10
"58412",2,8
"58413",10,0
"58414",10,1
"58415",10,1
"58416",8,5
"58417",5,5
"58418",10,5
"58419",4,6
"58420",4,6
"58421",0,0
"58422",4,8
"58423",8,1
"58424",2,7
"58425",7,6
"58426",3,8
"58427",3,6
"58428",8,2
"58429",5,2
"58430",3,9
"58431",0,7
"58432",9,1
"58433",3,7
"58434",4,5
"58435",8,4
"58436",5,5
"58437",1,9
"58438",3,2
"58439",3,8
"58440",3,8
"58441",8,2
"58442",5,5
"58443",6,4
"58444",4,8
"58445",2,8
"58446",3,8
"58447",10,2
"58448",2,8
"58449",7,4
"58450",4,7
"58451",6,2
"58452",5,6
"58453",10,0
"58454",4,6
"58455",0,5
"58456",1,7
"58457",2,9
"58458",4,4
"58459",4,6
"58460",10,0
"58461",3,6
"58462",1,6
"58463",2,3
"58464",10,2
"58465",5,6
"58466",8,1
"58467",4,6
"58468",8,7
"58469",3,3
"58470",7,4
"58471",4,7
"58472",5,6
"58473",5,8
"58474",6,1
"58475",7,4
"58476",10,1
"58477",10,4
"58478",5,9
"58480",3,7
"58481",1,8
"58482",1,5
"58483",10,2
"58484",9,2
"58485",0,10
"58486",4,6
"58487",5,5
"58488",5,7
"58489",6,3
"58490",2,9
"58491",6,6
"58492",8,2
"58493",0,10
"58494",10,0
"58495",6,4
"58496",10,0
"58497",8,1
"58498",9,2
"58499",0,8
"58500",1,7
"58501",10,5
"58502",5,5
"58503",4,5
"58504",5,5
"58505",4,3
"58506",10,0
"58507",8,2
"58508",8,4
"58509",9,4
"58510",6,4
"58511",7,10
"58512",10,3
"58513",7,2
"58514",3,7
"58515",5,5
"58516",6,2
"58517",0,10
"58518",5,6
"58519",5,4
"58520",7,3
"58521",2,8
"58522",0,8
"58523",5,4
"58524",4,5
"58525",10,0
"58526",3,8
"58527",9,2
"58528",10,2
"58529",6,5
"58530",8,3
"58531",1,7
"58532",9,0
"58533",4,7
"58534",5,9
"58535",7,5
"58537",10,1
"58538",5,5
"58539",4,5
"58540",8,3
"58541",5,7
"58542",4,3
"58543",10,0
"58544",7,4
"58545",1,5
"58546",6,5
"58547",5,5
"58548",8,1
"58549",8,8
"58550",10,1
"58551",5,3
"58552",2,10
"58553",8,3
"58554",4,5
"58555",2,6
"58556",7,9
"58557",4,7
"58558",8,0
"58559",5,5
"58560",5,5
"58561",2,8
"58562",1,7
"58563",5,5
"58564",9,1
"58565",10,1
"58566",2,2
"58567",5,10
"58568",7,2
"58569",4,3
"58570",8,0
"58571",3,9
"58572",10,6
"58573",5,4
"58574",10,10
"58575",0,9
"58576",0,9
"58577",8,3
"58578",8,3
"58579",4,4
"58580",4,7
"58581",6,1
"58582",3,3
"58583",2,9
"58584",4,7
"58585",5,2
"58586",6,1
"58587",7,4
"58588",10,3
"58589",1,8
"58590",1,10
"58591",5,5
"58592",7,3
"58593",4,6
"58594",3,9
"58595",7,0
"58596",8,1
"58597",8,3
"58598",10,8
"58599",2,8
"58600",5,7
"58601",10,5
"58602",4,5
"58603",5,5
"58604",5,5
"58605",10,5
"58606",0,8
"58607",9,3
"58608",5,5
"58609",9,3
