"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"35696",8,2,2,2,2,2,2
"35697",8,0,0,0,0,3,0
"35699",0,9,3,8,0,0,0
"35700",0,10,6,8,0,0,0
"35701",3,3,3,6,2,2,2
"35702",10,0,0,0,0,0,0
"35703",10,0,0,0,0,0,0
"35704",0,0,0,0,0,0,0
"35706",1,10,8,2,2,1,0
"35707",0,0,0,5,0,0,0
"35709",0,0,0,0,0,0,0
"35711",2,0,0,0,0,1,0
"35719",6,1,1,1,2,2,2
"35720",8,1,3,6,3,5,4
"35721",4,0,3,5,10,10,10
"35722",8,0,0,4,3,6,3
"35723",3,3,4,5,3,3,3
"35724",5,0,2,2,3,3,3
"35725",8,0,1,3,4,4,4
"35726",3,6,6,8,7,3,7
"35727",4,1,1,2,2,4,3
"35728",0,8,0,5,0,0,0
"35729",0,0,0,0,0,0,0
"35730",0,0,0,0,0,0,0
"35731",0,0,7,0,0,0,0
"35732",10,0,0,0,0,0,0
"35733",0,0,0,0,0,0,0
"35735",1,7,3,5,1,1,1
"35736",3,4,3,5,9,1,3
"35737",3,3,3,7,4,2,4
"35738",2,3,3,10,3,2,2
"35739",0,3,4,5,1,0,0
"35740",0,2,4,6,2,0,0
"35741",0,4,9,6,3,0,2
"35742",0,8,6,5,3,2,2
"35743",0,0,0,6,0,0,0
"35744",0,9,5,5,0,0,0
"35746",0,9,5,4,0,0,0
"35747",0,0,0,0,0,0,0
"35748",0,0,0,8,0,0,0
"35749",0,0,3,3,0,0,0
"35750",8,2,2,2,2,2,7
"35751",0,1,4,0,0,0,0
"35752",0,0,0,0,0,0,0
"35753",0,0,0,0,0,0,0
"35755",0,2,0,0,0,0,0
"35756",6,0,0,0,0,0,0
"35757",1,1,0,0,0,0,0
"35758",0,0,0,0,0,0,0
"35759",3,2,4,4,0,2,7
"35760",3,1,2,1,3,2,8
"35761",10,3,2,3,2,2,3
"35762",8,3,3,4,3,3,4
"35763",10,3,1,2,3,3,3
"35765",6,2,2,3,3,0,5
"35766",9,4,3,2,4,4,4
"35767",8,3,4,5,5,5,5
"35768",10,1,0,0,3,4,9
"35769",9,0,0,1,2,3,9
"35770",9,3,2,6,4,5,9
"35771",8,6,4,4,3,5,5
"35772",9,1,2,4,6,4,10
"35773",5,5,3,3,10,6,6
"35774",3,3,4,4,9,4,4
"35775",8,1,1,2,8,5,10
"35776",10,7,5,4,4,3,10
"35777",4,4,3,3,4,4,8
"35778",4,4,3,4,3,4,8
"35779",9,0,0,5,6,6,10
"35780",9,3,2,3,3,3,4
"35781",4,4,5,3,3,4,8
"35782",10,3,4,4,6,5,9
"35783",0,3,3,4,0,0,0
"35784",9,0,0,0,3,4,0
"35785",0,8,8,7,0,0,0
"35786",0,7,0,7,1,0,0
"35787",5,8,2,9,3,3,0
"35789",0,5,4,10,0,0,0
"35790",0,7,6,9,1,0,0
"35791",0,6,5,7,0,0,0
"35792",10,1,1,3,0,0,0
"35793",0,0,0,0,0,0,0
"35794",0,6,6,8,2,0,0
"35795",5,5,3,4,3,0,0
"35796",0,0,0,0,0,0,0
"35797",10,0,0,10,0,0,0
"35798",10,0,0,0,0,0,0
"35799",0,5,5,7,0,0,0
"35801",0,10,10,6,0,0,0
"35802",0,3,0,10,0,0,0
"35803",4,3,3,3,10,4,1
"35804",10,5,6,5,6,8,9
"35805",10,0,5,9,4,8,6
"35806",6,4,3,5,3,5,3
"35807",10,0,1,1,1,8,7
"35808",10,0,0,2,0,7,5
"35809",5,3,3,6,8,2,7
"35810",8,0,0,4,0,6,4
"35811",8,0,3,4,5,5,5
"35812",5,4,4,8,2,3,2
"35813",2,5,5,7,2,2,2
"35814",0,5,5,10,3,0,0
"35815",0,10,8,9,0,0,0
"35816",8,3,3,5,3,3,2
"35817",2,0,6,4,9,2,1
"35818",6,0,0,1,2,3,5
"35819",7,1,1,3,4,7,0
"35822",3,2,5,7,6,4,3
"35826",9,0,0,0,8,4,0
"35827",8,0,1,3,4,3,0
"35828",6,0,3,2,8,0,0
"35829",0,0,0,0,0,0,0
"35830",0,10,8,5,0,0,0
"35831",8,0,0,2,5,8,0
"35832",1,0,0,0,0,0,0
"35833",10,1,1,0,0,4,2
"35834",0,3,3,2,10,0,0
"35835",0,0,10,0,0,0,0
"35836",10,0,2,1,1,4,0
"35837",0,10,2,1,3,0,0
"35838",0,9,7,3,1,0,0
"35839",10,0,0,0,0,6,6
"35840",0,10,0,3,3,0,0
"35841",10,0,0,3,1,5,3
"35842",0,0,0,0,0,0,0
"35843",10,1,0,2,1,5,3
"35844",0,1,10,2,4,0,0
"35845",10,0,1,0,0,6,3
"35846",0,10,0,5,4,1,0
"35847",10,0,0,1,0,4,3
"35848",0,0,0,1,0,0,0
"35849",0,0,3,2,10,0,0
"35850",9,0,1,0,0,5,3
"35851",0,9,1,4,3,0,0
"35852",0,0,10,5,4,0,0
"35853",0,0,0,1,0,0,0
"35854",10,0,0,0,0,4,3
"35855",0,0,3,10,3,0,0
"35856",0,1,2,3,10,0,0
"35857",9,0,0,0,0,5,5
"35858",0,10,0,3,4,0,0
"35859",0,10,0,3,3,0,0
"35860",7,0,0,0,0,0,5
"35861",0,0,0,0,0,0,0
"35862",0,0,0,0,0,0,0
"35863",4,1,2,2,3,2,0
"35864",0,0,0,0,0,0,0
"35865",0,6,0,0,0,0,0
"35866",4,0,0,0,0,0,0
"35867",7,2,2,2,2,2,1
"35869",0,0,0,0,0,0,0
"35870",6,0,0,0,0,0,0
"35871",6,0,0,0,0,0,0
"35872",0,0,0,0,0,0,0
"35878",9,1,1,3,2,5,4
"35882",9,1,1,1,1,4,4
"35888",10,0,0,0,0,0,0
"35889",0,0,0,10,0,0,0
"35890",0,8,5,0,2,0,0
"35893",1,3,6,8,2,1,1
"35898",4,6,5,6,7,3,3
"35899",1,7,9,7,2,1,2
"35900",7,0,2,3,7,10,1
"35901",2,2,4,4,3,1,1
"35902",0,1,3,3,1,0,1
"35903",1,2,7,7,1,1,0
"35904",8,1,1,2,0,6,6
"35905",0,10,9,8,8,0,0
"35906",1,7,9,8,8,0,0
"35907",8,0,0,0,0,9,3
"35908",0,6,9,8,5,0,0
"35909",1,3,7,10,1,1,0
"35910",10,0,1,1,6,6,4
"35911",0,10,5,5,0,0,0
"35912",7,0,0,0,6,7,10
"35920",5,2,6,7,3,3,3
"35925",4,3,5,8,2,3,2
"35927",3,4,3,4,3,3,2
"35930",6,0,0,0,0,2,3
"35931",10,0,0,0,0,4,4
"35932",5,0,0,0,0,3,3
"35933",6,0,0,2,4,3,5
"35934",10,0,0,0,0,3,5
"35935",4,0,0,0,0,2,4
"35936",10,0,0,0,0,2,2
"35937",4,0,0,0,0,0,0
"35938",10,0,0,0,0,0,0
"35939",10,0,0,0,0,2,5
"35940",5,4,4,9,3,3,3
"35943",10,4,4,5,4,5,4
"35944",2,9,3,3,3,3,3
"35946",6,1,1,0,1,0,0
"35947",0,0,0,0,0,0,0
"35948",0,0,0,0,0,0,0
"35949",3,8,1,7,3,2,2
"35951",0,7,0,0,0,0,0
"35952",7,0,0,0,0,0,0
"35954",8,8,10,8,7,8,7
"35955",0,10,9,8,0,0,5
"35956",0,0,0,0,0,0,0
"35957",0,10,10,10,10,0,0
"35959",0,8,10,8,6,1,6
"35960",0,1,3,2,2,0,0
"35961",0,10,8,8,8,1,4
"35963",0,0,6,7,5,0,0
"35966",8,1,2,3,2,4,3
"35972",10,1,1,1,2,6,5
"35980",1,5,3,10,3,1,0
"35981",1,1,1,1,1,1,2
"35982",10,0,0,0,0,5,3
"35983",0,2,4,2,10,0,0
"35984",9,0,0,0,0,5,3
"35985",1,10,1,2,3,0,0
"35986",10,1,0,1,0,1,1
"35987",0,0,1,1,0,1,1
"35988",1,0,10,1,2,0,0
"35989",10,0,0,0,1,5,1
"35990",1,2,1,3,10,0,0
"35991",10,0,1,1,1,4,3
"35992",0,6,4,10,4,1,1
"35993",0,4,10,4,2,0,0
"35994",4,1,0,0,0,0,0
"35995",10,0,0,0,0,0,0
"35996",10,0,0,2,0,0,0
"35997",10,0,0,0,0,0,0
"35998",9,1,1,1,1,0,0
"35999",9,0,0,2,0,0,0
"36000",8,0,0,4,0,0,0
"36001",10,0,0,0,0,0,0
"36002",3,5,9,6,2,1,2
"36003",10,1,1,1,1,4,4
"36004",10,1,1,1,2,7,4
"36005",10,2,2,2,7,7,6
"36006",9,1,1,1,3,6,2
"36011",10,0,0,0,2,7,9
"36013",6,0,0,0,0,0,0
"36014",10,0,0,0,0,8,9
"36016",10,1,1,1,1,1,5
"36017",10,1,1,1,1,1,1
"36019",0,2,3,2,3,3,2
"36020",9,0,0,0,2,4,4
"36021",0,0,0,0,0,0,0
"36022",0,10,9,6,0,0,0
"36023",1,1,1,3,8,2,2
"36024",0,2,2,4,2,2,2
"36025",10,1,1,3,2,4,3
"36027",0,0,0,10,0,0,0
"36029",0,1,1,1,1,1,1
"36032",0,10,7,3,2,0,0
"36034",10,0,0,1,2,2,2
"36035",1,3,3,5,4,3,3
"36036",0,10,4,4,3,1,2
"36037",0,0,0,0,0,0,0
"36038",10,0,0,2,3,3,3
"36040",8,0,0,0,2,10,8
"36041",9,0,1,2,5,5,5
"36042",0,9,7,4,0,0,0
"36043",5,4,4,6,5,5,5
"36044",10,0,1,3,2,4,4
"36045",4,0,0,10,0,0,0
"36046",2,9,9,1,6,2,0
"36047",4,3,3,2,1,1,1
"36048",0,0,0,0,0,0,0
"36049",3,0,0,10,0,0,0
"36050",2,0,0,2,1,0,0
"36051",0,0,0,0,6,0,0
"36052",9,0,0,0,0,0,0
"36053",7,0,0,0,0,0,0
"36057",5,9,8,9,9,0,9
"36059",2,4,5,6,8,6,6
"36060",0,10,10,10,0,0,0
"36061",4,9,6,3,6,4,2
"36062",0,0,0,0,0,0,0
"36063",0,6,5,6,6,2,1
"36064",4,5,3,5,3,3,2
"36065",3,4,4,6,2,2,2
"36066",0,5,0,9,0,0,0
"36067",5,6,6,8,1,1,1
"36068",1,8,4,8,0,0,0
"36069",0,8,3,10,0,3,0
"36071",8,2,2,7,0,7,6
"36072",0,0,0,0,0,0,0
"36073",0,8,4,9,0,0,0
"36074",0,10,3,8,0,0,0
"36075",5,0,0,0,0,0,0
"36076",0,0,0,0,0,0,0
"36077",0,0,0,0,0,0,0
"36078",0,0,4,1,1,1,0
"36079",0,0,0,0,0,0,0
"36080",0,0,0,0,0,0,0
"36081",0,0,0,0,0,0,0
"36082",0,0,0,0,0,0,0
"36083",0,4,0,1,0,0,0
"36084",2,6,2,2,1,0,0
"36085",0,3,5,4,8,10,0
"36086",0,0,0,0,0,0,0
"36087",7,0,0,0,0,0,3
"36089",0,5,5,5,3,0,1
"36090",10,0,0,0,0,0,0
"36091",0,0,0,0,0,0,0
"36092",9,0,0,0,0,0,0
"36093",10,1,5,5,3,8,3
"36094",8,1,4,6,1,10,8
"36095",3,4,5,2,5,4,3
"36096",2,2,3,3,2,2,1
"36097",10,0,2,4,3,9,7
"36098",3,8,5,5,4,5,4
"36099",6,1,3,4,1,10,4
"36100",10,6,5,4,0,8,8
"36101",7,4,0,4,3,10,6
"36102",3,2,3,2,3,2,1
"36103",0,4,4,10,4,3,2
"36104",3,1,3,5,2,5,3
"36105",3,2,3,3,3,5,2
"36106",10,2,2,4,1,8,9
"36108",7,8,1,9,1,3,2
"36109",3,3,2,2,3,9,4
"36110",1,1,1,1,1,1,1
"36111",1,0,3,0,0,0,0
"36112",4,0,0,0,0,0,5
"36113",0,0,0,0,0,0,0
"36114",0,0,0,0,0,0,0
"36115",0,0,0,0,0,0,0
"36116",2,4,2,4,2,3,0
"36117",0,0,0,0,0,0,0
"36118",9,1,3,2,4,2,4
"36120",7,0,0,0,0,0,0
"36122",10,0,0,3,4,4,4
"36124",6,2,2,8,7,10,7
"36126",8,0,0,2,4,4,6
"36130",5,0,0,5,7,6,7
"36133",0,5,0,0,0,0,0
"36134",0,0,0,0,0,0,0
"36137",0,0,0,0,0,0,0
"36138",0,6,5,6,2,0,0
"36139",0,8,5,5,0,0,0
"36140",8,0,0,0,0,0,0
"36141",0,7,8,6,1,1,1
"36142",0,5,5,6,1,0,0
"36143",8,0,0,0,0,7,0
"36144",2,5,5,5,2,1,2
"36145",4,3,3,3,5,4,9
"36146",10,0,0,0,0,0,0
"36147",0,8,8,9,1,0,0
"36148",10,0,0,0,0,0,0
"36149",10,0,0,0,0,0,0
"36150",0,0,0,0,0,0,0
"36151",0,5,5,10,0,0,0
"36152",10,0,0,0,0,0,0
"36153",10,0,0,0,0,0,0
"36154",5,1,3,3,4,6,2
"36157",0,10,0,0,0,0,0
"36158",0,0,0,0,6,0,0
"36159",8,5,5,5,5,5,5
"36160",0,0,0,0,0,0,0
"36161",0,0,0,0,0,0,0
"36163",0,0,0,0,0,0,0
