"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"10437",1,1,1,1,1,1,1,1,1
"10438",0,0,0,5,0,5,5,0,5
"10439",0,0,0,0,0,0,0,0,0
"10442",8,8,6,4,5,3,3,7,3
"10450",0,0,3,0,0,0,0,3,0
"10452",1,1,4,5,3,5,2,1,2
"10457",1,1,1,1,1,1,1,1,1
"10458",0,1,1,1,1,0,1,0,1
"10460",0,0,0,0,0,0,0,0,0
"10463",5,4,0,2,3,2,0,4,8
"10466",1,1,3,4,3,4,0,1,3
"10468",0,0,0,1,0,1,6,0,1
"10469",10,10,8,5,5,5,0,10,5
"10471",0,0,0,0,0,7,2,0,0
"10472",10,7,6,0,0,0,0,4,0
"10473",0,0,1,1,1,7,1,0,0
"10474",0,0,8,0,5,10,0,0,0
"10475",0,0,0,0,0,0,0,0,0
"10476",5,5,5,5,5,5,5,5,5
"10477",0,0,0,0,0,6,0,0,0
"10478",7,7,6,5,2,9,0,9,1
"10479",3,0,0,1,3,6,1,5,3
"10480",10,8,0,0,0,0,0,7,0
"10487",0,0,0,1,1,6,3,0,3
"10493",6,5,2,2,2,3,0,3,2
"10495",0,0,1,4,4,2,10,0,8
"10499",0,0,3,6,0,0,0,0,0
"10500",0,0,4,1,2,0,2,0,2
"10503",5,2,0,4,4,1,1,3,1
"10504",10,10,4,1,3,1,0,3,2
"10507",10,10,7,1,2,1,1,6,1
"10511",3,3,4,5,5,5,5,3,5
"10513",0,0,0,0,0,0,0,0,0
"10514",0,0,0,0,0,0,0,0,0
"10515",0,0,0,0,0,0,0,0,0
"10517",0,0,2,2,2,2,2,0,2
"10518",0,0,0,6,0,0,0,0,0
"10519",0,0,0,0,0,0,0,0,0
"10520",0,0,0,0,0,0,0,0,0
"10521",0,0,0,0,0,0,0,0,0
"10522",0,0,0,0,0,0,0,0,0
"10523",0,0,0,10,7,0,7,0,0
"10524",5,5,3,7,4,3,4,1,4
"10525",1,0,10,10,9,8,7,0,7
"10526",0,0,0,0,0,0,0,0,0
"10527",0,0,0,1,1,3,1,0,1
"10528",0,0,0,0,0,0,0,0,0
"10529",0,0,6,0,0,0,0,0,0
"10530",3,3,0,0,0,0,0,0,0
"10531",0,0,5,5,5,5,5,0,5
"10532",0,0,0,0,0,0,0,0,0
"10533",5,4,5,5,3,3,5,5,5
"10534",5,5,5,5,5,5,5,5,5
"10535",1,0,0,2,2,8,8,1,5
"10536",5,10,0,0,0,0,0,0,0
"10538",0,0,0,0,0,0,0,0,0
"10539",0,0,0,0,0,0,0,0,0
"10540",0,0,0,0,0,0,0,0,0
"10541",0,0,0,0,0,0,0,0,0
"10542",0,0,0,0,0,0,0,0,0
"10543",6,0,0,0,0,0,0,3,0
"10544",7,8,0,0,0,0,0,0,0
"10545",0,0,0,0,0,0,0,0,0
"10546",8,8,0,0,0,0,0,5,0
"10547",3,1,0,0,0,0,0,0,0
"10548",0,0,0,0,0,0,0,0,0
"10549",0,0,0,0,0,0,0,0,0
"10550",8,8,1,1,1,1,1,8,2
"10551",6,6,0,7,0,0,0,7,1
"10552",9,10,4,1,2,1,1,9,0
"10553",9,9,3,2,3,2,1,10,1
"10554",0,0,0,0,0,0,0,0,0
"10555",5,7,8,9,6,4,4,6,4
"10556",0,0,0,0,0,0,0,0,0
"10558",6,7,4,3,6,3,1,4,5
"10560",5,5,4,4,5,5,5,5,5
"10561",1,1,1,4,1,1,4,1,1
"10562",0,0,0,0,0,0,0,0,0
"10565",10,10,2,1,2,1,1,10,1
"10574",0,0,0,0,1,0,0,0,0
"10579",2,2,3,5,2,2,0,1,3
"10580",0,0,0,4,5,6,4,0,4
"10581",8,8,3,2,3,1,0,1,2
"10584",0,0,5,8,5,8,6,0,5
"10588",0,0,3,4,3,7,3,0,4
"10591",0,0,0,0,0,1,0,0,0
"10597",6,5,0,0,0,0,0,0,0
"10599",6,6,0,0,0,0,0,5,0
"10607",0,0,4,7,6,0,0,0,0
"10609",0,0,0,1,1,2,1,0,2
"10612",0,0,0,0,0,5,10,0,8
"10613",7,7,5,0,4,0,0,6,0
"10614",0,0,0,0,0,10,0,0,0
"10617",6,0,7,2,6,0,0,4,3
"10618",5,5,2,0,1,0,0,6,0
"10625",1,1,3,10,3,3,3,3,3
"10630",3,3,3,3,3,6,3,3,3
"10631",1,1,1,7,7,2,1,1,1
"10632",0,0,0,0,0,0,0,0,0
"10633",0,0,0,0,0,0,0,0,0
"10634",0,0,0,0,0,0,0,0,0
"10635",0,0,2,10,3,5,8,0,6
"10637",2,1,6,4,5,6,2,2,6
"10643",0,0,0,0,0,0,0,0,0
"10644",1,1,1,1,1,1,1,1,1
"10645",0,0,0,0,0,0,0,0,0
