"","cand_A","cand_B","cand_C","cand_D","cand_E"
"23168",2,2,2,2,2
"23169",8,1,0,0,1
"23170",9,1,0,0,0
"23171",2,8,5,2,7
"23172",6,6,2,1,1
"23173",5,10,0,0,0
"23174",0,0,5,1,10
"23175",0,7,6,4,7
"23176",0,0,1,0,5
"23177",3,5,2,4,2
"23178",5,7,3,0,2
"23179",8,0,0,0,0
"23180",5,5,5,5,5
"23181",8,5,2,2,2
"23182",5,3,5,0,0
"23183",5,5,5,5,5
"23184",5,5,5,0,5
"23185",0,0,0,0,0
"23186",10,0,0,0,0
"23187",9,4,0,3,0
"23188",5,5,3,5,2
"23189",0,0,9,5,5
"23190",7,5,2,2,3
"23192",10,7,2,2,2
"23194",2,9,3,3,3
"23195",9,8,4,5,1
"23196",4,3,6,5,6
"23197",5,10,5,4,0
"23198",1,1,2,2,3
"23199",2,0,2,1,1
"23200",9,0,0,0,0
"23201",0,5,4,0,5
"23202",0,0,5,0,10
"23203",0,0,3,10,5
"23204",10,0,0,0,0
"23205",5,5,5,5,5
"23206",6,4,1,1,1
"23207",4,3,2,3,2
"23208",1,8,0,4,1
"23209",0,0,0,0,0
"23210",10,0,0,0,0
"23211",2,7,2,3,3
"23212",0,9,5,3,5
"23213",5,3,2,3,2
"23214",1,1,1,1,1
"23215",9,1,1,1,0
"23216",0,5,1,1,5
"23217",0,10,3,3,5
"23218",6,7,4,3,5
"23219",1,2,1,1,2
"23220",2,4,8,6,7
"23221",10,6,0,0,0
"23222",5,0,0,2,2
"23223",0,0,0,0,10
"23224",2,5,3,2,5
"23225",9,0,0,0,0
"23226",10,0,0,3,0
"23227",10,4,1,0,0
"23228",9,0,0,0,0
"23229",8,3,0,3,1
"23231",2,4,8,7,5
"23232",10,0,0,0,0
"23233",10,3,1,2,2
"23234",10,6,0,0,0
"23238",7,0,2,2,0
"23239",1,0,0,7,2
"23240",5,5,4,4,5
"23241",2,4,3,0,0
"23242",9,4,0,0,0
"23243",0,10,0,2,0
"23244",8,6,4,4,2
"23245",1,2,3,9,3
"23246",0,10,0,4,0
"23247",8,3,0,0,0
"23249",6,5,1,2,2
"23250",10,0,0,0,0
"23251",1,0,1,2,0
"23252",2,2,0,1,0
"23253",9,5,0,2,0
"23254",5,3,2,4,0
"23256",10,4,0,3,0
"23257",7,5,3,2,1
"23258",8,5,0,0,0
"23259",5,5,0,0,0
"23260",9,4,0,3,2
"23261",0,9,0,0,0
"23262",5,10,0,0,0
"23263",10,0,0,0,0
"23264",8,0,1,2,2
"23265",0,0,0,0,0
"23266",6,0,0,0,0
"23267",8,2,0,0,0
"23268",5,5,2,5,0
"23269",0,0,0,0,0
"23270",7,4,1,2,0
"23271",0,0,0,0,0
"23272",8,8,2,2,1
"23273",0,0,10,0,10
"23274",10,2,0,0,0
"23275",4,9,4,3,1
"23276",0,5,5,5,5
"23277",5,10,4,3,0
"23278",1,8,5,1,4
"23279",9,6,0,0,0
"23280",0,1,1,1,1
"23281",10,2,4,2,2
"23282",1,4,9,3,3
"23283",8,6,2,2,0
"23284",0,0,0,0,0
"23285",8,5,0,3,0
"23286",10,0,0,0,0
"23287",6,5,5,4,2
"23288",0,10,0,0,0
"23289",8,3,3,2,3
"23290",9,1,1,1,1
"23291",5,5,4,5,2
"23292",6,3,1,2,1
"23293",0,0,5,2,10
"23294",0,0,3,0,2
"23295",10,2,3,2,0
"23296",10,4,0,1,1
"23297",0,5,9,6,9
"23298",4,5,3,4,1
"23299",10,0,0,0,0
"23300",8,0,0,0,0
"23301",7,2,2,2,2
"23302",0,0,0,0,0
"23303",1,3,2,2,2
"23304",2,0,5,8,5
"23305",10,0,0,0,0
"23307",6,0,0,0,0
"23308",0,0,6,4,5
"23310",10,3,0,0,0
"23311",10,0,0,0,0
"23312",10,0,0,0,0
"23313",5,5,5,5,5
"23314",0,0,0,0,0
"23315",10,5,0,0,0
"23316",6,2,2,3,4
"23317",7,3,2,3,1
"23318",8,1,1,1,5
"23320",2,4,3,2,3
"23321",0,3,3,3,4
"23322",8,4,3,3,3
"23323",7,1,0,0,0
"23324",0,10,0,0,0
"23325",0,10,3,2,2
"23327",2,4,1,1,3
"23328",0,5,0,0,0
"23329",0,6,3,2,3
"23330",0,2,10,2,1
"23331",0,2,3,3,3
"23332",0,2,3,3,3
"23333",7,0,0,0,0
"23334",5,0,0,0,0
"23335",10,3,5,5,3
"23336",4,2,2,6,4
"23337",1,5,2,1,1
"23338",0,10,3,0,5
"23339",0,10,0,0,0
"23340",6,4,1,1,1
"23341",0,0,1,0,2
"23342",2,6,5,8,5
"23343",0,3,8,5,6
"23344",5,4,1,3,3
"23345",6,5,5,5,4
"23346",8,5,6,5,5
"23347",0,10,3,4,4
"23348",0,0,0,0,0
"23349",0,8,0,4,0
"23350",1,8,2,2,1
"23351",8,0,0,2,0
"23352",0,6,9,6,6
"23353",0,3,1,1,2
"23354",0,0,0,0,0
"23355",5,5,5,5,5
"23356",4,5,5,8,2
"23357",0,10,0,0,0
"23358",10,5,0,0,0
"23359",2,10,0,0,0
"23360",0,10,4,3,3
"23361",8,6,2,2,0
"23362",6,5,3,2,3
"23363",0,10,5,5,5
"23364",1,10,1,3,1
"23365",6,2,2,3,2
"23366",10,0,0,0,0
"23367",2,10,4,5,4
"23368",5,1,2,4,4
"23369",9,0,0,0,1
"23370",7,3,2,3,0
"23372",10,0,0,0,0
"23373",0,0,5,0,5
"23374",8,4,1,2,1
"23375",3,3,3,3,3
"23377",10,6,1,2,1
"23378",7,4,2,3,4
"23379",2,4,9,7,5
"23380",0,0,0,0,0
"23381",0,1,5,2,4
"23382",10,0,0,2,2
"23383",0,8,3,0,3
"23384",6,4,0,1,0
"23386",0,5,2,2,10
"23387",0,4,0,0,0
"23388",6,5,0,3,2
"23389",1,3,2,2,3
"23390",0,3,4,4,3
"23391",1,8,0,0,0
"23393",7,2,0,4,2
"23394",0,0,7,5,10
"23395",4,2,4,4,3
"23396",6,2,3,2,2
"23397",7,0,0,0,0
"23398",8,3,0,0,0
"23399",1,5,3,2,2
"23400",4,4,4,3,5
"23401",1,7,3,1,1
"23403",6,10,4,2,0
"23405",0,2,7,6,8
"23406",1,1,1,3,2
"23407",6,9,1,5,1
"23408",7,6,4,6,4
"23409",3,9,2,4,2
"23410",2,6,2,2,6
"23412",8,0,0,0,0
"23413",3,6,2,3,2
"23415",10,1,0,0,0
"23416",4,3,0,0,0
"23417",2,3,2,6,5
"23418",3,6,0,2,0
"23419",1,3,10,3,2
"23420",9,5,3,2,1
"23421",7,6,5,4,4
"23422",5,5,5,5,5
"23423",4,4,4,4,4
"23424",0,0,5,5,6
"23425",7,0,0,0,0
"23426",10,3,2,0,2
"23428",0,5,7,3,8
"23429",1,8,1,3,1
"23430",5,3,5,3,4
"23431",0,7,7,3,3
"23432",0,3,4,10,4
"23433",0,7,0,0,0
"23434",5,5,5,5,5
"23435",6,5,5,3,2
"23436",10,0,0,0,0
"23437",10,1,1,1,1
"23439",5,3,3,6,3
"23440",0,3,10,0,8
"23441",0,3,10,0,8
"23443",5,5,5,5,5
"23444",1,3,6,2,8
"23445",0,0,0,0,0
"23446",0,0,1,0,1
"23448",10,1,1,1,1
"23449",1,6,2,1,2
"23450",6,0,0,2,2
"23451",3,1,3,7,1
"23452",7,4,2,4,3
"23453",7,1,1,0,0
"23454",2,10,2,2,3
"23455",5,5,5,5,5
"23456",10,0,0,0,0
"23457",7,4,0,0,0
"23458",0,0,8,8,8
"23459",6,0,0,0,1
"23460",0,7,7,0,10
"23461",0,0,5,0,10
"23462",0,0,2,10,3
"23464",6,4,0,2,1
"23465",10,0,0,0,0
"23466",10,0,0,0,0
"23467",7,4,0,0,0
"23469",2,10,4,4,4
"23470",0,3,10,3,3
"23471",0,10,5,10,0
"23472",3,5,7,6,3
"23473",0,4,2,0,0
"23474",5,5,5,5,5
"23475",10,0,0,0,0
"23476",0,2,5,4,4
"23477",5,2,2,4,2
"23478",0,2,2,7,2
"23479",6,0,0,0,0
"23480",2,3,2,2,1
"23481",7,3,4,3,0
"23482",2,4,3,6,4
"23483",2,9,5,5,3
"23484",8,3,2,1,1
"23485",3,3,3,3,2
"23486",0,5,5,10,5
"23487",0,0,1,2,7
"23488",1,1,1,1,1
"23489",10,6,8,5,8
"23490",8,8,1,0,0
"23491",3,9,8,5,2
"23493",3,9,8,5,2
"23494",2,6,4,4,3
"23495",5,5,5,5,5
"23496",0,5,3,2,2
"23497",0,0,0,0,0
"23499",9,1,0,2,1
"23500",0,3,8,3,3
"23502",0,1,1,0,0
"23503",10,0,0,0,0
"23504",0,0,3,0,7
"23505",0,2,6,5,8
"23506",0,0,4,0,5
"23507",6,8,10,7,8
"23508",6,3,1,1,1
"23509",0,0,0,0,0
"23510",3,0,0,0,2
"23511",8,0,0,0,0
"23513",9,0,0,0,0
"23514",9,0,0,0,0
"23516",0,3,4,3,3
"23517",8,0,0,0,0
"23518",8,5,0,0,0
"23519",0,0,0,0,0
"23520",1,1,1,1,1
"23521",0,0,10,3,5
"23522",0,0,0,0,0
"23524",10,0,0,0,0
"23525",1,1,1,1,1
"23526",5,3,3,3,3
"23527",9,4,0,1,1
"23529",0,3,8,3,2
"23530",9,2,0,2,0
"23531",5,5,5,4,4
"23532",2,4,3,0,3
"23533",1,10,2,2,2
"23534",2,5,3,8,3
"23536",8,1,2,2,3
"23537",5,5,5,5,5
"23538",8,5,5,5,5
"23540",0,2,5,7,6
"23541",0,7,2,2,1
"23542",0,0,0,0,0
"23543",0,10,0,2,0
