"","cand_A","cand_B","cand_C","cand_D","cand_E"
"55593",5,7,3,3,4
"55594",6,3,8,9,4
"55595",2,3,6,6,5
"55598",5,5,5,5,5
"55599",5,5,4,6,5
"55600",2,5,2,8,2
"55602",5,5,4,3,3
"55603",5,1,5,5,2
"55604",0,9,0,0,5
"55607",5,2,1,1,0
"55608",10,0,5,5,5
"55609",6,0,0,2,0
"55610",5,5,5,5,5
"55611",6,2,10,3,0
"55612",3,7,2,3,3
"55613",6,5,3,5,3
"55614",8,3,8,8,5
"55615",3,5,2,2,2
"55616",7,5,5,3,3
"55617",6,8,6,5,6
"55618",2,3,0,1,1
"55619",6,4,7,6,4
"55620",4,3,4,2,10
"55621",5,10,5,5,5
"55622",0,8,2,1,0
"55623",10,0,9,8,5
"55625",3,6,3,2,2
"55626",3,6,5,1,5
"55627",5,5,5,5,4
"55628",10,0,0,5,5
"55629",5,6,5,6,5
"55630",5,8,3,2,0
"55631",6,6,4,5,5
"55632",9,1,3,4,1
"55633",3,5,6,5,4
"55635",5,7,5,5,5
"55636",2,10,2,1,0
"55638",6,0,5,9,0
"55639",4,6,5,5,3
"55640",7,0,2,6,2
"55641",5,5,5,3,3
"55642",9,0,3,9,5
"55643",6,2,3,5,3
"55644",6,3,0,5,3
"55645",10,6,5,6,6
"55646",0,0,5,0,0
"55647",3,4,5,3,3
"55648",3,2,3,3,3
"55649",4,5,4,4,4
"55650",9,4,9,8,7
"55651",5,5,5,5,5
"55652",7,3,5,5,4
"55653",4,8,3,2,5
"55654",10,0,0,8,8
"55655",7,5,6,6,5
"55656",5,5,5,5,5
"55658",5,7,7,5,6
"55659",5,6,5,4,5
"55660",6,4,6,4,4
"55661",0,0,0,0,0
"55662",3,3,2,7,3
"55663",7,0,9,9,3
"55664",0,9,0,0,1
"55667",10,0,5,2,1
"55668",3,8,3,2,3
"55669",7,2,9,8,2
"55670",10,0,8,8,5
"55671",8,0,2,5,3
"55672",5,5,7,6,4
"55673",4,5,0,1,2
"55674",4,4,4,4,4
"55675",6,6,5,5,5
"55676",0,3,1,1,4
"55677",6,5,6,6,5
"55680",0,5,1,0,1
"55681",5,5,5,5,5
"55682",7,5,5,5,5
"55683",3,3,4,4,3
"55684",9,6,9,9,8
"55685",3,2,3,4,3
"55686",6,6,5,5,6
"55687",3,3,3,5,3
"55688",9,2,6,7,5
"55689",8,1,0,4,3
"55690",5,3,7,7,5
"55691",5,5,5,5,5
"55692",5,5,5,5,5
"55693",5,5,5,5,5
"55695",7,4,5,5,5
"55696",3,5,1,1,2
"55697",0,5,0,0,0
"55699",5,5,5,5,5
"55700",7,3,6,7,4
"55701",5,6,5,5,5
"55703",5,5,2,2,3
"55704",5,5,5,5,5
"55705",3,8,1,2,4
"55706",6,5,3,5,4
"55707",1,3,3,3,4
"55708",8,0,3,6,3
"55709",4,5,5,5,6
"55710",5,5,7,7,4
"55713",6,5,4,6,5
"55714",5,5,5,5,5
"55716",5,4,3,6,2
"55717",2,3,1,1,2
"55718",6,1,6,6,4
"55719",8,0,0,3,1
"55720",2,2,5,2,1
"55721",10,0,6,8,5
"55723",4,6,5,4,5
"55724",7,4,3,6,7
"55725",7,3,5,8,4
"55726",8,3,6,8,5
"55727",7,7,6,4,6
"55728",0,7,0,0,3
"55729",3,0,3,5,2
"55731",3,0,3,6,2
"55732",6,0,3,4,3
"55733",6,0,2,3,0
"55734",6,4,5,5,6
"55735",7,0,0,4,2
"55736",1,9,6,1,7
"55737",5,5,5,5,5
"55738",7,5,4,6,6
"55739",5,5,5,5,5
"55741",5,5,5,5,5
"55742",7,4,6,7,6
"55743",5,5,5,5,5
"55744",5,3,7,8,4
"55745",0,5,5,5,5
"55746",3,5,4,4,0
"55747",5,3,5,6,4
"55748",8,0,5,8,0
"55749",6,4,4,5,4
"55750",3,9,5,5,6
"55751",5,5,5,5,5
"55752",9,1,3,4,2
"55753",8,5,4,6,5
"55754",7,3,5,6,3
"55756",5,6,5,7,5
"55758",1,8,3,2,3
"55759",7,7,7,5,3
"55760",8,0,3,5,3
"55762",4,6,5,4,4
"55763",5,6,5,5,3
"55764",1,3,3,0,2
"55765",9,5,4,8,7
"55766",6,5,5,5,5
"55767",5,5,5,5,5
"55768",3,7,5,0,7
"55769",8,0,3,7,3
"55770",5,3,7,7,5
"55771",3,3,5,5,4
"55772",8,3,7,8,6
"55773",5,5,8,4,6
"55774",5,5,5,5,5
"55775",5,7,4,5,7
"55776",6,3,5,5,5
"55777",5,5,5,5,5
"55778",7,5,5,6,6
"55779",8,6,6,7,3
"55782",4,5,4,5,4
"55783",0,1,5,3,1
"55784",5,3,7,6,5
"55785",1,1,1,1,1
"55786",5,3,4,5,3
"55787",7,0,6,6,5
"55789",8,0,1,6,4
"55791",9,7,8,6,6
"55792",8,2,2,0,6
"55793",5,5,5,5,5
"55794",10,5,7,8,8
"55796",4,4,1,3,2
"55798",0,3,4,0,3
"55799",8,3,5,7,5
"55800",6,7,5,5,6
"55801",3,0,3,8,3
"55803",6,6,6,5,3
"55804",4,4,4,3,3
"55805",7,2,3,5,1
"55806",5,6,6,6,5
"55807",4,6,4,5,5
"55808",5,5,5,5,5
"55809",6,2,5,5,4
"55810",5,5,4,4,4
"55811",6,5,5,5,5
"55812",3,3,3,1,3
"55813",5,6,4,4,6
"55814",4,4,7,6,1
"55815",5,5,5,5,5
"55816",6,5,4,4,4
"55817",3,6,3,3,3
"55818",6,3,5,8,4
"55819",5,5,5,5,5
"55820",6,6,3,3,6
"55821",8,5,4,5,5
"55822",1,2,5,1,1
"55823",5,3,5,6,5
"55824",4,4,1,1,5
"55825",0,7,5,3,5
"55826",3,6,0,0,0
"55828",3,3,6,6,4
"55829",9,0,5,8,4
"55833",7,3,7,6,5
"55834",6,0,2,10,3
"55836",6,5,7,7,5
"55837",5,5,4,4,5
"55838",7,3,5,7,5
"55839",8,0,5,5,2
"55840",10,0,3,5,0
"55841",8,2,4,7,2
"55842",2,8,2,2,5
"55843",3,8,1,1,1
"55844",8,5,5,2,3
"55845",8,0,5,6,3
"55846",5,1,3,7,4
"55847",5,5,5,5,5
"55848",0,8,0,0,6
"55849",5,5,5,5,5
"55852",7,1,3,9,3
"55853",5,0,3,6,2
"55854",0,10,1,1,3
"55855",6,1,4,5,2
"55856",0,0,5,0,0
"55857",6,3,2,3,3
"55858",6,5,5,6,5
"55859",6,7,3,4,4
"55861",5,5,6,5,5
"55862",1,5,7,1,5
"55863",4,4,4,4,4
"55864",6,5,7,6,2
"55866",6,3,0,4,5
"55867",3,6,5,4,5
"55869",5,5,5,5,5
