"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"26652",3,8,8,1,3,7,4,6
"26653",0,7,7,0,3,7,3,3
"26655",7,6,3,7,6,3,4,3
"26656",4,4,4,4,4,4,6,4
"26657",8,5,5,6,5,4,5,6
"26658",5,5,5,5,5,5,5,5
"26660",0,5,5,0,0,4,3,3
"26662",5,5,0,4,4,0,3,1
"26663",0,5,10,0,2,4,0,6
"26664",4,3,2,5,4,1,5,3
"26665",7,7,8,5,7,6,5,8
"26666",4,8,9,0,6,6,0,6
"26667",0,0,10,10,10,0,0,0
"26670",10,7,5,6,6,0,3,5
"26671",5,9,7,2,6,8,5,8
"26672",4,7,2,0,4,0,2,0
"26673",0,2,0,3,0,5,5,2
"26674",4,7,7,5,5,4,5,4
"26675",1,8,5,1,5,6,6,2
"26676",3,6,5,3,7,5,2,3
"26677",6,8,7,2,3,5,3,7
"26678",8,7,0,0,9,0,3,0
"26679",5,7,8,1,5,7,1,7
"26680",3,8,8,1,6,3,10,4
"26682",2,8,7,1,7,5,5,4
"26685",6,4,4,2,6,0,4,0
"26687",3,4,5,0,2,3,7,0
"26688",0,7,7,0,7,0,7,0
"26690",4,7,6,0,7,6,5,0
"26691",8,5,4,0,7,1,3,6
"26692",7,7,6,7,10,5,5,6
"26694",6,6,7,0,1,5,3,2
"26695",9,4,2,2,8,0,0,6
"26696",5,5,5,2,5,5,5,0
"26697",6,8,9,5,6,3,3,5
"26699",3,10,7,1,8,5,8,1
"26700",5,6,8,1,4,7,2,9
"26701",9,3,4,0,8,0,0,6
"26704",5,0,0,8,0,0,3,0
"26705",2,7,7,1,4,6,5,5
"26706",2,10,7,0,7,6,4,6
"26707",7,4,8,10,5,2,4,4
"26709",7,7,6,4,10,7,6,4
"26710",1,2,6,0,1,7,3,6
"26711",7,4,1,8,8,0,5,0
"26712",2,8,10,1,2,8,3,5
"26714",9,7,4,3,3,1,6,7
"26715",1,8,7,5,8,2,5,9
"26716",2,0,0,0,6,3,0,0
"26717",9,7,4,5,6,1,1,5
"26718",4,8,8,2,5,5,4,6
"26719",5,10,8,1,6,7,2,3
"26720",0,8,8,0,4,6,3,4
"26721",5,7,5,2,3,5,6,7
"26722",0,5,8,5,0,7,5,6
"26723",2,4,4,0,4,5,4,3
"26724",5,4,0,5,4,0,4,2
"26726",0,0,5,0,5,2,3,3
"26727",0,5,10,0,5,5,5,5
"26728",9,8,3,5,5,1,0,8
"26729",5,5,5,5,5,5,5,5
"26731",0,6,6,0,4,7,3,2
"26732",0,2,2,7,0,5,10,1
"26736",0,8,7,5,8,7,6,5
"26737",8,8,4,2,6,7,3,7
"26738",8,6,6,3,9,3,3,3
"26739",6,4,3,7,5,5,6,6
"26740",9,2,0,3,7,4,8,5
"26741",3,8,8,1,6,7,5,6
"26742",5,5,5,5,8,6,6,5
