"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_I"
"22391",5,5,5,5,5,5
"22395",0,10,9,6,8,9
"22396",3,3,3,3,3,3
"22397",6,4,3,1,3,6
"22398",9,1,5,9,9,2
"22400",8,8,8,8,8,0
"22401",3,6,5,3,2,5
"22402",5,0,0,6,6,0
"22403",0,8,6,0,0,5
"22404",8,5,7,7,5,5
"22405",0,6,4,0,0,5
"22406",9,0,0,7,8,0
"22408",0,10,10,1,1,5
"22409",3,5,5,5,5,5
"22410",0,7,5,0,0,3
"22412",7,1,1,9,7,0
"22413",8,0,0,7,7,0
"22414",0,5,4,0,0,2
"22415",7,5,5,5,7,4
"22417",3,6,8,4,5,6
"22419",5,1,0,4,4,4
"22422",1,5,5,5,5,7
"22423",1,6,5,2,0,4
"22424",4,0,2,3,6,0
"22425",5,5,5,5,5,5
"22426",10,0,0,10,8,0
"22427",0,4,4,3,3,4
"22428",3,7,8,3,4,4
"22429",5,0,0,3,5,0
"22430",6,0,4,4,7,0
"22431",6,4,4,5,6,0
"22432",0,8,7,0,0,6
"22433",2,9,7,5,4,5
"22434",9,0,5,4,7,0
"22435",8,4,4,4,4,4
"22437",6,5,1,3,3,1
"22438",2,8,7,2,3,4
"22439",3,1,2,4,10,1
"22441",5,2,0,2,0,0
"22442",8,1,0,5,10,0
"22443",0,8,7,2,0,6
"22444",0,0,0,0,0,0
"22445",2,8,7,2,2,2
"22446",5,6,6,5,6,5
"22447",3,5,5,3,5,5
"22449",9,5,4,6,6,1
"22450",5,6,7,5,6,5
"22451",0,8,7,5,0,6
"22452",2,9,10,0,1,8
"22455",0,10,7,2,5,6
"22456",0,9,6,3,0,0
"22457",6,0,1,5,1,0
"22458",3,3,3,3,2,2
"22459",5,1,3,4,5,0
"22460",0,9,7,0,0,7
"22461",7,1,2,3,7,1
"22462",8,0,0,5,5,0
"22464",0,5,5,0,0,0
"22465",9,7,8,8,2,1
"22466",5,5,5,4,8,4
"22467",5,0,3,3,7,0
"22468",0,5,5,0,0,8
"22469",0,8,5,3,0,6
"22470",6,4,5,5,4,4
"22471",6,5,6,7,6,0
"22472",1,7,5,3,2,3
"22473",0,7,5,0,0,5
"22474",5,3,3,6,7,2
"22476",0,9,8,5,4,8
"22477",2,4,6,4,4,4
"22478",10,8,10,10,10,6
"22480",5,4,5,3,3,5
"22481",3,5,6,8,5,2
"22482",0,6,7,0,0,5
"22483",3,3,3,3,2,0
"22484",5,5,5,6,5,2
"22485",0,7,5,0,0,7
"22486",5,5,5,5,5,5
"22487",2,3,5,8,5,5
"22489",10,0,0,10,10,0
"22490",4,5,5,4,5,5
"22491",7,7,7,8,8,7
"22492",7,6,6,7,7,6
"22493",5,0,0,3,5,0
"22494",2,2,2,3,3,0
"22497",4,8,6,4,5,5
"22498",5,3,3,3,5,3
"22499",2,3,3,2,4,7
"22503",0,5,5,0,0,5
"22506",4,3,6,6,4,5
"22508",0,5,5,0,1,3
"22509",0,7,4,0,0,2
"22510",5,5,5,5,5,5
"22512",5,5,7,6,3,4
"22513",0,7,5,0,0,3
"22514",0,3,4,0,7,6
"22519",0,7,6,3,4,5
"22521",0,8,6,2,0,8
"22523",5,6,5,6,4,6
"22524",10,3,8,5,0,0
"22526",5,6,5,5,6,3
"22527",0,7,8,0,0,5
"22529",0,8,7,6,0,6
"22530",0,8,6,0,0,2
"22534",4,3,5,4,3,2
"22535",4,6,5,6,4,7
"22536",1,6,5,3,4,5
"22537",0,10,8,0,0,9
"22539",0,3,2,0,0,6
"22540",0,0,2,0,2,2
"22541",5,5,5,6,7,6
"22542",1,3,5,1,3,1
"22543",3,7,6,3,6,0
"22544",7,7,5,4,4,7
"22545",0,7,5,0,0,5
"22546",6,3,4,1,2,7
"22547",0,7,5,3,0,7
"22548",5,5,4,5,5,4
"22549",4,3,5,2,3,6
"22550",7,0,2,7,0,0
"22551",9,0,0,7,8,0
"22552",8,5,7,6,8,0
"22557",1,6,7,3,4,7
"22558",9,0,1,9,9,0
"22560",0,9,5,1,0,6
"22561",2,3,2,5,2,6
"22562",0,10,7,1,2,10
"22563",5,4,1,6,1,1
"22564",4,3,3,9,9,4
"22565",4,5,5,4,5,4
"22567",0,0,5,0,0,10
"22568",0,7,6,0,0,6
"22569",5,0,0,3,2,0
"22571",7,0,4,6,8,0
"22572",2,4,6,4,1,5
"22573",6,4,5,5,7,2
"22574",0,10,5,0,5,10
"22575",0,5,0,0,0,5
"22578",1,8,5,2,0,4
"22579",2,3,2,2,1,0
"22582",0,6,3,3,5,5
"22583",2,6,4,0,2,3
"22585",0,5,5,0,1,5
"22586",0,6,4,0,0,3
"22587",1,8,8,1,8,7
"22588",0,7,4,0,0,5
"22589",0,10,9,0,0,5
"22591",0,8,5,0,0,6
"22592",0,4,3,1,1,4
"22593",1,5,5,5,4,4
"22594",0,6,6,0,0,4
"22595",0,0,0,0,1,2
"22596",6,0,3,4,4,0
"22597",0,6,5,0,0,7
"22598",0,0,3,0,0,1
"22599",2,7,5,3,2,4
"22600",1,2,2,1,2,2
"22602",0,5,3,0,4,4
"22603",7,4,6,8,9,0
"22604",7,0,0,9,8,2
"22605",1,3,3,2,4,5
"22607",0,5,5,0,3,7
"22608",0,8,3,0,0,5
"22609",3,5,1,3,5,0
"22610",0,0,0,0,0,5
"22611",0,7,7,3,8,6
"22612",5,5,5,5,5,5
"22614",0,10,6,0,0,8
"22615",1,8,7,3,1,4
"22616",3,8,7,5,4,6
"22619",0,6,5,0,0,7
"22620",2,3,3,2,2,5
"22621",0,5,1,0,0,8
"22622",0,8,6,1,1,6
"22623",0,0,8,0,0,5
"22624",4,3,4,5,4,1
"22625",3,2,3,5,5,3
"22626",0,7,3,1,1,5
"22628",0,4,6,0,3,5
"22629",9,4,3,8,7,1
"22630",0,3,5,0,0,3
"22631",2,5,5,0,5,5
"22632",0,2,0,1,0,7
"22633",0,9,6,0,0,6
"22634",0,7,6,0,5,6
"22636",8,0,0,5,8,0
"22637",3,5,5,5,5,5
"22640",0,7,5,5,5,6
"22641",1,1,7,3,1,7
"22643",0,8,6,0,3,7
"22644",1,4,4,3,5,5
"22646",0,5,0,5,5,7
"22648",1,7,5,1,1,8
"22649",5,7,6,4,5,7
"22650",0,5,2,0,4,6
"22651",0,4,4,0,1,4
"22652",6,8,7,8,7,4
"22653",0,10,7,4,1,5
"22654",0,1,1,1,0,5
"22655",4,5,6,5,4,4
"22656",0,5,5,5,5,7
"22657",0,5,2,0,0,7
"22658",3,5,5,3,5,5
"22661",0,3,1,0,0,3
"22662",5,5,5,5,5,5
"22663",0,7,6,0,0,6
"22664",0,5,1,0,0,6
"22665",0,0,0,0,0,0
"22666",2,2,2,2,1,4
"22667",0,2,3,3,3,6
"22668",5,5,5,5,5,6
"22670",0,7,7,2,7,7
"22671",0,8,6,5,0,6
"22672",0,9,5,0,0,8
"22675",0,8,6,0,0,8
"22676",2,5,4,2,2,5
"22678",4,7,7,4,4,5
"22679",2,4,4,2,2,4
"22681",0,4,3,0,1,4
"22682",0,7,1,0,4,7
"22683",2,7,6,3,3,6
"22684",1,3,3,2,2,3
"22685",0,6,8,5,4,7
"22686",5,2,5,5,2,2
"22687",0,6,4,1,2,5
"22688",0,7,5,6,5,8
"22689",0,6,0,0,0,5
"22690",1,7,6,1,1,7
"22692",1,5,5,3,3,7
"22693",0,2,2,0,0,8
"22694",3,3,3,5,4,6
"22695",7,7,5,6,5,8
"22696",0,5,6,4,5,7
"22697",5,6,6,4,5,5
"22698",0,6,5,2,5,7
"22699",0,7,8,2,3,4
"22700",0,7,6,1,1,7
"22701",0,5,5,0,6,7
"22702",0,5,5,0,0,2
"22704",0,7,6,0,0,7
