"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"21049",6,0,3,0,1,0,1,7
"21050",5,5,3,3,5,5,5,5
"21051",2,8,0,2,1,3,0,2
"21052",1,1,0,1,0,1,1,6
"21053",2,4,0,2,4,2,1,7
"21054",1,1,1,1,1,1,1,1
"21055",5,5,8,2,0,3,4,1
"21056",2,6,0,1,1,6,0,2
"21057",3,5,4,2,2,2,6,5
"21058",4,2,0,1,8,1,2,3
"21059",8,0,0,4,8,0,5,0
"21060",0,0,0,0,1,0,0,0
"21061",0,0,0,0,0,0,0,0
"21063",1,1,1,1,1,1,1,1
"21064",5,4,3,2,3,4,2,4
"21065",5,1,0,2,4,2,3,2
"21066",0,5,0,2,3,7,2,3
"21067",0,0,0,0,6,0,0,0
"21068",1,1,0,1,1,1,1,3
"21069",2,6,0,6,2,6,1,7
"21070",1,1,0,2,1,6,0,5
"21071",1,2,1,1,0,0,0,2
"21072",0,8,0,5,5,10,0,8
"21073",3,4,0,3,3,7,1,4
"21074",3,2,0,0,2,2,7,2
"21075",0,6,0,7,0,6,0,0
"21077",0,10,0,10,2,6,0,1
"21078",5,2,3,1,3,1,6,2
"21079",6,3,1,4,9,3,4,5
"21080",6,3,3,0,3,0,3,3
"21081",1,3,3,0,0,0,1,2
"21082",6,3,0,3,4,3,3,3
"21083",0,4,0,0,0,6,0,6
"21084",0,2,0,2,0,4,0,0
"21085",1,5,0,2,0,9,0,8
"21087",4,5,0,5,0,6,5,4
"21088",0,5,3,4,4,4,4,4
"21089",0,5,0,0,0,0,0,5
"21090",2,10,2,8,2,9,2,6
"21091",2,2,0,1,3,2,1,3
"21092",9,9,10,9,9,9,9,1
"21093",5,3,0,3,1,4,0,3
"21094",2,2,2,2,3,3,2,3
"21095",1,1,0,0,0,0,0,0
"21097",4,1,0,10,1,0,0,2
"21098",2,1,0,1,3,0,2,0
"21099",7,7,1,1,1,3,5,7
"21100",5,4,0,6,4,7,1,1
"21101",3,0,0,0,5,0,0,3
"21102",4,4,0,4,2,2,2,4
"21103",2,3,0,3,2,8,1,5
"21104",1,7,1,0,0,0,0,10
"21106",4,1,0,0,4,0,0,5
"21107",1,1,0,1,1,1,1,1
"21108",0,10,4,3,0,3,0,4
"21109",5,5,0,4,4,4,5,4
"21110",7,0,1,0,5,1,6,2
"21111",1,5,3,1,0,1,1,1
"21112",7,3,0,4,3,4,2,2
"21113",6,0,0,3,1,2,2,0
"21114",0,8,4,4,3,4,0,3
"21115",3,0,6,4,4,1,2,6
"21117",6,1,0,2,5,1,2,2
"21118",4,4,0,2,2,3,1,7
"21119",4,4,0,1,7,0,3,1
"21120",0,8,0,2,0,4,0,5
"21121",0,2,0,2,3,1,1,4
"21122",4,4,0,4,3,5,1,1
"21123",7,0,0,0,0,0,5,0
"21124",0,0,0,0,1,0,0,0
"21125",0,5,0,5,8,6,0,0
"21126",7,2,0,6,6,2,5,5
"21127",3,0,0,0,0,2,0,0
"21128",1,0,0,0,0,1,1,1
"21129",1,0,0,0,1,0,0,0
"21130",2,9,2,5,4,7,2,5
"21131",1,1,0,0,8,0,1,0
"21132",3,4,0,2,1,6,1,4
"21133",4,6,0,6,5,8,2,5
"21134",6,5,0,3,3,3,1,1
"21136",1,3,0,0,0,0,0,2
"21137",3,5,1,4,3,3,3,8
"21138",3,5,0,6,2,6,1,2
"21139",5,3,0,1,2,1,2,3
"21140",2,6,0,0,2,5,0,3
"21141",7,0,0,0,10,0,0,0
"21142",4,3,3,1,3,1,2,5
"21143",9,2,0,1,0,1,8,1
"21144",1,1,0,0,1,0,1,1
"21145",3,5,1,5,3,6,2,2
"21146",0,7,0,5,0,4,0,0
"21147",0,1,8,0,1,0,0,0
"21148",3,0,0,0,2,0,1,0
"21149",5,10,9,3,3,3,5,4
"21150",0,8,0,3,5,5,0,7
"21152",0,6,0,1,6,1,1,1
"21154",6,5,0,3,3,2,1,4
"21155",5,3,0,4,2,2,2,3
"21156",4,7,2,7,2,7,6,7
"21157",1,5,0,4,4,6,0,2
"21158",7,8,0,6,2,1,1,2
"21159",7,2,0,1,7,4,1,0
"21160",9,4,0,2,6,2,5,2
"21161",7,7,10,8,10,8,7,7
"21163",0,0,0,0,0,0,0,0
"21165",0,10,0,0,5,1,0,1
"21166",4,2,0,4,4,3,2,5
"21167",2,2,0,1,1,1,0,3
"21168",0,0,1,0,1,0,0,1
"21169",3,5,0,3,3,0,9,0
"21170",2,5,3,0,3,0,5,5
"21171",7,1,0,5,3,3,4,3
"21172",7,2,1,2,3,2,1,3
"21173",0,4,0,1,1,0,0,2
"21174",6,0,0,7,6,3,0,0
"21175",5,6,0,2,1,3,0,1
"21176",0,5,0,1,1,3,0,0
"21177",5,2,1,0,0,0,2,4
"21178",4,0,0,0,0,0,0,0
