"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_G"
"18984",8,0,6,3,4,4
"18986",8,0,3,6,9,7
"18988",6,0,7,0,0,0
"18990",6,0,4,9,4,9
"18991",5,3,3,5,3,3
"18992",5,6,8,1,1,1
"18993",0,5,6,5,0,2
"18994",2,4,0,10,5,2
"18995",7,0,0,7,6,0
"18996",8,0,1,5,3,2
"18997",1,9,2,9,2,4
"18998",5,2,5,7,5,6
"18999",0,10,0,5,0,0
"19000",5,3,5,3,4,6
"19001",7,1,4,5,5,8
"19002",4,7,3,5,7,3
"19003",2,9,5,2,5,2
"19004",4,4,3,3,7,4
"19005",5,0,7,4,5,4
"19006",10,0,5,1,5,5
"19007",7,0,5,0,2,0
"19008",2,0,2,7,3,4
"19009",6,0,1,4,7,1
"19010",0,5,3,7,7,6
"19011",5,8,7,8,0,2
"19012",5,5,5,5,5,5
"19014",4,9,7,1,1,3
"19015",0,0,0,8,1,8
"19017",5,4,4,4,4,3
"19018",9,0,1,8,7,8
"19019",5,0,0,10,0,5
"19020",10,0,0,10,0,0
"19021",6,8,8,5,4,3
"19022",2,10,2,0,0,1
"19023",7,0,2,0,1,3
"19024",5,0,0,2,5,5
"19025",5,2,2,9,6,4
"19026",3,7,5,3,4,2
"19027",6,0,5,0,2,6
"19029",0,0,0,10,6,0
"19030",4,9,7,3,2,5
"19031",9,0,5,9,5,8
"19032",3,0,3,7,5,4
"19033",5,2,4,5,5,5
"19034",0,8,0,0,0,0
"19035",5,0,5,8,7,7
"19036",9,0,5,2,4,3
"19037",5,0,4,6,6,6
"19038",5,0,10,0,0,2
"19039",1,9,5,1,5,5
"19040",2,8,5,2,6,5
"19041",5,6,10,5,0,0
"19042",7,0,5,0,1,2
"19043",9,0,5,5,6,5
"19044",5,0,0,0,3,6
"19046",5,2,2,7,7,3
"19047",5,0,0,0,8,5
"19048",6,1,2,4,6,5
"19049",0,10,9,3,0,0
"19051",8,0,7,3,3,8
"19052",5,0,4,3,3,0
"19053",5,5,5,5,5,5
"19054",6,5,6,5,2,5
"19055",0,0,0,0,0,10
"19056",5,2,5,5,5,5
"19057",8,0,1,2,7,8
"19058",0,0,0,8,3,3
"19060",7,8,7,5,6,2
"19061",5,0,5,0,0,0
"19062",7,2,5,8,4,4
"19063",5,0,3,2,2,6
"19064",5,0,7,1,2,2
"19065",0,0,0,6,0,10
"19066",0,0,0,10,2,10
"19067",2,0,8,9,1,3
"19069",1,1,1,8,2,1
"19070",9,0,0,8,8,8
"19071",7,0,5,6,4,5
"19072",7,0,8,0,2,0
"19073",3,0,0,8,5,5
"19074",5,5,5,5,5,5
"19075",4,0,0,2,2,4
"19076",6,2,4,0,4,5
"19077",8,0,7,6,6,4
"19078",3,10,6,2,0,2
"19079",4,0,5,0,4,3
"19080",0,10,0,0,0,5
"19081",5,5,5,5,6,0
"19082",5,0,0,8,8,7
"19083",1,5,1,9,6,9
"19084",5,3,0,6,6,7
"19085",2,0,2,7,7,7
"19086",2,2,3,8,2,4
"19087",3,6,3,1,1,2
"19088",5,6,8,3,2,8
"19089",4,5,7,3,3,4
"19090",0,0,0,10,8,3
"19091",10,0,0,0,10,5
"19092",7,1,7,3,7,7
"19093",2,7,0,0,4,1
"19094",0,9,2,0,3,3
"19095",0,8,0,5,5,0
"19096",4,6,3,4,4,3
"19097",0,10,0,5,0,0
"19098",5,5,5,2,5,5
"19099",0,0,0,10,10,0
"19100",9,0,8,0,9,7
"19101",8,0,1,7,8,8
"19102",6,0,2,10,5,0
"19103",5,0,5,1,1,5
"19104",9,0,2,7,8,9
"19105",7,0,3,5,6,5
"19106",9,3,5,3,5,5
"19107",10,0,0,10,0,0
"19108",5,0,0,8,3,5
"19109",5,0,6,0,5,5
"19111",0,0,0,0,0,0
"19112",9,1,3,3,8,3
"19113",7,2,6,2,6,2
"19114",6,0,2,8,7,9
"19115",1,0,0,2,8,5
"19116",7,0,7,2,4,4
"19117",8,0,5,1,6,0
"19119",1,0,0,8,7,5
"19120",10,0,10,0,0,2
"19121",2,0,0,7,5,6
"19122",8,9,7,6,6,6
"19123",5,7,10,7,0,5
"19124",0,0,0,10,0,0
"19125",5,5,5,5,5,5
"19126",3,8,5,9,7,10
"19127",0,10,1,0,0,0
"19128",0,8,6,8,4,0
"19129",3,3,3,3,3,3
"19130",4,0,10,0,2,0
"19131",6,2,3,2,5,8
"19132",5,0,7,0,0,2
"19133",6,2,4,5,5,7
"19134",10,0,3,5,2,3
"19135",5,0,5,0,0,0
"19136",6,2,6,2,6,3
"19137",7,6,4,4,4,0
"19139",0,0,0,0,4,4
"19140",5,0,10,3,0,3
"19141",8,0,5,4,5,5
"19142",9,0,7,0,4,4
"19143",7,5,7,0,5,0
"19144",6,0,7,1,5,6
"19145",5,0,0,8,1,7
"19146",5,3,5,3,3,5
"19147",8,0,4,0,3,3
"19148",1,4,1,1,1,1
"19149",2,6,9,3,0,4
"19150",9,0,1,10,10,10
"19153",6,0,3,4,6,5
"19154",2,0,0,8,6,10
"19156",7,0,5,10,8,1
"19158",7,0,8,4,3,3
"19159",5,1,1,8,6,7
"19160",3,8,7,3,3,3
"19161",0,10,0,1,1,5
"19163",7,1,5,7,7,7
"19164",5,0,2,2,2,10
"19165",5,0,3,2,2,5
"19166",3,0,1,7,4,5
"19167",8,0,10,0,2,1
"19168",7,3,9,5,5,0
"19169",7,1,8,0,2,4
"19170",5,0,4,7,7,8
"19171",9,2,7,1,5,8
"19172",7,8,8,3,4,0
"19173",3,5,0,5,0,2
"19174",5,0,1,7,7,7
"19175",5,4,5,5,4,5
"19176",5,6,4,6,4,1
"19178",3,9,6,3,5,5
"19179",6,0,5,9,5,5
"19180",5,5,5,2,5,5
"19181",0,5,3,3,0,0
"19182",5,2,7,1,2,4
"19183",6,0,7,0,5,5
"19184",6,0,8,0,2,3
"19185",7,0,3,3,0,6
"19186",7,0,7,0,4,6
"19187",4,8,2,5,4,6
"19188",1,1,2,9,4,4
"19189",2,10,5,3,3,7
"19190",1,0,0,2,5,2
"19191",2,0,0,7,5,7
"19192",6,0,6,7,6,6
"19193",1,0,1,8,4,3
"19194",5,0,5,5,5,5
"19195",5,5,5,5,5,5
"19196",5,0,0,0,0,0
"19197",0,0,0,0,0,4
"19198",5,0,2,6,6,2
"19199",1,1,1,5,5,5
"19201",8,1,7,2,3,1
"19202",8,1,2,2,2,2
"19203",7,0,5,3,3,5
"19204",0,8,0,1,3,3
"19205",7,0,3,5,7,5
"19207",7,0,9,1,7,1
"19208",8,2,1,2,0,7
"19209",5,0,5,3,5,2
"19210",1,8,3,1,1,5
"19211",0,9,0,5,0,0
"19212",5,0,6,3,4,5
"19214",2,8,7,8,8,5
"19215",2,7,4,8,6,5
"19216",2,0,2,9,8,5
"19217",8,0,2,0,5,5
"19218",0,5,0,5,0,5
"19219",3,0,2,9,5,5
"19220",5,0,8,0,2,2
"19221",10,0,8,4,4,5
"19222",5,0,1,5,9,9
"19223",6,1,8,1,3,7
"19224",5,0,2,5,6,3
"19225",3,0,5,0,1,3
"19226",3,4,5,5,5,3
"19227",0,8,2,4,2,1
"19228",2,4,7,0,0,0
"19229",0,2,5,9,7,6
"19230",6,0,4,6,8,8
"19231",5,5,4,2,5,4
"19232",5,1,2,7,1,2
"19233",10,0,3,10,10,6
"19234",5,0,10,0,0,0
"19235",8,4,7,1,3,4
"19236",8,0,5,6,5,2
"19237",0,0,0,6,3,0
"19238",3,0,0,10,5,3
"19239",0,0,7,0,2,0
"19240",6,1,9,0,0,1
"19241",6,0,5,7,5,4
"19242",0,2,0,3,7,0
"19243",8,0,0,8,10,0
"19244",5,0,2,7,8,5
"19245",6,3,5,5,5,5
"19246",0,10,2,0,0,7
"19247",3,10,4,1,2,3
"19248",5,5,1,5,1,3
"19249",6,0,5,8,8,8
"19250",6,0,5,0,5,5
"19251",4,6,3,4,2,2
"19252",10,4,4,4,6,4
"19253",1,0,0,10,7,10
"19254",7,2,4,5,5,4
"19255",8,0,7,0,5,2
"19256",9,0,9,5,7,9
"19257",0,0,0,3,5,3
"19258",7,0,3,9,9,9
"19259",6,0,0,7,1,4
"19260",4,0,3,8,9,6
"19261",5,0,8,4,5,5
"19262",5,0,8,7,3,5
"19264",5,0,0,10,5,7
"19265",5,0,0,8,8,8
"19266",7,0,5,0,5,5
"19268",4,0,3,8,8,7
"19269",8,0,5,3,8,10
"19270",7,0,6,0,0,7
"19271",5,5,5,3,3,3
"19272",0,8,0,0,0,0
"19273",6,2,7,1,3,4
"19274",1,10,2,3,3,6
"19275",5,4,5,4,5,6
"19276",2,1,9,0,3,0
"19277",1,1,1,10,5,2
"19278",2,8,2,8,2,5
"19279",5,8,3,7,5,5
"19280",5,1,2,2,6,6
"19281",5,1,3,9,7,7
"19282",7,1,4,4,6,5
"19283",9,1,3,10,5,3
"19285",5,5,5,5,5,1
"19286",2,0,0,1,2,3
"19287",5,1,2,10,6,10
"19288",4,0,3,8,5,4
"19289",7,0,4,3,4,5
"19290",6,0,5,4,5,4
"19291",10,0,1,0,4,1
"19292",6,3,7,6,5,6
"19293",8,0,8,0,8,5
"19294",8,0,7,0,5,3
"19295",5,0,4,5,4,6
"19296",10,0,7,0,0,5
"19297",0,10,0,0,0,0
"19298",0,10,0,0,0,0
"19299",5,5,6,7,5,2
"19300",7,0,3,8,7,5
"19301",0,9,0,0,0,0
"19302",6,1,6,5,4,5
"19303",8,0,6,0,7,6
"19304",6,0,4,5,3,10
"19305",5,0,3,5,6,6
"19306",7,0,2,6,6,6
"19307",0,0,0,0,0,0
"19308",7,0,2,2,8,8
"19309",1,10,4,3,3,1
"19311",0,3,5,6,0,6
"19312",0,0,0,10,7,6
"19313",9,1,5,2,4,1
"19314",5,3,8,0,2,5
"19315",6,1,7,4,2,1
"19316",7,0,9,0,2,2
"19317",7,2,10,1,1,2
"19318",5,0,4,4,2,2
"19319",9,0,2,7,9,9
"19320",0,0,0,8,5,6
"19321",6,0,7,6,5,7
"19322",0,1,7,7,1,1
"19323",10,0,5,0,5,5
"19324",10,0,0,0,0,7
"19325",8,0,1,7,6,8
"19326",3,0,1,10,9,7
"19327",0,7,7,5,0,6
"19330",5,5,8,0,2,1
"19332",4,9,4,0,4,3
"19333",5,0,0,0,0,4
"19334",0,0,0,8,2,6
"19335",8,0,5,5,5,2
"19336",1,0,0,9,3,1
"19337",2,0,2,5,5,8
"19338",1,7,2,5,0,2
"19339",10,0,5,4,8,10
"19340",5,0,1,5,5,5
"19341",0,6,7,2,2,7
"19342",1,10,1,4,1,1
"19343",6,0,1,6,7,7
"19344",5,5,5,7,5,5
"19345",5,10,5,5,5,5
"19346",5,5,5,5,5,5
"19347",3,0,8,2,3,1
"19348",7,0,0,10,7,5
"19349",5,1,3,7,5,6
"19350",5,0,5,8,8,8
"19351",5,0,4,7,5,10
"19352",3,2,5,5,5,5
"19353",8,0,5,0,1,0
"19354",8,0,2,0,5,4
"19355",3,0,2,8,5,5
"19357",2,8,3,0,4,5
"19358",5,0,1,5,5,6
"19360",6,0,2,5,6,6
"19361",5,0,0,10,4,4
"19362",8,6,9,5,1,6
"19363",5,0,6,0,1,0
"19364",0,0,0,5,0,8
"19365",10,0,8,2,5,4
"19366",7,3,5,5,7,6
"19367",6,6,5,4,6,5
"19368",5,0,3,7,7,9
"19369",7,0,3,5,3,7
"19370",9,0,4,4,3,6
"19371",5,5,7,2,3,2
"19372",7,2,5,7,2,5
"19373",3,0,2,8,7,7
"19374",0,10,0,0,0,5
"19375",6,8,1,7,7,0
"19376",5,0,6,0,0,5
"19377",5,0,5,2,3,5
"19378",0,0,0,1,0,0
"19379",3,0,2,5,0,3
"19380",0,1,2,7,0,2
"19381",5,5,5,5,5,3
"19382",0,0,0,0,0,0
"19383",3,2,3,6,4,5
"19384",4,0,8,0,0,3
"19385",3,0,0,10,3,3
"19386",4,2,3,4,5,2
"19387",3,0,3,4,8,4
"19388",4,0,2,3,8,5
"19389",6,0,7,0,3,3
"19390",6,0,6,2,0,1
"19391",7,1,5,3,5,5
"19392",2,0,2,9,9,6
"19393",5,0,2,5,3,1
"19395",5,0,1,9,5,1
"19396",7,0,6,3,2,5
"19397",0,0,0,10,0,10
"19398",10,0,2,3,3,7
"19399",0,5,0,5,0,5
"19400",5,1,5,7,5,5
"19401",10,0,7,0,6,6
"19402",6,0,4,0,3,5
"19403",0,0,0,0,0,0
"19404",9,0,4,5,7,4
"19405",6,1,6,10,6,8
"19406",5,0,4,6,4,3
"19407",4,0,7,0,3,2
"19408",8,0,0,0,0,5
"19409",5,5,7,7,5,6
"19410",10,7,8,0,0,7
"19411",5,9,8,0,0,4
"19412",1,8,5,2,2,4
"19413",8,0,8,1,3,2
"19414",2,0,2,2,2,2
"19415",7,0,3,5,8,7
"19416",6,0,5,1,5,5
"19417",5,0,1,2,5,0
"19418",5,0,0,7,6,10
"19419",0,7,2,7,1,5
"19420",0,0,0,0,0,0
"19421",9,0,2,7,7,3
"19422",6,3,6,4,6,5
"19423",9,0,9,0,0,2
"19424",3,3,3,3,3,3
"19425",0,0,8,0,0,0
"19426",5,0,7,0,1,1
"19427",0,0,0,0,0,0
"19428",5,0,0,7,3,2
"19429",0,0,0,10,5,4
"19430",7,0,7,3,5,3
"19431",5,0,2,5,6,4
"19432",3,3,3,3,3,3
"19433",10,0,5,0,3,0
"19434",5,0,2,7,2,3
"19435",0,5,10,1,0,0
"19436",5,5,5,5,5,5
"19437",0,1,2,10,3,2
"19438",5,8,5,4,4,5
"19439",7,0,4,5,4,5
"19440",2,0,0,3,5,7
"19441",5,9,4,4,1,3
"19442",2,1,2,8,3,4
"19443",4,6,4,8,7,5
"19445",0,0,0,0,0,0
"19446",5,0,3,10,10,9
"19447",7,0,2,6,7,5
"19449",8,0,0,0,5,0
"19450",5,6,0,6,3,6
"19451",5,5,5,5,5,5
"19452",0,0,0,4,3,5
"19453",7,0,2,9,7,7
"19454",5,4,5,4,4,6
"19455",5,5,6,5,4,3
"19456",0,10,0,0,0,0
"19457",10,0,8,0,0,0
"19458",4,0,2,5,5,4
"19459",0,0,0,8,5,5
"19460",3,0,3,3,0,0
"19461",8,0,2,6,8,9
"19462",5,0,1,1,2,1
"19463",10,0,4,4,5,3
"19464",0,8,0,8,0,2
"19465",5,0,5,7,5,7
"19466",8,0,6,7,7,5
"19467",1,9,4,3,3,4
"19468",5,4,6,2,3,4
"19469",0,0,2,4,2,6
"19470",7,1,5,2,2,8
"19471",0,10,0,2,0,3
"19472",6,0,2,2,8,8
"19473",5,0,3,0,3,3
"19474",0,7,0,0,7,4
"19475",7,0,3,7,6,6
"19476",10,0,1,0,5,5
"19477",6,0,2,3,4,5
"19478",6,0,6,0,5,0
"19479",9,0,3,5,5,5
"19480",0,6,9,0,3,3
"19481",5,0,1,10,7,5
"19482",0,10,0,0,0,0
"19483",7,0,2,3,3,5
"19485",5,5,5,5,5,1
"19486",8,0,0,7,7,7
"19488",8,0,2,6,6,6
"19489",0,4,2,6,2,3
"19490",0,5,0,6,3,0
"19491",10,0,5,0,8,7
"19493",8,0,1,10,0,5
"19494",0,0,0,10,8,8
"19495",6,1,6,2,6,3
"19496",0,10,0,7,1,5
"19497",0,5,0,5,0,0
"19498",5,5,5,5,5,5
"19499",7,0,0,7,8,10
"19500",3,3,4,2,2,5
"19501",3,0,6,8,2,4
"19502",4,7,6,4,5,0
"19503",0,0,0,10,5,8
"19504",0,0,0,6,0,5
"19505",7,0,0,2,4,3
"19506",0,5,0,9,3,5
"19507",8,0,0,5,8,8
"19508",8,0,4,8,7,9
"19509",0,0,3,7,5,5
"19510",3,0,3,1,2,8
"19511",5,5,5,5,10,5
"19512",0,0,0,10,3,10
"19513",8,0,4,3,3,4
"19514",8,8,5,5,5,5
"19515",0,10,0,0,0,0
"19516",1,2,2,0,0,5
"19517",3,0,3,8,3,6
"19518",5,6,6,3,3,3
"19519",3,2,4,2,2,2
"19520",0,8,2,6,2,2
"19521",2,0,4,8,4,2
"19522",6,0,5,7,6,7
"19523",6,0,2,7,8,8
"19524",5,0,3,3,4,3
"19525",2,9,3,8,4,4
"19526",0,0,0,2,0,0
"19527",0,0,7,0,0,5
"19528",3,1,1,10,5,8
"19529",5,0,6,2,3,3
"19530",6,0,4,0,4,0
"19531",5,0,8,0,2,2
"19532",0,8,10,0,0,0
"19533",8,0,0,8,9,0
"19534",8,0,2,4,6,5
"19535",6,0,2,2,6,5
"19536",7,0,5,6,6,6
"19537",10,0,5,5,3,5
"19538",10,0,3,3,6,7
"19539",8,0,4,4,7,0
"19540",5,0,3,8,9,10
"19541",6,0,4,0,6,4
"19542",7,0,0,7,5,9
"19543",6,0,2,6,6,8
"19544",7,2,2,0,1,3
"19545",4,8,3,1,2,1
"19546",7,2,5,2,5,3
"19547",4,5,3,5,4,7
"19548",2,5,0,5,2,5
"19549",5,8,5,5,5,8
"19550",0,10,0,5,0,2
"19551",5,5,5,5,5,5
"19552",0,10,0,0,0,0
"19553",0,10,7,0,0,0
"19554",0,0,6,0,0,0
"19556",5,0,0,6,9,8
"19557",5,0,2,10,7,9
"19558",5,6,5,5,5,5
"19559",6,0,1,10,6,3
"19560",4,0,2,7,5,5
"19561",0,4,6,0,1,0
"19562",0,8,0,0,0,0
"19563",10,0,0,6,5,5
"19564",10,0,0,0,10,0
"19565",4,0,8,0,0,0
"19566",5,0,3,8,3,4
"19567",1,0,0,6,3,4
"19568",8,0,3,3,8,8
"19570",3,0,0,8,7,10
"19571",5,5,9,5,3,1
"19572",6,2,3,5,6,5
"19573",8,0,5,0,2,5
"19574",10,5,5,10,5,10
"19575",2,0,2,10,5,7
"19576",5,0,5,4,1,4
"19577",5,0,3,7,3,5
"19578",0,0,10,0,0,0
"19579",0,0,0,8,8,9
"19580",9,2,2,2,7,7
"19581",7,0,4,5,5,8
"19582",5,5,5,5,5,5
"19583",4,0,1,6,5,5
"19584",8,0,8,0,5,3
"19585",5,0,5,2,2,5
"19586",5,0,2,4,8,7
"19587",7,0,2,5,7,7
"19588",8,3,4,0,6,5
"19590",3,0,0,7,6,7
"19591",10,0,7,2,4,3
"19592",7,3,6,4,5,7
"19593",4,1,3,7,5,5
"19594",4,1,7,2,4,4
"19595",0,10,2,0,0,0
"19596",4,1,3,7,0,0
"19598",4,2,3,4,5,5
"19599",7,0,0,6,8,5
"19600",5,0,0,8,5,4
"19601",5,0,5,0,0,0
"19602",6,0,6,1,2,2
"19603",5,5,5,6,5,5
"19604",5,5,5,5,5,5
"19605",0,0,0,10,0,2
"19606",3,0,10,0,0,2
"19608",0,0,1,7,4,9
"19610",9,0,5,4,2,4
"19611",7,0,5,3,2,7
"19612",5,0,10,0,0,3
"19613",2,9,2,5,5,7
"19614",4,5,4,4,4,4
"19615",4,0,0,10,8,7
"19617",5,0,3,8,7,6
"19618",0,0,0,10,0,6
"19619",10,4,8,2,7,3
"19620",0,5,2,8,5,5
"19621",3,7,4,7,3,1
"19622",0,7,6,0,0,3
"19623",0,1,1,10,9,3
"19624",5,0,5,8,5,5
"19625",8,0,5,8,7,7
"19626",9,0,8,0,3,4
"19627",5,0,0,9,6,6
"19628",5,1,4,4,4,5
"19629",3,0,3,9,6,6
"19630",3,8,4,7,6,4
"19631",5,1,5,7,7,5
"19632",4,2,4,3,4,4
"19633",5,5,5,5,5,5
"19634",3,0,3,2,2,3
"19635",8,0,5,5,0,0
"19636",8,1,3,2,6,8
"19637",8,0,2,7,8,8
"19638",0,8,3,4,0,0
"19639",5,0,2,10,7,8
"19640",4,10,4,0,0,0
"19641",5,8,0,5,3,0
"19642",0,10,0,0,0,0
"19643",0,0,0,0,0,0
"19644",6,6,6,2,4,2
"19645",1,1,0,2,1,3
"19647",5,0,3,8,4,4
"19648",0,0,0,0,0,0
"19649",8,0,6,0,4,5
"19650",0,0,1,8,5,3
"19651",5,10,6,0,4,4
"19652",8,0,9,0,0,5
"19653",10,0,3,2,6,3
"19654",7,0,3,0,7,5
"19655",5,0,1,8,5,9
"19656",3,1,4,2,3,7
"19657",7,3,8,0,3,3
"19658",4,2,8,2,3,2
"19659",5,1,2,6,4,9
"19660",6,0,0,6,6,3
"19661",6,3,3,4,6,4
"19662",4,6,4,4,4,4
"19664",3,0,2,3,3,5
"19665",5,0,2,5,5,4
"19666",4,0,1,5,6,8
"19667",9,0,7,6,4,5
"19668",4,5,5,0,5,5
"19669",0,0,0,0,0,0
"19670",3,0,3,5,5,3
"19671",5,0,4,4,4,7
"19673",9,0,0,10,8,1
"19674",10,0,3,10,10,10
"19675",5,0,2,5,5,5
"19677",7,0,8,2,1,2
"19679",10,0,0,0,10,7
"19680",0,10,0,0,0,0
"19681",5,0,0,6,8,8
"19682",3,5,0,4,0,5
"19683",5,5,5,5,5,10
"19684",5,0,0,10,10,10
"19685",0,0,0,0,0,0
"19686",4,0,2,3,8,5
"19687",0,0,0,6,1,7
"19688",5,0,3,5,4,5
"19689",5,5,5,5,7,5
"19690",3,0,1,4,0,0
"19691",7,2,5,0,2,2
"19693",0,0,0,9,4,10
"19694",0,5,0,0,0,0
"19695",6,0,0,3,5,4
"19696",8,0,0,5,8,8
"19697",0,0,0,3,0,0
"19698",0,10,0,0,0,0
"19699",7,5,5,6,6,6
"19700",5,0,3,2,4,6
"19701",5,0,3,5,5,5
"19702",2,2,2,2,2,2
"19703",7,0,3,2,5,3
"19704",8,0,1,5,6,6
"19705",8,4,4,5,6,1
"19708",3,7,9,0,0,5
"19709",4,8,7,3,3,3
"19710",5,2,7,4,0,0
"19711",1,9,6,2,0,2
"19712",6,0,6,0,2,2
"19713",5,0,1,5,6,6
"19714",5,5,5,5,5,6
"19715",1,6,5,3,3,1
"19716",3,5,4,5,3,3
"19717",5,0,3,3,3,5
"19718",0,10,0,3,0,0
"19719",0,5,0,6,0,2
"19720",4,0,1,3,3,3
"19721",1,3,1,2,4,1
"19722",4,1,6,2,2,3
"19723",8,0,5,3,0,5
"19725",2,5,0,0,4,3
"19726",5,2,5,0,0,0
"19727",3,6,4,6,5,3
"19728",5,5,5,6,3,3
"19729",5,0,0,10,10,7
"19730",10,0,0,0,0,6
"19731",8,0,0,5,6,4
"19732",5,0,0,2,0,0
"19733",5,0,5,5,5,5
"19734",2,0,3,10,5,4
"19735",5,1,5,3,3,3
"19736",7,0,2,10,7,10
"19737",3,7,5,7,3,5
"19738",3,10,5,0,0,3
"19739",7,0,3,7,7,5
"19740",0,0,0,7,0,7
"19741",6,0,0,8,8,9
"19742",0,0,8,0,0,5
"19743",0,0,0,0,0,0
"19744",6,0,1,2,5,7
"19745",6,0,3,4,8,9
"19747",5,0,5,5,5,5
"19749",7,3,9,0,0,0
"19750",9,0,0,2,8,6
"19751",6,0,8,2,2,7
"19752",4,6,3,3,3,3
"19753",4,3,3,5,4,5
"19754",7,3,6,0,2,4
"19755",6,1,2,1,7,4
"19756",8,0,4,0,3,4
"19757",0,5,0,0,0,2
"19758",8,0,5,2,2,6
"19759",8,1,3,4,6,3
"19760",0,0,0,0,10,5
"19761",3,0,5,10,6,5
"19762",0,10,5,0,0,0
"19763",0,10,0,0,0,0
"19765",10,0,1,4,4,5
"19766",0,0,0,0,0,0
"19767",10,0,0,0,5,4
"19768",0,10,0,0,0,0
"19769",7,0,6,6,8,3
"19770",7,0,1,5,2,3
"19771",8,0,4,7,7,9
"19772",7,5,10,0,5,1
"19773",5,0,0,5,8,4
"19774",1,10,0,1,2,1
"19775",0,10,5,0,0,0
"19776",0,10,5,0,0,0
"19777",9,0,5,5,8,8
"19778",5,1,5,5,5,5
"19779",6,0,0,3,4,7
"19780",5,0,0,0,5,5
"19781",7,5,5,4,3,5
"19782",7,1,7,1,1,7
"19783",6,0,6,0,0,5
"19784",0,10,0,0,0,0
"19785",3,0,4,6,3,7
"19786",7,0,1,5,7,6
"19787",0,6,5,6,5,5
"19788",6,0,0,10,5,0
"19789",0,0,0,10,0,5
"19791",3,0,0,5,4,5
"19792",3,0,8,0,0,0
"19793",7,2,9,7,0,6
"19794",9,2,6,0,6,6
"19795",5,0,2,8,5,8
"19796",2,0,0,9,8,7
"19797",2,0,0,9,3,5
"19798",4,0,4,4,4,4
"19799",5,5,5,5,5,5
"19800",5,7,5,5,5,5
"19801",2,2,8,6,2,2
"19802",6,5,1,4,2,0
"19803",0,0,0,10,0,0
"19805",2,0,7,0,4,3
"19806",5,5,5,0,0,10
"19807",0,0,0,0,0,3
"19808",0,0,0,0,0,0
"19809",5,8,8,3,4,4
"19810",5,5,5,5,5,10
"19812",0,0,5,5,5,5
"19813",5,6,7,4,4,4
"19814",3,0,0,10,7,7
"19815",6,0,2,2,5,6
"19816",8,0,0,0,6,6
"19817",1,0,2,8,2,4
"19818",7,2,4,3,2,4
"19819",0,5,0,0,10,5
"19820",7,0,1,3,8,7
"19821",3,6,3,5,4,4
"19822",3,10,2,2,3,0
"19823",5,0,4,5,5,5
"19824",2,7,3,5,1,5
"19826",5,0,7,0,3,0
"19827",8,2,8,7,6,4
"19828",5,0,0,0,4,3
"19829",4,0,3,7,5,2
"19830",1,4,3,4,4,6
"19831",0,0,0,8,5,2
"19832",2,7,3,7,4,3
"19833",2,0,0,8,4,5
"19835",7,4,3,4,8,5
"19836",5,0,0,0,0,3
"19837",9,0,6,7,8,7
"19838",5,0,7,0,0,2
"19839",0,7,0,0,0,0
"19840",5,2,4,1,2,0
"19841",8,8,6,8,6,3
"19842",3,2,3,4,2,2
"19843",1,9,1,5,0,5
"19844",4,0,2,8,4,6
"19845",5,7,5,6,5,5
"19847",6,0,0,6,8,10
"19848",2,0,2,0,2,2
"19849",7,0,0,3,3,6
