"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"2446",8,6,6,4,7,1
"2447",4,3,7,3,0,1
"2448",8,4,5,7,2,2
"2449",4,4,6,3,2,1
"2450",4,3,6,4,3,0
"2451",6,5,7,6,5,4
"2453",7,5,4,6,4,3
"2454",6,3,8,2,1,0
"2455",7,3,6,2,3,1
"2456",7,3,5,3,2,1
"2457",3,3,5,3,2,1
"2458",4,2,10,2,0,0
"2459",8,6,0,8,6,0
"2460",5,4,7,2,2,2
"2461",8,3,5,7,0,1
"2462",5,5,8,3,3,1
"2463",8,1,7,5,1,1
"2464",5,3,7,2,2,2
"2465",8,3,9,6,0,0
"2466",5,2,10,5,1,1
"2467",7,4,3,6,6,2
"2468",6,3,9,6,3,1
"2469",9,5,7,6,1,3
"2470",7,1,10,7,5,0
"2471",6,1,9,6,2,0
"2472",9,3,5,6,5,3
"2473",4,2,7,5,3,0
"2474",9,3,4,7,5,4
"2475",9,1,6,5,3,3
"2476",9,4,6,7,2,4
"2477",9,5,3,6,6,4
"2478",4,5,9,2,2,2
"2479",8,5,8,6,3,2
"2480",4,4,8,3,1,0
"2481",7,2,8,1,3,0
"2482",5,1,8,2,1,1
"2483",10,5,3,5,4,4
"2484",5,2,9,5,0,0
"2485",6,3,2,6,6,8
"2486",4,1,8,3,1,1
"2487",7,2,10,7,0,1
"2488",5,2,8,3,2,0
"2489",3,5,7,2,1,1
"2490",5,3,8,3,3,2
"2491",3,3,8,3,1,1
"2492",9,7,7,7,5,3
"2493",9,1,9,7,0,0
"2495",8,1,9,7,6,2
"2496",4,3,7,2,1,1
"2497",6,4,8,4,2,1
"2499",5,2,8,3,1,1
"2500",5,2,7,2,1,1
"2501",7,1,10,6,1,0
"2502",5,3,8,5,3,3
"2503",5,3,10,5,1,2
"2504",9,3,5,7,3,3
"2505",4,1,10,4,8,0
"2506",5,6,8,3,4,2
"2507",6,4,8,3,1,3
"2508",6,3,10,4,5,0
"2509",5,0,10,5,5,0
"2512",7,2,5,4,6,2
"2513",5,3,6,1,1,1
"2514",3,3,3,3,3,3
"2515",2,2,3,2,2,2
"2517",4,3,6,6,3,2
"2520",4,6,0,3,0,0
"2521",3,4,6,3,5,5
"2524",3,3,3,3,3,3
"2525",5,4,9,6,3,2
"2526",0,10,0,3,5,0
"2527",3,8,0,3,4,6
"2530",1,10,1,1,5,6
"2531",1,2,0,1,10,8
"2532",1,7,0,7,5,5
"2533",0,6,0,2,8,7
"2534",0,7,0,5,8,9
"2536",2,8,0,5,7,7
"2537",1,4,0,3,7,7
"2538",2,8,1,7,2,8
"2539",2,7,0,5,8,5
"2540",2,6,1,5,10,9
"2541",1,6,0,5,7,8
"2542",4,6,0,3,3,6
"2543",1,9,7,1,3,4
"2544",1,9,0,6,8,2
"2545",0,8,0,3,6,8
"2546",3,6,0,3,3,10
"2547",8,9,4,4,7,7
"2548",1,9,0,7,8,8
"2549",8,4,7,3,2,0
"2550",0,3,0,4,5,4
"2551",6,5,0,5,3,2
"2552",1,8,0,4,6,5
"2553",7,5,6,3,1,2
"2554",3,10,0,1,2,0
"2555",2,8,0,1,4,10
"2556",4,6,1,4,8,4
"2558",3,6,0,4,3,9
"2559",4,8,2,2,6,4
"2561",4,7,2,4,4,4
"2562",4,5,2,4,7,5
"2563",2,10,0,2,4,7
"2565",2,2,0,5,10,4
"2566",7,7,5,9,7,8
"2567",4,8,0,1,3,6
"2568",6,7,4,3,5,3
"2569",8,4,5,5,6,4
