"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"9553",0,7,5,8,5,0
"9554",3,4,4,7,4,3
"9555",8,6,5,4,3,0
"9556",4,9,7,2,6,0
"9557",0,7,7,8,4,2
"9558",0,3,7,5,7,5
"9559",5,3,7,7,5,2
"9560",7,9,7,6,6,6
"9561",0,4,5,7,10,0
"9562",1,5,7,2,5,3
"9563",0,5,8,8,8,0
"9564",1,3,10,8,8,0
"9566",5,8,6,7,3,1
"9567",10,4,2,0,1,0
"9568",2,6,5,7,2,0
"9569",7,6,6,5,3,4
"9570",2,8,7,4,7,0
"9573",0,5,7,7,4,0
"9574",3,7,5,6,8,3
"9575",1,6,4,6,1,0
"9576",0,6,8,0,4,0
"9577",4,6,5,4,4,2
"9578",4,5,5,6,6,5
"9579",8,1,6,4,2,1
"9580",0,6,8,8,7,0
"9585",0,0,4,10,2,0
"9586",0,6,9,2,6,0
"9587",8,6,4,5,4,5
"9589",3,8,6,7,5,1
"9590",6,9,7,0,3,0
"9591",7,5,5,2,3,3
"9592",5,0,0,8,0,0
"9593",1,10,7,2,6,0
"9595",10,7,0,0,3,3
"9596",4,0,0,7,2,2
"9598",0,0,5,8,5,0
"9599",8,4,6,0,0,10
"9600",2,0,5,7,6,1
"9601",6,7,6,5,5,4
"9602",5,5,5,3,5,5
"9603",3,0,7,6,7,5
"9605",2,5,5,6,8,10
"9606",4,6,4,2,3,1
"9607",6,7,5,7,2,0
"9608",1,8,8,6,8,2
"9609",1,8,7,7,7,0
"9610",2,7,6,7,6,0
"9611",6,8,5,6,5,1
"9612",4,8,5,2,7,2
"9613",3,6,7,6,7,3
"9614",7,0,0,4,0,8
"9615",4,6,6,8,5,1
"9617",4,7,8,7,8,0
"9618",6,9,6,0,5,0
"9620",3,2,8,5,1,0
"9621",0,10,1,0,1,0
"9622",5,5,7,4,6,0
"9624",6,9,6,1,5,2
"9625",3,6,7,5,7,2
"9786",3,6,8,7,5,0
"9787",8,5,3,3,3,8
"9788",5,5,0,8,2,0
"9789",4,6,5,4,5,1
"9790",0,4,4,6,2,0
"9791",8,0,1,0,0,2
"9792",4,7,7,4,4,0
"9793",5,6,7,8,5,0
"9794",6,8,5,4,5,5
"9795",7,7,8,5,5,5
"9796",5,6,8,8,8,7
"9797",7,8,7,5,9,0
"9798",0,6,6,6,4,2
"9800",6,5,2,0,1,1
"9802",4,6,6,9,5,4
"9803",3,6,7,8,6,1
"9804",2,2,7,9,5,5
"9805",2,9,6,0,3,2
"9807",1,6,9,2,10,0
"9888",0,7,7,5,4,0
"9892",0,5,5,7,7,0
"9893",0,6,7,0,8,0
"9894",3,6,2,7,2,4
"9895",0,0,4,0,4,0
"9896",6,3,7,9,1,2
"9897",0,9,6,7,7,0
"9899",7,8,6,9,6,1
"9900",7,5,2,2,0,0
"9902",2,0,5,5,0,0
"9903",4,8,8,4,8,7
"9904",8,4,6,2,2,0
"9905",0,4,8,6,7,0
"9907",0,3,5,7,5,0
"9908",8,7,0,0,0,1
"9909",6,6,5,5,4,4
"9910",4,4,5,7,5,1
"9911",0,7,8,10,7,0
"9912",7,6,5,0,3,0
"9913",2,0,3,8,5,0
"9914",7,1,2,6,1,4
"9915",3,3,6,5,7,1
"9916",2,1,6,7,3,1
"9918",4,6,6,7,7,0
"9920",2,5,7,7,8,0
"9921",6,8,5,7,5,4
"9922",0,9,5,6,6,0
"9923",4,2,2,6,0,2
"9925",5,6,2,6,2,4
"9926",4,6,9,8,7,2
"9928",1,1,1,8,1,1
"9929",0,8,9,6,7,2
"9930",2,7,6,9,5,0
"9931",0,4,5,4,7,0
"9932",1,5,8,6,6,0
"9933",3,7,6,3,4,0
"9934",0,8,7,0,5,0
"9935",0,5,5,8,5,0
"9936",2,8,8,6,5,2
"9938",3,6,7,7,7,2
"9939",1,7,8,3,7,0
"9940",3,6,5,4,3,0
"9941",1,3,5,4,5,1
"9942",8,9,4,6,3,0
"9943",0,5,3,2,3,0
"9944",3,7,5,8,5,0
"9945",8,5,5,2,2,3
"9946",0,5,6,3,6,0
"9948",10,4,3,0,1,3
"9949",6,8,7,8,4,2
"9950",0,9,6,0,6,1
"9953",2,6,6,5,4,0
"9955",3,7,5,3,9,0
"9956",6,7,8,7,8,0
"9957",6,4,4,5,0,0
"9959",4,4,4,1,3,1
"9961",0,9,7,4,6,4
"9962",4,0,0,8,0,0
"9963",4,8,7,2,5,1
"9964",4,4,5,5,2,4
"9967",0,6,6,8,6,1
"9968",1,5,5,4,2,1
"9969",3,6,6,7,2,2
"9970",1,4,5,0,4,1
"10058",0,7,7,2,2,1
"10059",5,7,5,0,3,0
"10060",7,2,3,3,0,2
"10061",2,6,6,4,6,0
"10062",5,9,5,2,7,3
"10063",3,8,5,4,2,2
"10064",7,2,5,6,4,2
"10065",0,0,0,8,5,0
