"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"28477",5,0,0,0,0,5,5,7
"28478",5,0,3,3,0,0,0,0
"28479",10,5,0,2,4,0,0,5
"28480",0,0,7,0,0,0,0,0
"28481",6,2,2,3,2,0,0,3
"28482",10,7,0,10,10,5,0,7
"28483",7,3,0,4,3,2,2,9
"28484",7,6,5,9,10,5,0,6
"28485",7,8,6,4,0,7,7,5
"28488",2,6,5,3,0,2,7,6
"28489",1,6,6,0,0,8,2,1
"28490",10,3,7,0,0,7,0,0
"28492",0,0,5,2,2,0,0,0
"28493",10,7,0,3,3,6,6,5
"28495",10,2,0,10,10,6,6,5
"28496",0,0,0,0,0,0,2,1
"28500",8,5,0,8,6,1,1,6
"28503",5,5,3,2,2,5,5,2
"28504",0,5,0,0,0,0,9,6
"28505",0,4,5,0,0,10,0,0
"28507",10,4,3,1,1,3,2,3
"28508",7,0,0,10,7,2,6,6
"28509",7,3,0,5,7,1,0,3
"28510",6,4,1,3,4,1,1,3
"28511",0,6,6,5,2,5,5,2
"28512",5,7,0,4,4,2,3,5
"28513",8,0,0,5,3,0,0,7
"28514",5,5,4,4,4,5,5,5
"28515",3,4,1,2,1,3,1,5
"28516",10,0,0,7,7,0,7,7
"28517",6,7,0,0,0,5,3,0
"28518",2,3,7,7,7,2,5,4
"28519",7,4,1,2,2,1,5,3
"28520",2,8,1,1,1,3,2,2
"28521",8,8,8,8,8,8,8,8
"28522",4,4,1,3,4,2,3,6
"28523",4,7,6,2,4,7,0,0
"28524",0,0,0,0,0,0,0,0
"28525",5,5,1,3,3,3,1,9
"28526",10,5,0,5,4,0,3,6
"28527",10,1,0,8,9,2,1,8
"28528",7,6,9,9,6,8,4,3
"28529",6,8,5,5,5,5,5,4
"28530",10,2,0,4,3,0,0,6
"28531",5,7,5,2,2,8,8,3
"28532",3,1,1,1,1,3,7,7
"28533",6,0,0,0,0,0,0,7
"28534",0,9,0,0,0,0,3,3
"28535",5,5,0,3,2,0,0,5
"28536",5,5,4,5,5,4,6,4
"28537",2,8,2,2,2,6,8,6
"28538",0,0,0,0,0,0,0,0
"28540",5,3,0,0,0,7,6,9
"28541",0,2,7,0,0,0,0,0
"28542",7,6,0,4,4,3,2,6
"28545",0,1,9,5,3,1,0,0
"28547",0,0,10,0,0,0,0,0
"28548",10,10,5,10,10,5,7,7
"28549",3,8,0,0,0,0,8,8
"28550",0,0,1,0,0,0,0,0
"28551",6,3,0,0,0,5,5,5
"28552",8,5,0,2,2,2,6,8
"28553",3,6,3,4,4,4,6,6
"28554",5,9,1,1,1,1,7,1
"28555",10,5,0,8,7,0,0,8
"28556",4,6,0,2,2,0,0,2
"28557",10,8,5,5,2,4,6,1
"28558",0,8,4,5,5,9,6,5
"28559",0,6,5,3,0,0,8,6
"28561",10,0,0,6,8,0,3,4
"28562",10,0,0,6,6,0,0,8
"28563",5,8,5,2,2,3,4,8
"28564",6,5,1,9,10,0,0,0
"28565",0,0,5,5,0,6,5,3
"28566",0,0,6,0,0,6,0,0
"28567",5,6,2,1,1,9,4,1
"28568",0,0,0,0,0,0,0,0
"28569",8,6,0,1,2,3,2,4
"28570",0,5,0,0,0,8,4,4
"28571",1,5,3,3,3,4,2,3
"28572",0,0,10,4,0,4,0,0
"28573",0,0,10,2,0,5,0,0
"28574",0,5,5,0,0,4,7,6
"28575",0,3,1,0,1,3,3,1
"28576",10,0,0,2,2,0,0,8
"28577",5,5,5,5,0,5,5,3
"28579",5,4,1,1,0,3,2,4
"28580",8,8,2,2,3,8,7,5
"28581",0,0,3,0,0,1,0,0
"28583",6,6,4,1,0,7,5,3
"28584",1,1,2,1,1,1,3,2
"28585",0,7,10,0,0,7,4,0
"28586",9,5,1,1,3,4,1,4
"28587",0,0,10,0,0,4,0,0
"28588",3,3,3,0,0,0,0,0
"28589",0,0,1,2,0,5,5,0
"28590",8,8,8,3,2,7,6,2
"28591",0,5,0,0,0,5,0,0
"28592",7,4,0,6,6,0,0,10
"28593",8,6,0,5,4,7,0,9
"28594",5,0,0,0,0,0,0,5
"28595",7,4,0,3,3,0,0,8
"28597",10,0,0,5,0,5,0,0
"28598",6,5,0,0,0,0,0,5
"28599",0,5,4,3,2,4,5,7
"28600",10,4,0,5,6,0,6,0
"28601",0,5,9,0,2,2,0,0
"28602",5,5,8,8,5,6,5,2
"28603",0,6,5,0,0,0,8,0
"28604",2,2,2,2,2,2,2,2
