"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"44043",5,5,5,5,5,5
"44044",5,5,5,5,5,5
"44045",5,5,6,5,5,5
"44046",8,1,8,9,1,5
"44047",5,5,5,5,5,5
"44048",10,1,6,6,1,5
"44049",9,3,6,7,3,5
"44050",4,0,4,10,0,10
"44051",2,0,9,9,0,7
"44052",2,6,0,2,4,5
"44053",9,1,7,6,1,2
"44054",9,2,6,5,1,5
"44055",9,9,8,0,0,0
"44056",9,2,4,4,2,3
"44057",8,5,5,5,5,5
"44058",9,5,5,5,5,5
"44059",0,0,0,0,0,0
"44060",7,8,6,8,6,4
"44061",5,5,5,5,5,5
"44062",3,3,0,0,0,0
"44063",10,10,8,4,6,7
"44064",1,1,1,1,1,9
"44065",10,0,4,3,0,5
"44066",7,5,5,5,5,5
"44067",5,5,5,5,5,5
"44068",8,3,5,5,3,4
"44070",5,5,5,5,5,5
"44071",6,5,5,5,5,5
"44072",0,0,0,0,0,0
"44073",0,0,0,0,0,0
"44074",5,5,5,5,5,5
"44075",5,5,5,5,5,5
"44077",9,3,4,4,2,5
"44078",9,1,2,2,1,5
"44079",9,1,4,7,1,1
"44080",9,5,5,5,5,5
"44081",10,3,4,3,0,6
"44082",9,5,5,5,5,5
"44083",9,5,5,5,5,5
"44084",8,5,5,5,5,5
"44085",7,5,5,5,5,5
"44086",5,5,5,5,5,5
"44087",5,5,5,5,5,5
"44088",5,5,8,5,5,5
"44089",7,9,6,4,9,5
"44090",7,7,8,1,5,5
"44091",5,5,5,5,5,5
"44092",5,3,3,4,3,2
"44093",4,1,8,8,1,1
"44094",5,10,5,5,5,5
"44095",5,10,0,0,6,0
"44096",7,3,9,10,0,8
"44097",4,5,1,0,2,0
"44098",8,6,7,6,6,4
"44099",7,5,5,5,5,5
"44100",5,8,5,5,5,5
"44101",5,9,5,5,5,5
"44102",3,3,3,3,3,3
"44103",3,6,0,0,5,0
"44104",5,10,4,0,7,4
"44106",10,5,8,0,0,0
"44107",7,10,2,5,6,5
"44108",7,10,5,5,6,5
"44110",2,0,5,5,0,0
"44111",8,3,4,3,2,5
"44112",6,8,0,1,3,4
"44113",7,5,3,2,2,5
"44114",6,7,1,1,3,5
"44115",3,6,1,2,8,5
"44116",0,0,0,0,0,0
"44117",6,8,3,1,6,5
"44118",0,0,0,0,0,0
"44119",5,5,5,5,5,5
"44121",10,0,10,0,0,0
"44122",5,5,5,5,5,5
"44123",6,6,5,5,5,5
"44124",5,5,5,5,5,5
"44126",5,5,5,5,5,5
"44127",5,5,8,5,5,5
"44128",5,0,2,0,0,5
"44130",7,7,5,5,5,8
"44131",5,5,5,5,5,5
"44132",4,4,4,4,4,4
"44133",5,3,3,4,2,3
"44134",5,5,5,5,5,5
"44135",0,0,0,0,0,0
"44136",5,9,5,5,5,5
"44137",5,5,0,0,10,0
"44138",0,0,0,0,0,0
"44139",5,5,5,5,5,5
"44142",10,0,5,9,8,0
"44143",5,5,5,5,5,5
"44144",5,0,9,7,0,5
"44145",7,6,4,3,2,5
"44146",10,2,10,3,3,6
"44147",6,2,5,2,3,3
"44148",6,1,5,6,1,3
"44149",5,5,5,5,5,5
"44150",5,5,5,5,5,5
"44151",5,5,5,5,5,5
"44152",6,2,4,5,4,3
"44153",1,1,7,1,1,1
"44154",5,1,1,1,1,1
"44155",3,10,5,5,3,6
"44157",1,1,6,9,1,1
"44158",2,2,4,1,1,9
"44159",5,5,5,5,5,5
"44160",5,5,5,5,5,5
"44161",9,5,4,5,4,5
"44162",5,5,5,5,5,5
"44163",5,5,5,5,5,5
"44164",0,8,0,0,0,0
"44165",0,5,0,0,0,0
"44166",6,6,5,6,7,5
"44167",6,0,6,6,0,0
"44168",5,5,5,5,5,5
"44169",10,5,7,7,5,5
"44170",3,7,2,1,5,2
"44171",5,5,5,5,5,5
"44172",2,8,0,0,6,3
"44173",0,9,0,0,6,2
"44174",10,2,7,5,2,5
"44175",3,9,0,0,7,3
"44176",8,5,5,5,5,5
"44177",5,5,5,5,5,5
"44178",5,5,1,1,5,1
"44180",2,9,0,0,6,0
"44181",7,3,7,3,3,7
"44182",5,5,5,5,5,5
"44183",5,5,5,5,5,5
"44184",5,5,10,5,6,10
"44185",10,0,0,0,0,0
"44186",5,4,6,6,1,5
"44188",8,0,5,6,0,0
"44189",5,2,3,3,2,2
"44190",0,0,0,0,0,0
"44191",8,8,6,6,2,2
"44192",6,5,3,1,2,0
"44193",6,0,4,6,0,3
