"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"5931",0,0,0,0,0,0,0,0,0
"5936",6,1,4,6,0,3,0,0,3
"5944",8,0,1,2,2,2,3,2,3
"5945",5,0,0,0,0,0,0,0,0
"5953",0,6,1,0,0,1,3,0,0
"5955",1,1,5,1,1,1,1,1,1
"5971",0,7,3,5,0,3,5,0,0
"5978",9,0,0,0,0,0,0,0,2
"5983",3,10,6,0,4,2,8,0,0
"6000",0,0,0,0,0,0,0,0,0
"6002",3,0,3,0,0,2,0,0,0
"6005",5,8,1,5,5,5,5,5,5
"6009",1,0,0,1,0,0,1,0,1
"6010",0,10,0,0,0,8,0,0,0
"6013",0,8,0,0,0,0,3,0,0
"6014",5,5,3,5,1,2,7,2,3
"6015",0,1,0,0,0,0,0,0,0
"6016",6,0,0,2,2,0,0,5,3
"6019",10,0,0,0,0,0,0,0,0
"6020",7,0,2,0,5,0,2,0,0
"6024",0,0,2,2,0,2,0,0,0
"6025",10,0,0,0,0,0,0,0,0
"6026",1,0,0,0,0,0,0,0,0
"6027",5,3,5,4,2,8,5,5,5
"6029",2,0,5,5,2,5,5,2,2
"6030",0,3,0,0,0,0,0,0,0
"6031",2,5,4,4,2,2,3,3,9
"6033",0,0,0,0,0,0,0,0,0
"6034",0,0,0,0,0,0,0,0,0
"6035",0,0,0,0,0,0,0,0,0
"6038",3,0,0,2,0,0,1,0,0
"6053",0,6,4,4,5,3,3,5,4
"6054",0,0,0,0,0,0,0,0,0
"6055",5,10,2,2,2,2,1,2,5
"6058",10,0,4,3,3,5,3,5,2
"6062",0,0,0,0,0,0,0,1,0
"6063",0,0,0,0,0,0,0,0,0
"6064",9,0,0,0,0,0,0,0,0
"6065",0,0,0,0,0,0,0,0,0
"6067",0,0,0,0,0,0,10,5,0
"6068",0,5,0,0,0,0,0,0,0
"6069",0,0,0,0,0,0,0,0,0
"6074",0,0,0,0,0,0,0,0,0
"6075",5,0,5,5,5,5,5,5,5
"6079",0,0,0,0,0,0,0,0,0
"6080",3,0,3,3,3,3,5,3,3
"6082",7,0,0,0,0,0,0,0,0
"6085",10,0,3,2,1,3,2,3,2
"6088",4,5,4,2,4,0,4,1,1
"6089",0,0,0,0,0,0,0,0,0
"6090",0,0,0,0,0,0,0,0,0
"6092",2,0,2,0,0,0,1,0,0
"6094",0,0,10,0,0,0,0,0,0
"6095",8,0,0,0,0,0,0,0,0
"6098",3,6,5,5,2,0,5,2,3
"6100",4,1,6,0,1,1,1,1,2
"6102",0,0,0,0,0,0,0,0,0
"6105",5,2,7,5,5,8,6,7,4
"6106",10,1,1,1,1,2,0,2,0
"6110",7,4,5,8,10,3,5,6,9
"6111",4,10,4,4,10,4,3,4,4
"6118",3,0,3,2,2,2,3,2,2
"6121",0,0,0,0,0,0,0,0,0
"6127",6,0,3,0,0,1,3,2,1
"6130",0,0,8,0,0,0,6,0,4
"6139",1,2,3,3,2,2,3,2,2
"6149",2,2,2,3,2,2,2,2,2
"6152",3,3,8,5,8,6,4,5,5
"6154",0,0,1,0,0,0,0,0,0
"6163",10,10,0,0,1,0,0,0,0
"6164",10,0,0,0,0,0,0,0,0
"6166",0,10,0,0,0,0,10,0,0
"6167",10,10,10,8,4,5,10,7,5
"6171",5,0,0,0,3,0,0,0,0
"6172",0,10,0,0,0,0,0,0,0
"6175",0,0,2,0,0,0,0,0,0
"6177",1,0,0,0,0,0,0,0,0
"6178",5,5,5,4,5,5,5,5,5
"6180",10,0,0,0,0,0,0,0,0
"6184",2,0,2,4,1,0,1,1,0
"6190",5,0,0,0,0,0,0,0,0
"6193",0,0,0,0,0,0,0,0,0
"6194",0,0,0,0,0,0,0,0,0
"6200",0,0,0,0,0,0,2,0,0
"6209",9,0,9,7,2,5,5,5,5
"6218",5,5,4,4,3,3,5,4,4
"6222",5,0,5,5,0,5,5,3,3
"6229",2,0,0,2,2,2,2,2,2
"6235",6,2,8,5,0,4,10,4,3
"6238",2,0,2,0,2,0,0,1,0
"6245",0,0,0,0,0,0,0,0,0
"6259",2,1,1,3,3,2,1,2,2
"6269",0,6,0,0,0,0,0,0,0
"6274",0,3,0,0,0,0,5,0,0
"6275",2,0,0,0,0,0,0,0,0
"6276",4,0,8,5,2,3,4,2,0
"6284",2,6,1,6,3,5,5,3,2
"6285",2,0,4,2,2,2,3,2,0
"6288",0,10,0,0,0,0,0,0,0
"6299",0,10,0,2,0,0,0,0,0
"6300",0,0,0,0,0,0,0,0,0
"6301",5,8,5,5,5,5,5,5,5
"6303",10,10,10,5,5,5,0,5,5
"6306",2,2,2,2,2,3,2,2,2
"6309",0,0,0,0,0,0,0,0,0
"6314",2,4,5,6,5,5,5,4,2
"6317",5,0,5,5,0,0,0,0,0
"6318",0,5,5,2,0,0,5,0,0
"6319",10,0,5,0,0,0,0,0,0
"6326",0,3,0,0,0,0,0,0,0
"6330",0,0,3,0,0,2,0,0,0
"6331",2,0,1,2,1,2,2,2,2
"6332",2,0,2,4,0,0,6,2,1
"6334",5,0,0,0,0,0,5,5,5
"6335",8,6,3,7,8,2,8,7,8
"6339",2,0,2,4,4,4,4,4,4
"6340",2,7,9,6,3,7,3,7,7
"6342",0,0,0,0,0,0,0,0,0
"6343",1,1,3,2,1,2,2,4,2
"6349",1,0,0,1,1,0,0,2,1
"6350",5,2,4,5,4,4,4,4,4
"6351",4,5,5,3,3,1,5,4,2
"6352",1,5,10,4,1,2,6,4,0
"6359",5,5,0,2,2,5,5,2,6
"6360",8,4,6,5,2,8,0,7,7
"6361",2,0,2,0,0,3,2,0,0
"6365",10,2,0,0,0,0,0,0,0
"6372",0,0,0,0,0,0,0,0,0
"6376",10,3,4,2,3,2,4,2,2
"6382",3,3,3,3,3,3,3,3,3
"6386",5,0,0,0,0,0,0,0,0
"6388",8,0,3,4,3,8,5,2,3
"6391",9,4,8,5,10,8,9,5,8
"6392",2,8,5,2,3,2,7,2,1
"6393",0,0,0,0,0,0,0,0,0
"6394",3,0,3,3,3,5,3,3,3
"6395",10,10,10,10,10,5,10,5,10
"6396",4,0,7,3,3,7,7,3,3
"6400",5,0,4,6,1,1,6,5,3
"6404",3,0,4,4,5,4,2,3,2
"6406",0,10,0,2,0,0,3,0,0
"6413",7,0,7,3,5,0,1,1,1
"6416",0,0,0,0,0,0,0,0,0
"6418",7,1,3,5,2,0,3,3,5
"6425",8,3,9,7,8,10,5,9,2
"6427",7,10,5,7,7,4,0,5,5
"6428",0,0,0,0,0,0,0,0,0
"6433",8,0,1,0,0,0,3,0,0
"6440",6,8,6,4,6,3,5,5,4
"6446",7,0,0,2,1,1,0,1,2
"6447",1,2,0,1,0,0,1,0,1
"6448",0,3,0,0,0,0,0,0,0
"6453",0,0,0,0,0,0,0,0,0
"6455",0,0,0,0,0,0,0,0,0
"6457",0,10,0,0,0,0,0,0,0
"6458",0,0,0,0,0,0,0,0,0
"6468",0,0,0,0,0,0,2,0,0
"6469",6,3,5,6,6,7,6,4,8
"6482",3,5,2,0,1,2,1,0,0
"6490",0,0,4,2,0,0,1,0,0
"6497",0,0,0,0,0,0,0,0,0
"6498",4,2,10,4,2,3,2,5,4
"6503",10,0,7,5,0,0,0,8,8
"6507",1,4,2,0,0,0,1,0,2
"6514",0,2,0,2,2,0,0,0,0
"6517",4,2,3,2,2,3,2,2,3
"6522",8,0,7,7,8,5,5,3,7
"6525",5,0,5,1,3,2,6,3,2
"6530",0,0,0,0,0,0,0,0,0
"6533",0,10,0,0,0,0,0,0,3
"6534",3,0,4,3,2,4,4,3,2
"6538",0,0,2,4,1,0,3,0,0
"6543",10,0,0,0,0,0,0,0,0
"6546",2,0,3,0,3,3,0,0,0
"6548",2,0,0,0,0,0,0,0,0
"6550",0,0,0,0,0,0,0,0,0
"6552",0,2,0,3,4,3,1,2,2
"6560",3,2,0,1,1,1,1,1,1
"6562",0,10,10,5,5,5,8,5,3
"6563",4,6,4,3,3,5,3,2,0
"6569",5,7,3,6,0,0,6,4,5
"6570",9,4,4,5,5,4,5,5,4
"6586",5,5,3,5,2,3,1,2,5
"6590",1,0,4,0,0,5,2,1,0
"6606",2,2,8,8,7,7,3,5,9
"6607",2,4,5,0,1,0,1,0,1
"6611",4,8,7,6,3,5,6,2,4
"6613",5,0,5,5,0,5,5,5,0
"6616",7,5,5,5,3,3,5,2,6
"6620",7,1,7,5,3,4,7,2,5
"6623",0,0,0,0,0,0,0,0,0
"6627",5,5,5,5,5,5,5,5,5
"6628",5,5,5,5,5,5,7,0,5
"6641",2,10,1,2,2,2,1,2,2
"6657",4,2,4,3,2,3,3,3,3
"6683",10,0,0,0,0,0,0,0,0
"6686",7,7,7,7,7,9,8,9,8
"6691",10,0,4,3,2,4,2,5,3
"6695",0,0,0,0,0,0,0,0,0
"6698",6,1,1,2,2,2,1,2,0
"6701",0,0,8,1,0,0,1,3,1
"6706",8,8,5,8,8,8,8,8,8
"6718",5,0,0,0,0,0,0,0,0
"6719",1,0,5,2,2,4,3,1,3
"6726",0,0,0,0,0,0,0,0,0
"6727",0,0,0,0,0,0,0,1,0
"6732",0,0,1,0,0,0,1,1,1
"6737",10,0,0,0,0,0,1,0,0
"6742",5,10,6,0,0,0,0,6,0
"6751",2,4,3,4,2,2,4,0,2
"6754",0,10,5,0,0,4,5,5,0
"6760",8,0,8,2,0,0,1,0,1
"6762",10,0,0,10,10,10,10,10,10
"6768",0,0,0,0,0,0,0,0,0
"6774",2,0,0,2,4,0,0,3,0
"6775",4,1,0,3,2,0,2,1,3
"6779",6,5,5,5,5,5,5,5,5
"6780",6,1,3,2,2,6,7,1,2
"6782",3,2,6,1,6,4,5,2,1
"6790",9,0,0,7,3,7,5,5,3
"6792",0,0,0,0,0,0,0,0,0
"6796",3,4,3,6,3,7,2,1,1
"6811",7,0,7,3,0,5,5,0,3
"6820",5,0,0,0,0,0,0,0,0
"6821",3,0,2,5,0,0,4,0,0
"6822",6,0,6,7,8,0,8,8,4
"6826",0,0,0,2,0,0,2,0,2
"6829",7,0,3,4,3,3,4,2,3
"6831",8,0,0,0,0,0,0,0,0
"6836",0,0,0,0,0,0,0,0,0
"6841",3,7,6,4,3,5,2,4,5
"6843",1,10,1,1,1,1,1,1,1
"6844",2,1,2,3,0,2,2,0,0
"6847",0,3,0,0,2,2,3,0,3
"6849",10,0,2,2,2,1,0,2,0
"6853",0,10,0,0,0,0,0,0,0
"6854",6,0,7,6,8,6,6,5,5
"6855",3,3,2,4,7,6,2,2,4
"6858",0,0,1,1,1,2,1,1,1
"6864",8,10,10,8,10,8,9,6,8
"6866",4,0,2,3,2,6,3,1,3
"6870",0,0,0,0,0,0,0,0,0
"6877",4,6,4,3,2,4,2,3,3
"6878",10,0,0,6,0,8,1,2,9
"6883",5,5,3,7,3,6,3,2,5
"6884",0,10,4,0,0,0,4,0,0
"6891",6,10,6,7,10,9,8,5,9
"6901",0,0,0,0,1,10,0,0,0
"6908",3,2,3,2,6,3,5,2,8
"6913",3,5,3,2,3,4,2,1,1
"6917",0,7,3,1,3,3,5,3,0
"6924",0,8,0,0,0,0,5,0,0
"6928",2,4,2,3,4,4,3,2,2
"6929",0,0,0,0,0,0,0,0,0
"6931",10,0,9,6,10,2,4,3,3
"6932",1,5,3,4,3,1,3,2,2
"6933",5,3,6,10,4,6,7,6,7
"6934",8,0,4,2,5,6,2,2,2
"6935",10,0,2,5,2,2,3,2,10
"6936",10,0,8,4,10,8,9,7,9
"6938",3,0,6,5,2,4,2,2,3
"6939",2,8,2,1,2,0,1,1,1
"6940",5,0,5,8,10,3,9,3,5
"6942",6,9,6,9,3,4,8,4,7
"6946",10,10,10,0,0,0,0,0,0
"6947",2,10,2,2,2,2,2,2,2
"6948",0,5,5,0,0,0,0,0,0
"6953",7,3,6,6,6,4,5,6,5
"6960",2,8,6,8,5,4,8,6,5
"6962",5,0,2,3,5,1,4,3,2
"6966",3,0,0,0,0,1,0,2,2
"6971",0,0,0,0,0,0,0,0,0
"6972",6,4,6,2,8,5,6,5,2
"6977",2,8,3,2,2,5,3,0,0
"6981",2,9,4,2,3,5,2,2,2
"6982",2,7,4,3,5,6,2,2,4
"6985",5,2,6,5,6,6,5,6,5
"6990",0,10,10,7,5,10,10,7,4
"6997",0,10,0,0,0,1,0,0,0
"6998",0,0,0,0,0,0,0,0,0
"7005",3,0,3,3,2,0,3,0,3
"7009",1,0,1,1,1,1,1,1,1
"7010",0,10,10,0,0,0,0,0,0
"7011",0,10,0,0,0,0,0,0,0
"7013",2,4,2,3,3,3,4,4,2
"7014",10,0,0,0,0,0,0,0,0
"7020",8,0,2,3,1,0,3,2,2
"7024",4,0,5,4,3,4,3,2,3
"7025",0,0,0,0,0,0,0,0,0
"7028",5,0,0,0,0,2,0,0,0
"7039",0,0,0,0,0,0,0,0,0
"7062",0,0,0,0,0,5,0,0,0
"7063",6,1,2,8,3,1,2,1,2
"7068",7,5,5,7,2,5,4,5,6
"7069",9,0,6,4,2,3,3,5,4
"7076",0,0,0,0,0,0,0,0,0
"7079",0,0,0,0,0,0,0,0,8
"7080",0,2,0,0,0,0,0,0,0
"7081",2,0,0,3,2,0,0,3,2
"7089",0,5,0,0,4,0,4,0,0
"7090",2,1,2,3,2,2,2,3,2
"7094",0,0,0,0,0,0,0,0,0
"7097",10,0,0,0,0,0,0,0,0
"7101",5,3,3,3,3,3,3,3,3
"7103",0,0,0,0,0,0,0,0,0
"7105",7,0,6,7,5,2,3,5,3
"7107",0,10,0,0,0,0,5,0,0
"7119",0,0,0,0,0,0,0,0,0
"7120",5,0,5,4,5,4,5,5,5
"7127",0,0,2,0,0,0,2,0,0
"7139",5,4,5,4,6,3,4,4,4
"7140",8,6,5,5,4,5,6,6,6
"7141",0,0,0,0,0,0,0,0,0
"7149",5,3,6,6,4,5,5,7,5
"7152",5,0,2,2,1,1,0,1,1
"7155",1,0,1,1,1,1,1,1,1
"7156",6,1,10,8,5,8,3,4,2
"7157",5,2,1,5,6,5,2,7,6
"7158",5,3,3,5,6,8,6,8,5
"7159",0,10,10,4,0,5,5,10,5
"7171",10,0,0,0,0,0,0,0,0
"7172",6,5,6,6,5,10,6,8,7
"7175",3,5,4,3,3,8,4,3,3
"7176",4,5,4,3,2,2,2,1,3
"7187",2,5,0,0,2,5,0,2,2
"7189",10,10,3,4,7,3,10,2,3
"7192",5,6,2,2,1,1,3,2,2
"7193",1,8,6,2,3,2,3,4,7
"7194",2,8,4,6,2,0,3,2,3
"7195",3,9,2,5,2,3,2,2,5
"7196",3,10,3,8,4,0,8,4,4
"7197",3,2,3,3,3,3,3,2,2
"7198",0,5,0,0,0,0,0,0,0
"7199",3,5,2,4,2,1,3,1,0
"7200",2,5,3,4,0,0,5,1,3
"7202",0,0,10,3,0,5,5,0,3
"7203",4,1,4,0,0,2,0,0,0
