"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"34189",4,9,6,5,9,3,6,4
"34190",3,9,6,5,8,3,7,4
"34191",4,8,9,5,8,5,7,3
"34192",0,8,8,4,6,4,6,10
"34193",3,8,7,4,8,4,6,4
"34194",4,8,9,5,8,5,7,3
"34195",3,9,6,5,8,3,7,4
"34196",2,10,6,5,9,3,7,4
"34197",9,8,7,6,8,5,4,0
"34198",1,10,7,4,9,8,6,2
"34199",0,3,2,5,8,0,4,2
"34200",2,7,8,4,7,3,8,6
"34201",0,8,7,5,7,10,8,9
"34202",2,7,9,6,10,3,9,10
"34205",1,7,6,4,7,2,7,10
"34206",0,8,9,7,8,0,9,10
"34207",0,5,10,5,5,2,7,9
"34208",0,10,6,5,8,3,9,9
"34209",0,6,6,6,6,2,8,10
"34210",3,7,6,10,8,4,6,7
"34211",2,9,8,6,9,2,8,9
"34212",0,8,6,6,0,0,0,0
"34213",1,10,6,6,1,0,0,0
"34214",0,6,10,6,2,0,0,0
"34215",2,9,5,5,2,0,0,2
"34216",2,8,2,5,5,0,0,10
"34217",3,9,5,5,5,0,0,0
"34218",5,8,3,5,6,1,2,2
"34219",6,6,3,5,7,3,5,5
"34221",9,8,4,5,6,2,5,5
"34222",6,6,3,5,7,3,5,5
"34223",5,9,3,4,5,1,2,2
"34231",3,7,4,2,3,1,6,3
"34236",3,5,3,6,6,1,2,2
"34237",1,7,3,2,3,3,3,3
"34238",9,2,2,4,5,1,1,3
"34239",2,5,2,2,1,1,1,1
"34240",4,8,5,3,3,1,1,2
"34244",5,8,4,6,5,2,4,2
"34245",2,5,6,3,3,1,3,1
"34246",5,5,5,6,5,1,1,4
"34247",5,5,5,5,5,2,5,5
"34248",2,5,7,2,3,2,5,3
"34250",1,6,2,2,2,1,2,2
"34252",0,3,1,0,0,0,1,8
"34254",9,4,3,6,5,1,1,1
"34255",3,7,5,5,4,1,3,3
"34256",5,5,5,5,4,2,3,2
"34257",1,7,3,1,2,1,5,5
"34259",2,7,5,3,4,1,5,3
"34261",1,5,1,1,2,1,1,1
"34262",2,7,4,4,4,1,4,2
"34263",3,6,5,3,4,1,4,2
"34264",10,3,2,6,5,0,0,1
"34265",1,5,1,1,2,1,1,1
"34267",4,5,3,6,5,3,2,1
"34268",5,5,3,5,4,4,1,1
"34269",8,4,4,3,5,2,2,2
"34270",4,5,6,3,4,4,2,3
"34272",5,5,3,3,3,3,2,2
"34273",2,5,2,3,3,3,7,5
"34274",3,7,3,3,4,3,0,0
"34275",6,7,4,3,5,5,2,2
"34276",2,7,2,4,3,1,1,1
"34277",5,9,8,2,1,0,0,0
"34278",0,5,0,2,0,1,5,4
"34279",5,3,8,8,0,0,0,0
"34280",9,5,8,2,0,0,0,0
"34282",0,6,0,5,2,7,0,0
"34283",0,5,2,3,7,0,4,6
"34285",5,2,9,8,1,0,0,0
"34286",0,8,0,0,0,0,0,0
"34287",6,5,7,5,7,6,7,6
"34288",6,5,5,6,5,6,7,8
"34289",3,5,5,3,4,5,5,3
"34290",5,1,5,4,5,10,8,6
"34293",10,3,5,7,3,3,0,0
"34294",3,8,5,5,7,0,0,0
"34297",0,10,6,6,9,6,0,0
"34298",4,3,2,1,5,0,1,2
"34299",5,8,5,6,4,1,1,1
"34300",6,5,3,4,4,3,3,3
"34301",4,7,4,9,8,3,4,2
"34302",8,8,3,9,9,1,1,0
"34303",0,10,5,0,5,0,8,8
"34304",6,8,6,3,1,0,4,3
"34305",6,10,8,3,8,0,0,0
"34306",2,5,4,4,3,1,1,1
"34307",0,10,6,0,10,0,5,5
"34308",4,8,7,4,4,4,5,5
"34309",4,9,6,5,5,4,4,4
"34310",8,10,6,8,9,8,9,7
"34311",5,10,4,3,10,3,0,0
"34312",3,10,5,6,7,7,8,10
"34313",9,7,6,8,0,0,0,0
"34314",5,10,5,5,5,3,3,3
"34315",2,5,5,4,3,1,1,1
"34316",0,10,5,5,4,4,4,4
"34317",0,10,5,5,5,5,0,1
"34319",7,7,7,7,3,3,0,0
"34321",7,8,7,6,8,4,3,2
"34322",0,5,4,3,3,2,2,2
"34323",0,5,0,0,0,0,0,0
"34326",1,5,2,1,1,1,1,1
"34327",0,7,4,0,4,0,0,0
"34328",0,10,8,1,1,0,0,0
"34329",0,10,7,1,0,2,0,0
"34330",0,10,10,0,0,0,0,0
"34331",0,0,0,0,0,0,0,0
"34332",0,7,5,10,7,0,0,0
"34333",2,10,10,2,1,1,1,1
"34334",1,6,1,1,6,1,1,1
"34335",0,6,3,0,3,0,0,0
"34336",3,7,6,5,4,4,3,3
"34337",3,7,6,4,2,2,3,2
"34338",0,4,5,4,5,3,9,3
"34339",1,5,6,3,3,2,3,1
"34340",2,5,5,6,3,3,3,2
"34341",0,5,3,3,2,2,3,1
"34342",3,4,5,5,3,3,4,4
"34343",0,6,6,6,8,4,9,0
"34344",1,7,5,4,3,3,3,2
"34345",2,3,8,2,1,1,3,2
"34346",1,4,8,3,3,3,3,3
"34347",1,5,5,4,4,4,4,2
"34348",0,5,5,4,3,3,9,2
"34349",1,7,5,3,3,3,3,3
"34350",2,4,6,4,3,3,3,3
"34351",2,5,5,4,4,3,7,3
"34352",4,5,6,5,5,3,4,5
"34353",2,4,8,3,3,2,3,3
"34354",1,5,4,4,3,2,3,3
"34355",1,6,4,3,3,3,8,3
"34356",4,7,5,5,3,3,4,3
"34357",4,5,5,4,1,1,1,1
"34358",4,5,7,5,2,2,3,3
"34359",7,5,3,3,3,3,3,3
"34360",2,7,5,4,2,2,2,2
"34363",9,4,1,5,4,1,2,1
"34364",1,9,10,1,4,1,1,1
"34365",10,5,3,6,1,3,1,1
"34367",3,8,7,6,6,1,5,4
"34369",1,9,5,3,4,0,1,8
"34370",5,8,7,5,8,5,6,6
"34371",7,8,7,5,8,5,6,6
"34372",6,8,7,6,8,7,6,6
"34373",4,7,7,5,8,5,5,6
"34375",8,7,7,6,8,6,6,6
"34376",5,7,6,6,7,5,6,7
"34377",5,7,6,5,7,5,5,6
"34378",5,7,7,7,8,5,6,7
"34380",6,8,7,6,8,6,6,7
"34382",3,5,9,3,2,3,1,1
"34383",7,8,5,6,1,1,1,1
"34384",8,6,4,5,4,3,2,1
"34385",4,9,6,4,3,2,2,2
"34391",2,9,4,5,8,5,6,5
"34392",3,8,4,4,10,3,6,2
"34393",4,9,5,2,10,4,6,1
"34394",3,8,2,4,9,4,7,3
"34396",10,6,1,1,1,1,1,1
"34397",0,2,9,0,0,0,4,4
"34398",7,10,0,0,0,0,0,0
"34399",0,2,2,0,0,0,2,2
"34400",6,10,0,0,0,0,0,0
"34401",10,6,1,1,1,1,1,1
"34402",0,2,6,2,2,0,6,9
"34403",0,0,0,0,0,0,0,0
"34404",6,10,0,0,0,0,0,0
"34405",2,3,3,9,3,0,0,0
"34406",1,9,5,4,5,1,7,2
"34407",1,6,3,4,4,0,7,4
"34408",9,3,0,5,2,1,0,0
"34409",0,6,3,0,0,5,5,5
"34410",0,5,2,0,1,5,5,5
"34411",5,9,1,1,1,0,3,0
"34413",0,6,9,5,2,0,5,2
"34414",0,0,0,0,0,0,0,0
"34415",7,5,5,3,4,3,2,2
"34416",7,8,0,0,4,0,2,1
"34417",5,5,5,5,5,1,5,5
"34418",8,4,7,4,4,1,2,2
"34419",8,9,3,2,5,1,1,1
"34421",5,10,4,4,6,3,4,2
"34424",2,5,5,5,5,5,5,5
"34425",10,3,3,5,2,2,2,2
"34428",6,2,3,2,7,0,3,4
"34430",0,3,2,5,4,0,2,3
"34431",0,9,6,2,5,2,0,0
"34437",0,9,5,0,5,0,7,8
"34438",0,2,1,3,0,0,0,2
"34439",2,7,5,5,2,2,2,8
"34441",0,5,5,0,5,2,0,5
"34442",7,6,4,6,1,1,2,2
"34443",0,7,4,2,3,1,3,3
"34445",8,4,5,5,0,0,1,1
"34446",4,5,5,5,4,0,1,1
"34447",1,5,5,3,1,1,3,4
"34448",2,6,7,3,4,1,4,4
"34449",0,8,4,0,3,7,1,0
"34450",2,7,3,4,5,2,3,4
"34452",5,9,2,1,1,0,0,0
"34453",8,4,2,0,5,0,0,0
"34454",0,10,0,0,0,0,0,0
"34457",0,0,0,7,0,0,0,0
"34458",0,9,0,0,0,0,0,0
"34459",0,0,5,0,8,0,3,2
"34461",9,0,2,0,3,0,0,0
"34462",2,4,0,0,8,2,0,0
"34463",0,8,0,0,6,0,0,0
"34465",0,5,0,0,0,0,0,0
"34466",3,10,1,1,3,0,3,1
"34471",5,5,6,5,10,1,1,0
"34473",4,8,5,7,7,4,5,1
"34475",7,7,7,6,4,2,2,5
"34478",0,10,2,1,9,0,0,0
"34479",7,10,1,3,8,0,0,0
