"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_I"
"50563",7,5,7,2,7,7,6,1
"50573",9,9,4,1,3,3,3,3
"50583",0,1,10,0,1,0,1,0
"50584",0,10,0,0,0,0,0,0
"50588",6,10,3,2,3,8,3,8
"50595",9,9,4,1,3,3,3,3
"50596",5,5,4,5,4,4,4,4
"50612",5,5,5,5,5,5,5,5
"50625",3,8,8,5,6,8,2,3
"50651",7,6,5,2,3,2,1,3
"50652",0,5,2,5,0,1,2,1
"50655",5,3,7,5,5,6,6,6
"50657",10,0,0,0,0,0,0,0
"50659",7,8,8,1,7,6,5,7
"50662",8,5,7,4,4,4,3,5
"50664",10,10,0,0,0,0,0,0
"50669",0,10,2,3,2,2,2,2
"50679",5,10,7,5,5,5,5,5
"50685",0,10,10,2,5,5,3,4
"50696",3,10,4,3,2,2,2,2
"50700",3,5,2,3,3,3,4,2
"50701",0,7,8,2,2,6,5,5
"50702",5,9,10,5,5,5,5,5
"50703",6,9,7,5,5,5,5,5
"50704",2,9,9,8,5,5,3,3
"50705",6,8,8,5,5,5,5,6
"50706",10,5,5,5,5,5,5,5
"50707",4,8,5,5,5,5,4,5
"50708",1,5,9,2,1,1,1,1
"50709",5,8,5,5,5,5,5,8
"50712",8,10,9,8,8,9,8,8
"50713",10,7,5,7,5,5,5,5
"50714",4,3,1,7,5,5,1,4
"50719",6,5,7,7,5,6,6,6
"50721",5,5,10,5,5,5,5,5
"50724",5,5,4,7,0,5,5,5
"50732",4,6,8,7,3,3,3,3
"50734",4,3,4,8,4,4,2,4
"50736",0,0,4,0,3,10,1,0
"50737",3,5,5,7,4,5,3,4
"50739",8,5,5,5,5,5,5,5
"50740",5,5,5,10,5,2,3,1
"50751",5,5,5,6,5,5,5,5
"50752",5,4,5,5,4,4,3,4
"50755",6,4,4,7,4,4,3,3
"50756",8,1,1,5,2,0,0,0
"50757",0,1,7,6,2,1,1,1
"50758",0,1,6,3,2,1,1,1
"50759",0,1,3,3,3,0,0,1
"50760",2,1,2,6,1,2,1,1
"50761",0,1,3,5,3,1,0,1
"50764",7,0,5,8,6,5,6,6
"50765",5,5,10,5,5,5,5,5
"50766",0,1,6,9,1,1,1,1
"50767",2,6,4,10,9,4,8,4
"50768",7,0,5,8,5,5,4,6
"50769",5,2,5,6,4,4,3,3
"50770",4,4,5,6,4,4,3,3
"50771",0,0,3,10,1,0,0,0
"50777",1,1,1,10,1,1,1,1
"50778",4,4,4,7,4,4,4,4
"50780",5,3,2,7,4,2,2,3
"50781",2,3,2,9,2,2,2,2
"50783",8,3,2,9,5,4,6,3
"50784",8,3,0,10,7,3,9,2
"50785",4,4,3,4,9,3,4,3
"50786",5,5,5,6,4,5,4,5
"50787",6,2,2,8,6,3,4,3
"50788",7,4,4,5,4,4,4,4
"50789",6,1,3,6,5,3,3,3
"50790",6,0,4,7,7,3,5,4
"50793",5,3,2,6,6,2,1,1
"50794",6,2,2,5,4,5,5,4
"50796",3,5,6,5,5,5,5,5
"50798",2,4,8,7,3,4,3,3
"50799",3,5,8,5,5,4,5,4
"50800",1,6,4,5,3,1,3,2
"50801",0,7,8,2,4,6,2,9
"50802",6,6,6,6,6,5,4,4
"50804",5,0,1,7,6,3,6,5
"50805",5,5,5,5,5,5,5,5
"50808",3,2,2,5,4,5,2,2
"50809",5,4,4,5,4,4,4,4
"50810",6,2,1,7,8,5,5,5
"50811",4,5,3,5,5,1,6,2
"50812",1,4,6,2,4,4,4,3
"50813",8,2,5,7,5,5,5,5
"50823",5,4,5,5,5,5,5,5
"50824",5,5,5,5,5,5,5,5
"50832",8,0,0,4,7,0,3,2
"50835",7,1,2,5,4,5,2,2
"50840",8,5,5,6,5,5,5,5
"50841",9,3,5,4,5,5,6,5
