"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"15460",8,5,0,10,8,7,5,8,0
"15461",6,8,4,7,4,1,10,0,1
"15463",7,4,1,5,9,7,2,4,0
"15464",10,9,4,6,7,3,8,3,0
"15465",4,10,10,4,3,2,10,3,5
"15466",5,1,0,0,7,10,3,3,0
"15467",4,8,8,1,1,1,7,1,1
"15468",7,1,2,2,2,2,3,1,0
"15470",6,3,0,7,9,10,2,9,0
"15471",0,3,5,0,7,5,0,1,0
"15472",7,7,8,0,0,0,2,0,3
"15474",10,6,2,2,4,2,3,1,2
"15475",5,7,3,0,3,2,7,1,8
"15476",3,10,5,3,1,0,3,3,1
"15477",4,9,2,5,1,0,7,1,0
"15478",7,7,0,10,8,7,7,8,0
"15479",8,4,0,8,9,8,4,7,0
"15480",4,3,2,6,2,2,8,1,2
"15481",5,5,5,5,0,5,5,0,0
"15482",7,5,0,3,4,8,3,6,4
"15483",7,9,5,7,3,3,7,1,2
"15484",5,3,0,5,8,5,3,4,0
"15485",3,2,0,6,6,10,5,3,0
"15486",7,6,3,9,6,3,7,3,0
"15487",8,5,1,9,6,4,5,3,1
"15488",5,3,1,9,8,3,2,3,0
"15489",7,8,6,4,6,5,8,5,4
"15491",2,10,7,0,0,0,9,0,0
"15492",7,6,3,8,5,2,8,4,1
"15494",8,3,5,5,4,7,5,1,0
"15495",4,10,2,5,2,1,8,4,4
"15496",3,2,0,4,6,8,1,3,0
"15497",5,10,8,4,2,0,7,0,5
"15499",6,8,4,5,2,1,7,1,2
"15500",6,2,0,2,8,10,2,4,0
"15501",5,1,0,5,8,9,1,9,0
"15503",6,8,5,3,1,3,7,0,1
"15504",8,6,4,2,4,2,5,2,4
"15505",4,4,2,5,6,5,4,6,0
"15506",4,9,0,2,0,0,4,0,0
"15507",7,1,0,8,7,6,7,7,1
"15508",1,1,0,1,1,1,1,1,1
"15509",6,6,3,5,4,3,5,4,3
"15510",5,8,3,5,3,3,9,3,1
"15511",5,6,0,7,10,3,2,4,0
"15512",6,7,0,8,4,3,7,0,0
"15513",7,7,3,8,6,7,7,7,2
"15514",5,4,10,0,6,4,7,3,3
"15515",4,1,0,10,7,2,3,5,0
"15516",0,6,1,0,0,0,9,5,0
"15517",5,2,0,5,7,9,4,4,0
"15518",8,5,1,7,7,6,6,5,0
"15519",4,7,8,2,3,3,6,2,5
"15522",6,6,0,10,6,2,6,2,0
"15523",5,2,0,2,8,5,4,0,0
"15524",7,9,0,3,2,0,0,0,0
"15526",8,4,0,9,9,9,5,7,0
"15527",3,7,4,0,0,0,2,3,10
"15528",5,6,2,6,2,2,7,0,3
"15529",9,0,0,8,8,7,7,6,0
"15530",5,3,0,1,9,9,1,10,0
"15531",3,9,2,5,2,2,6,2,0
"15532",9,5,1,3,0,0,1,0,0
"15533",0,10,10,0,0,0,10,0,10
"15534",6,9,2,6,4,3,7,4,1
"15535",7,6,0,5,5,3,2,3,0
"15536",6,4,3,0,6,0,6,0,6
"15537",5,9,5,5,1,0,7,0,6
"15538",2,0,0,2,5,9,3,10,0
"15539",3,8,10,2,0,0,6,0,10
"15540",8,7,5,7,7,7,7,5,0
"15541",7,7,6,8,7,5,7,4,3
"15542",10,8,8,5,0,5,5,0,0
"15543",8,5,7,1,4,4,1,0,0
"15544",7,8,2,8,6,2,7,6,0
"15545",8,9,6,6,5,3,10,0,4
"15546",8,0,5,0,6,4,2,0,3
"15547",5,4,0,4,3,5,4,8,2
"15548",3,7,3,4,1,0,9,0,3
"15549",6,5,3,8,9,6,5,6,1
"15552",7,2,0,9,5,9,0,0,0
"15553",7,4,2,6,7,7,7,3,1
"15555",5,6,10,0,0,3,5,0,0
"15556",6,4,0,6,10,7,4,4,0
"15558",7,7,6,4,1,0,6,0,1
"15559",5,4,0,9,7,4,5,4,0
"15560",3,10,2,3,0,0,7,0,3
"15561",5,9,4,4,2,0,10,2,2
"15563",3,3,1,7,5,4,2,5,0
"15566",3,5,10,2,2,2,2,2,2
"15567",7,3,0,7,10,10,3,8,0
"15569",6,0,2,3,10,10,2,10,0
"15570",8,0,10,0,0,0,7,0,8
"15571",7,9,2,5,2,2,7,0,0
"15574",7,7,4,4,4,1,6,1,1
"15576",10,0,0,10,10,10,0,10,0
"15578",8,6,2,8,8,1,6,1,0
"15579",7,7,4,3,1,0,7,0,3
"15580",3,6,3,3,2,2,6,0,6
"15581",9,0,0,5,9,9,0,8,0
"15582",5,5,0,9,3,1,5,1,0
"15583",2,5,2,0,1,0,8,0,5
"15584",4,2,2,0,1,0,7,0,0
"15585",7,2,2,7,8,7,5,6,0
"15586",6,7,2,8,3,2,6,4,3
"15587",4,4,10,0,0,0,3,0,6
"15588",6,4,0,7,7,4,3,8,0
"15589",7,3,0,7,8,4,5,3,0
"15590",10,1,5,5,5,1,5,1,2
"15592",0,0,0,0,10,4,0,4,0
"15594",8,5,4,2,6,6,4,4,5
"15595",10,2,5,4,5,0,1,0,0
"15597",10,6,1,8,9,7,8,2,1
"15598",3,6,1,7,2,3,5,2,0
"15600",5,1,0,6,6,9,5,9,0
"15602",1,5,0,0,1,0,7,0,0
"15603",5,5,7,3,4,0,3,0,3
"15604",4,8,9,0,0,0,7,0,10
"15605",6,8,4,4,3,4,7,3,3
"15606",0,2,8,0,0,0,0,0,8
"15607",7,8,5,5,1,1,9,0,6
"15608",6,10,5,6,3,2,7,1,3
"15609",6,10,4,4,5,3,8,3,2
"15610",5,7,2,5,4,3,7,4,0
"15611",3,10,5,8,0,4,4,0,5
"15612",6,9,4,5,4,3,6,3,0
"15613",5,4,4,6,5,4,4,1,5
"15615",6,4,2,7,8,5,5,5,1
"15616",7,7,7,4,4,4,9,1,5
"15617",10,3,0,6,9,6,4,5,0
"15618",8,7,4,8,5,4,5,2,0
"15619",10,3,1,4,9,5,3,6,0
"15620",7,3,0,6,9,6,3,4,0
"15621",9,5,2,4,1,2,1,0,1
"15622",7,9,4,3,3,3,8,3,1
"15623",5,5,0,8,7,7,5,7,0
"15624",5,8,2,3,1,0,10,0,3
"15625",8,5,2,8,9,7,5,8,0
"15626",5,1,0,9,4,4,4,4,0
"15627",7,5,5,0,6,6,6,6,0
"15628",3,9,1,1,1,1,1,0,0
"15629",7,8,3,5,3,2,8,1,4
"15630",9,5,5,7,8,6,5,6,0
"15634",7,7,2,8,2,3,1,4,0
"15635",7,4,1,7,6,6,2,7,1
"15636",5,4,3,7,5,2,8,5,2
"15637",8,5,0,7,9,8,3,5,0
"15638",5,9,2,3,2,2,7,2,5
"15639",3,7,7,3,2,0,3,0,2
"15640",10,7,5,3,3,0,7,0,3
"15641",7,8,5,3,4,2,5,2,2
"15642",10,4,0,4,8,5,6,0,0
"15646",5,3,0,5,5,7,2,10,1
"15647",8,4,4,5,6,6,4,2,1
"15648",5,6,6,0,0,0,9,0,7
"15650",10,10,4,5,5,5,9,0,0
"15651",5,5,5,5,5,5,5,5,5
"15652",9,7,0,7,8,8,5,6,0
"15653",4,8,10,5,4,3,5,1,6
"15654",9,7,6,7,7,5,6,2,0
"15655",8,6,1,7,3,2,6,1,1
"15656",4,9,5,3,0,3,10,1,1
"15657",7,8,7,4,7,2,7,1,3
"15659",7,7,9,8,0,6,2,2,0
"15661",3,1,0,4,7,9,2,8,0
"15663",8,5,3,8,8,8,5,7,0
"15664",7,9,7,4,3,0,7,0,7
"15665",6,9,2,6,5,2,7,2,2
"15666",7,6,5,9,5,2,6,2,1
"15667",5,10,6,3,2,0,7,0,0
"15669",5,9,1,5,1,0,8,0,0
