"","cand_A","cand_B","cand_C","cand_D","cand_F"
"389",5,5,5,0,0
"390",10,3,2,6,5
"391",3,6,8,1,1
"392",8,5,5,8,0
"393",5,10,9,3,0
"394",9,6,4,7,0
"395",8,10,8,7,8
"396",1,7,9,0,0
"397",3,5,7,2,0
"398",9,6,3,8,1
"399",1,0,4,4,0
"400",5,8,6,3,0
"401",4,8,4,3,0
"402",4,9,8,6,8
"403",2,8,4,4,7
"404",10,2,2,10,1
"405",9,2,1,9,3
"406",10,5,0,8,7
"407",1,10,8,5,5
"408",5,5,5,4,0
"410",10,0,0,10,6
"411",4,10,5,4,4
"412",2,6,10,0,0
"413",5,10,3,3,0
"414",4,10,8,3,6
"415",3,8,4,3,0
"416",7,0,0,8,10
"417",7,7,8,8,8
"418",3,3,10,3,0
"419",7,0,1,7,7
"420",3,10,7,1,0
"421",8,4,2,5,5
"422",6,7,6,3,0
"423",0,8,10,0,0
"424",0,7,9,0,0
"425",2,2,5,2,1
"426",1,1,0,1,8
"427",6,3,5,3,0
"428",5,1,5,4,3
"429",6,6,0,8,1
"430",4,7,4,3,7
"431",6,7,3,5,1
"432",6,6,8,3,3
"433",6,6,2,6,4
"434",4,8,5,4,0
"435",5,0,0,5,9
"437",10,1,1,10,3
"438",9,6,3,7,1
"439",7,2,4,3,0
"440",2,7,5,2,0
"441",6,8,7,3,0
"442",5,5,5,4,3
"443",7,5,1,7,1
"444",7,6,0,7,1
"445",10,2,0,6,0
"446",5,5,5,5,5
"447",0,4,10,0,0
"448",3,3,0,3,7
"449",7,5,4,6,5
"450",5,9,6,1,0
"451",10,3,3,8,1
"452",10,1,0,10,5
"453",7,5,7,5,2
"454",5,8,7,5,5
"455",3,5,4,2,0
"456",2,7,6,2,0
"457",3,5,4,2,0
"458",10,4,4,8,8
"459",9,4,2,8,5
"460",9,7,3,8,3
"461",7,0,0,3,5
"463",4,8,10,5,8
"464",6,6,7,5,0
"465",10,0,3,10,10
"466",4,8,4,2,0
"467",0,10,10,0,0
"468",10,0,0,4,9
"469",10,4,0,7,0
"470",0,9,8,1,0
"471",0,9,0,0,0
"472",8,5,3,4,1
"473",10,0,0,0,0
"474",7,5,3,10,0
"475",9,0,6,5,8
"476",8,7,6,6,7
"477",9,1,0,6,4
"478",9,2,2,7,2
"479",8,4,1,8,3
"480",3,9,7,4,1
"481",4,6,5,3,0
"482",7,8,3,4,4
"483",10,8,10,3,0
"484",6,6,8,0,0
"485",3,6,7,6,4
"486",10,4,0,10,7
"487",3,0,4,2,6
"488",7,0,0,7,5
"489",10,2,0,7,7
"490",5,5,3,4,0
"491",7,6,4,6,0
"492",8,6,7,3,0
"493",7,5,5,5,3
"494",7,0,2,0,0
"495",1,10,7,1,0
"496",9,1,0,9,10
"497",6,4,6,4,4
"498",6,6,2,6,2
"499",7,6,4,6,3
"500",9,4,1,8,6
"501",10,0,0,8,6
"503",4,7,5,3,0
"504",5,8,10,5,0
"505",6,5,3,4,1
"506",10,1,0,10,5
"507",7,7,9,2,0
"508",6,9,6,6,0
"509",6,6,3,4,0
"510",5,2,0,5,0
"511",1,7,9,1,0
"512",4,7,10,2,0
"513",7,2,1,7,1
"514",5,8,6,5,0
"515",5,7,5,4,0
"516",0,9,3,0,0
"517",9,0,1,10,9
"518",10,1,1,9,9
"519",10,0,0,10,10
"520",4,7,5,1,0
"521",6,6,1,5,1
"522",3,9,8,5,0
"523",10,6,2,9,1
"524",0,6,5,0,0
"525",0,0,0,0,0
"526",8,3,0,5,0
"527",8,6,4,9,2
"528",6,5,0,6,2
"529",6,2,1,3,1
"530",7,3,1,6,3
"531",4,10,8,5,1
"532",7,8,4,6,2
"533",8,2,1,7,5
"534",7,7,6,7,9
"535",5,0,0,8,7
"536",9,7,2,8,9
"537",7,4,4,1,1
"538",0,10,10,0,0
"539",10,4,0,7,0
"540",7,3,0,10,3
"541",9,2,1,8,4
"542",3,10,10,2,0
"543",10,3,5,10,0
"544",10,5,3,10,0
"545",0,9,10,0,0
"546",5,8,9,5,1
"547",8,2,4,7,0
"548",7,6,1,4,6
"549",7,6,10,4,0
"550",6,6,9,2,0
"551",7,7,3,2,5
"552",2,10,8,1,0
"553",8,7,0,8,0
"554",1,5,10,1,0
"555",5,7,9,5,0
"556",1,1,1,1,1
"557",8,7,6,5,0
"558",9,5,6,4,2
"559",0,6,8,0,0
"560",10,8,3,6,1
"561",5,5,5,5,5
"562",8,5,0,9,8
"563",4,4,4,4,10
"564",7,3,3,8,7
"565",4,10,10,0,0
"566",5,9,8,4,0
"567",10,4,6,6,6
"568",5,5,5,5,0
"569",5,7,9,2,0
"570",4,4,5,4,5
"571",2,9,7,1,4
"572",10,0,0,10,0
"573",5,7,8,3,1
"574",3,5,7,2,0
"575",1,9,7,1,0
"576",2,8,8,1,0
