"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"51850",0,0,1,5,0,10
"51852",0,7,2,6,3,2
"51853",0,3,10,5,5,9
"51854",0,0,0,0,0,0
"51855",7,0,0,0,8,0
"51856",0,5,9,10,3,8
"51857",1,1,10,10,0,10
"51860",0,0,0,0,0,0
"51862",0,0,0,0,0,0
"51863",7,0,0,0,7,0
"51866",0,0,0,0,5,0
"51867",0,0,0,5,0,0
"51869",0,0,0,0,0,0
"51871",0,0,0,0,0,0
"51872",6,4,0,3,6,0
"51875",0,0,2,2,0,3
"51879",0,0,5,0,0,0
"51880",0,5,10,1,0,3
"51881",0,0,0,0,0,0
"51882",0,5,7,4,3,4
"51883",0,5,1,0,0,0
"51885",4,6,4,7,3,4
"51887",7,5,0,5,5,3
"51890",0,0,0,0,5,0
"51891",0,6,2,0,0,3
"51892",0,0,0,0,0,0
"51894",0,0,0,0,0,0
"51898",0,1,6,2,1,6
"51899",0,5,10,2,0,5
"51900",4,0,3,3,0,3
"51901",0,5,10,1,4,0
"51903",0,0,0,3,5,5
"51904",4,10,0,0,10,10
"51907",0,0,0,0,0,0
"51909",5,0,0,4,5,2
"51912",0,0,0,0,0,0
"51913",0,0,0,0,0,0
"51914",0,0,5,2,2,9
"51915",0,3,0,0,7,0
"51916",0,0,0,0,0,0
"51918",0,0,0,0,0,0
"51919",0,0,0,0,0,0
"51920",1,1,1,1,1,4
"51922",0,0,0,0,0,0
"51923",5,10,10,5,5,5
"51925",2,3,0,5,7,5
"51928",5,3,4,8,7,5
"51929",0,10,5,3,5,6
"51930",0,0,1,0,0,0
"51931",10,9,0,5,7,4
"51932",0,0,0,2,1,0
"51933",0,0,0,0,0,0
"51934",0,0,0,0,2,0
"51935",0,3,3,3,3,0
"51936",5,1,0,3,10,0
"51938",5,3,0,4,6,1
"51939",4,3,2,5,2,5
"51940",4,0,0,7,7,5
"51945",0,0,0,0,0,0
"51946",2,4,6,6,10,10
"51947",0,0,1,1,0,7
"51948",9,5,7,8,6,4
"51950",0,5,8,8,0,9
"51951",10,0,0,0,0,5
"51953",3,1,7,4,6,3
"51955",0,0,0,0,0,0
"51956",6,6,6,6,6,6
"51957",9,6,0,0,8,0
"51958",0,10,2,1,1,0
"51959",5,0,0,8,4,6
"51961",0,0,10,3,0,2
"51963",0,0,0,0,0,0
"51964",0,4,0,3,3,2
"51965",0,0,0,0,0,0
"51966",0,2,1,1,1,1
"51967",0,0,0,0,0,0
"51968",10,0,0,0,8,0
"51969",10,2,0,0,10,0
"51971",0,0,1,0,0,0
"51974",0,0,0,0,0,0
"51975",0,0,0,10,5,10
"51976",3,0,5,3,0,7
"51978",2,0,0,4,1,5
"51979",8,0,5,0,0,5
"51980",10,0,2,1,1,3
"51981",0,0,0,0,0,0
"51982",0,0,0,0,0,0
"51983",0,0,5,0,0,0
"51984",0,0,0,0,0,0
"51985",1,2,1,1,0,2
"51986",5,5,5,0,5,10
"51987",1,1,3,2,7,2
"51988",0,3,3,5,0,6
"51989",10,2,0,1,6,1
"51991",0,0,0,0,0,0
"51992",4,0,0,1,6,1
"51993",3,1,3,1,1,10
"51994",0,0,0,0,0,0
"51995",0,0,0,0,0,0
"51996",10,10,10,10,10,10
"51997",0,0,0,0,0,0
"51998",0,0,0,0,0,0
"52000",0,0,1,7,2,2
"52001",0,4,3,3,1,5
"52002",3,0,0,1,1,2
"52003",6,3,2,4,7,2
"52004",0,0,0,0,0,0
"52005",0,0,0,0,0,0
"52006",1,1,1,1,1,1
"52007",7,4,8,6,5,4
"52009",9,8,6,6,7,5
"52010",4,3,3,2,5,0
"52014",0,2,5,3,4,6
"52015",0,1,2,1,1,1
"52025",3,2,0,3,3,3
"52026",1,2,3,1,0,2
"52027",0,0,1,0,0,0
"52030",10,8,0,2,6,2
"52031",0,0,0,10,0,8
"52035",0,0,9,0,0,1
"52036",0,0,2,1,0,1
"52038",0,0,0,0,0,0
"52039",0,0,10,0,0,0
"52040",0,0,0,0,0,0
"52041",5,5,5,4,3,3
"52042",0,0,10,0,0,2
"52044",0,0,0,0,1,0
"52047",0,0,10,0,0,0
"52049",7,5,0,4,5,0
"52050",10,10,10,10,10,10
"52051",7,3,0,4,9,2
"52052",0,3,0,2,5,6
"52053",0,0,2,0,0,3
"52054",0,0,0,0,0,0
"52055",0,4,1,4,1,10
"52056",0,0,0,0,3,5
"52057",7,3,0,1,10,0
"52058",1,10,9,4,10,10
"52059",0,8,0,1,0,0
"52061",0,0,10,0,0,0
"52062",4,4,0,2,4,2
"52063",0,0,0,0,7,0
"52064",0,1,3,1,1,0
"52065",0,0,0,0,3,0
"52066",10,10,10,10,10,10
"52067",0,0,9,1,1,2
"52068",3,4,3,5,2,6
"52069",5,0,0,0,6,0
"52070",0,5,10,0,10,0
"52071",0,0,0,0,0,0
"52072",0,0,0,0,0,0
"52073",0,0,4,3,0,3
"52074",0,4,2,3,5,6
"52075",10,9,0,0,0,0
"52077",3,3,5,5,0,4
"52079",0,0,3,1,1,0
"52083",3,3,4,4,3,5
"52084",0,3,4,0,5,5
"52086",0,0,0,0,0,0
"52087",0,0,0,0,0,0
"52089",0,0,10,2,0,5
"52091",0,0,0,0,0,0
"52093",0,0,0,2,0,3
"52095",0,0,0,0,0,1
"52096",10,5,5,4,4,1
"52097",0,0,0,0,0,0
"52099",0,0,0,0,0,0
"52100",8,1,0,4,7,0
"52103",3,1,1,3,2,4
"52104",0,0,0,0,0,1
"52105",3,6,0,0,5,0
"52109",0,0,0,6,1,3
"52110",1,0,0,2,0,3
"52112",0,5,0,0,0,0
"52113",0,0,0,0,0,0
