"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"38410",2,10,8,2,0,6,4,0,1
"38411",10,1,0,8,8,2,5,3,5
"38412",6,8,6,6,3,3,4,2,3
"38413",3,8,10,3,0,0,0,0,0
"38414",10,5,1,8,8,3,3,7,3
"38415",10,5,0,7,10,5,3,6,7
"38416",3,7,6,4,2,4,4,3,2
"38417",7,4,2,7,3,3,8,10,1
"38418",3,8,10,2,2,3,3,0,0
"38419",3,5,4,3,1,1,5,0,0
"38420",4,9,7,4,5,6,6,2,4
"38421",2,9,7,4,0,5,8,6,0
"38422",4,7,1,9,2,5,8,3,0
"38423",2,9,8,5,1,5,4,0,1
"38424",8,4,0,8,8,3,2,3,6
"38425",8,4,2,5,5,3,3,4,5
"38426",7,8,3,5,5,5,5,1,2
"38427",5,8,7,5,6,7,8,6,5
"38428",6,8,10,4,0,0,2,3,0
"38429",7,5,3,8,4,0,1,2,2
"38430",5,3,2,9,3,2,5,2,1
"38431",3,6,2,5,2,4,0,3,1
"38432",8,9,4,4,5,8,6,4,2
"38433",1,0,1,0,1,1,0,0,0
"38434",5,9,9,4,3,5,6,2,1
"38435",7,8,3,9,6,4,7,5,6
"38436",4,2,1,7,8,1,3,1,6
"38437",7,1,1,8,4,2,3,4,3
"38438",3,5,0,4,4,5,7,5,3
"38439",6,8,3,4,4,8,5,5,3
"38440",7,4,2,4,2,3,3,2,5
"38441",4,8,1,2,2,2,1,4,2
"38442",5,9,0,7,3,5,8,3,0
"38443",4,9,7,7,3,4,4,0,3
"38444",5,1,0,3,10,1,0,2,9
"38445",6,5,5,9,5,5,4,3,7
"38446",10,6,0,8,8,5,1,2,5
"38447",4,9,6,4,1,6,8,1,0
"38448",9,7,6,4,2,3,4,2,0
"38449",9,3,0,3,7,8,5,9,2
"38450",6,10,3,4,2,2,10,0,4
"38451",5,5,1,5,4,7,9,10,2
"38452",10,2,1,7,1,1,2,0,1
"38453",5,5,1,9,5,4,6,2,5
"38454",6,8,7,5,2,6,6,2,1
"38455",5,6,2,5,5,4,6,1,3
"38456",7,8,6,5,2,4,4,0,1
"38457",5,6,10,10,6,0,0,0,3
"38458",6,4,1,4,8,9,3,3,6
"38459",5,2,0,4,10,3,4,9,10
"38460",10,2,2,9,8,4,7,0,9
"38461",8,5,6,3,8,6,3,1,3
"38462",3,7,10,3,0,3,2,0,0
"38463",7,4,1,6,3,3,4,2,0
"38464",3,10,10,4,0,5,6,0,0
"38465",3,3,3,4,3,4,4,3,2
"38466",7,3,1,2,3,2,3,0,0
"38467",7,7,5,3,3,3,3,0,0
"38468",8,0,0,7,9,5,4,9,3
"38469",4,5,4,10,3,4,5,0,2
"38470",8,8,2,3,5,4,3,5,2
"38471",1,6,7,2,0,3,1,2,1
"38472",5,5,0,5,5,5,10,0,1
"38473",7,6,1,3,5,6,3,4,2
"38474",6,5,3,7,2,1,2,0,0
"38475",3,8,9,8,4,7,3,2,6
"38476",5,8,0,4,0,3,10,5,0
"38477",5,6,1,7,2,8,3,2,2
"38478",7,5,4,9,3,0,2,2,4
"38479",9,3,1,5,5,5,5,5,3
"38480",7,5,1,8,10,5,2,2,3
"38481",3,7,6,3,3,2,4,1,1
"38482",8,2,0,9,6,0,0,0,5
"38483",5,4,3,5,5,5,0,1,5
"38484",4,4,1,4,3,3,10,3,1
"38485",7,3,1,4,5,5,4,4,4
"38486",7,5,3,6,3,5,4,3,2
"38487",9,2,0,5,10,5,5,4,7
"38488",6,8,5,3,5,5,2,2,1
"38489",7,5,1,5,5,8,6,2,3
"38490",10,5,4,7,9,4,6,6,3
"38491",7,3,0,10,7,5,8,2,3
"38492",5,3,1,7,6,8,5,6,4
"38493",6,2,1,5,6,8,1,4,9
"38494",5,8,6,5,2,3,5,0,4
"38495",4,3,0,4,3,0,3,2,2
"38496",6,9,6,2,1,8,5,2,0
"38497",7,7,0,5,4,4,4,5,4
"38498",1,8,10,1,0,0,0,0,0
"38499",2,7,5,5,5,5,4,2,1
"38500",8,6,5,3,7,3,4,3,2
"38501",6,10,8,7,4,6,5,0,0
"38502",3,5,7,2,2,4,8,2,2
"38503",4,10,10,2,0,3,0,0,0
"38504",8,6,0,4,5,5,5,3,3
"38505",1,10,4,1,2,5,1,0,0
"38506",0,10,10,2,0,3,0,0,0
"38507",0,10,10,5,0,6,6,0,0
"38508",7,4,2,9,3,1,4,2,2
"38509",8,5,2,5,3,1,2,2,2
"38510",8,1,0,8,10,4,5,6,6
"38511",0,7,9,3,0,5,4,0,0
"38512",5,7,6,9,5,3,3,2,5
"38513",4,6,0,5,4,6,1,1,0
"38514",5,6,2,9,3,2,2,3,1
"38515",5,10,5,0,0,8,0,3,0
"38516",2,8,8,2,1,4,4,0,0
"38517",6,2,1,6,5,5,2,8,6
"38518",4,8,6,1,1,4,2,0,0
"38519",8,8,3,7,4,5,6,0,2
"38520",5,7,7,5,5,5,5,5,5
"38521",0,9,9,5,3,3,2,0,0
"38522",7,9,5,5,5,5,7,5,3
"38523",5,5,0,3,8,9,3,9,3
"38524",3,3,0,3,8,6,2,10,7
"38525",5,5,5,5,5,5,5,5,5
"38526",3,2,1,0,2,1,1,2,1
"38527",5,9,8,2,7,9,5,3,3
"38528",5,10,9,6,1,7,4,0,0
"38529",9,7,0,8,7,4,6,2,5
"38530",3,6,6,1,0,1,1,0,0
"38531",4,9,8,6,1,1,1,0,1
"38532",6,7,0,6,8,5,4,7,7
"38533",5,7,10,1,1,2,4,1,1
"38534",4,2,0,2,10,5,0,7,9
"38535",2,10,10,6,0,0,0,1,0
"38536",3,6,0,6,2,10,4,0,3
"38537",5,3,1,5,6,1,1,7,4
"38538",7,5,0,5,8,4,5,5,6
"38539",5,8,4,3,2,3,3,3,1
"38540",1,9,10,2,2,6,2,1,0
"38541",4,8,7,5,1,3,5,0,2
"38542",8,3,0,6,6,1,3,2,3
"38543",8,3,0,4,6,5,1,5,6
"38544",8,8,3,8,6,6,5,1,1
"38545",5,10,8,4,0,4,7,0,0
"38546",6,8,7,5,4,3,2,3,3
"38547",8,4,4,9,7,5,3,3,5
"38548",4,9,8,6,0,6,7,5,0
