"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"36704",8,0,4,6,2,3,5,4,2
"36706",7,0,5,8,5,4,4,5,3
"36707",1,0,2,6,7,4,5,7,8
"36708",8,6,7,6,7,5,7,6,6
"36709",8,5,8,8,8,6,8,8,8
"36710",5,1,6,7,7,3,5,8,7
"36711",6,6,4,6,6,4,4,4,4
"36712",0,0,2,6,7,5,3,6,6
"36713",7,4,5,1,4,6,6,7,5
"36714",5,5,4,3,4,5,3,6,7
"36715",3,10,1,2,1,3,0,2,6
"36716",3,0,4,4,7,6,5,2,7
"36717",3,0,5,7,5,5,5,4,6
"36718",5,0,5,5,5,5,5,5,5
"36720",3,7,3,5,6,6,5,3,7
"36721",0,0,5,7,6,4,2,5,7
"36722",4,0,2,6,7,7,2,4,6
"36724",7,0,4,5,8,6,8,5,5
"36725",8,0,7,3,5,1,4,8,2
"36726",3,9,4,5,6,5,4,4,8
"36727",5,0,6,7,8,7,9,7,2
"36728",0,0,5,4,6,6,4,6,6
"36729",5,1,5,4,5,4,3,3,4
"36730",8,0,6,6,7,7,3,7,4
"36731",2,1,2,6,9,6,6,8,6
"36732",7,3,8,6,5,8,8,8,4
"36733",7,3,7,6,4,5,5,6,7
"36735",9,5,7,7,6,6,6,6,4
"36736",7,3,5,6,6,6,5,5,5
"36737",8,0,7,6,6,3,7,6,6
"36739",7,1,8,7,7,7,7,8,4
"36740",4,1,4,6,5,9,6,4,3
"36742",8,2,5,7,6,7,6,4,5
"36743",7,7,9,5,7,5,2,5,10
"36745",7,0,5,8,8,7,6,6,8
"36746",4,2,7,4,5,4,2,5,4
"36748",3,0,3,6,6,4,3,4,5
"36749",7,1,7,7,4,5,7,7,7
"36750",5,0,6,5,5,5,5,6,5
"36751",5,0,5,6,7,4,5,4,3
"36752",6,0,2,10,10,8,8,5,8
"36753",1,0,3,6,6,8,5,8,10
"36754",8,1,6,6,5,2,5,5,3
"36755",8,2,3,7,2,7,2,7,7
"36756",0,10,10,10,10,0,0,0,0
"36758",6,1,3,8,9,4,7,7,5
"36759",7,4,7,7,6,6,6,5,7
"36760",6,3,7,7,8,7,6,5,7
"36761",7,6,8,5,6,3,5,4,4
"36762",5,7,4,4,7,6,2,3,7
"36763",4,0,5,5,10,7,5,4,9
"36765",5,3,5,5,7,7,4,3,8
"36766",5,3,5,5,5,6,8,4,6
"36767",7,9,8,3,1,7,4,7,7
"36769",2,0,5,7,7,7,5,7,7
"36770",6,2,7,6,6,5,5,6,5
"36771",5,4,5,5,6,5,5,5,6
"36772",6,4,5,7,7,7,8,5,5
"36773",6,5,5,5,7,3,2,2,2
"36774",8,0,7,7,6,6,6,7,7
"36775",10,1,8,10,8,8,8,8,7
"36778",7,3,6,6,4,4,5,6,2
"36780",7,2,6,4,3,4,5,5,3
"36781",8,6,7,4,7,7,7,6,5
"36782",8,3,6,5,6,5,6,5,5
"36784",6,1,6,6,9,2,7,6,3
"36785",4,8,7,2,3,7,3,7,2
"36786",9,0,7,5,2,4,4,1,1
"36787",6,6,5,3,6,7,3,4,5
"36788",7,6,9,0,2,2,4,7,1
"36789",3,0,8,9,6,5,8,9,2
"36792",7,0,9,5,4,3,5,7,3
"36793",5,6,7,3,3,3,3,6,4
"36794",7,1,7,7,8,7,7,7,6
"36795",6,1,4,4,6,5,7,4,6
"36797",4,1,4,7,6,10,5,4,9
"36798",7,3,8,6,6,6,6,7,5
"36799",2,2,5,5,5,5,6,5,4
"36800",9,7,4,8,7,6,7,6,8
"36801",4,4,6,4,3,8,5,5,5
"36802",8,2,5,4,3,2,5,6,6
"36803",5,2,5,5,4,4,4,4,2
"36805",4,2,7,6,6,5,6,5,6
"36807",1,1,3,2,7,7,5,2,2
"36808",5,0,6,5,6,7,8,5,0
"36810",9,2,3,7,3,2,8,6,5
"36811",7,2,4,5,6,4,6,4,6
"36812",7,1,4,6,7,6,7,6,6
"36815",5,0,6,8,9,7,7,5,7
"36816",4,0,6,4,8,7,4,3,8
"36817",8,5,8,5,2,2,6,5,6
"36819",6,0,7,5,9,7,5,1,9
"36823",7,3,6,8,8,7,6,6,6
"36825",7,0,5,10,7,7,9,5,6
"36826",7,0,6,8,8,6,8,6,8
"36827",7,6,6,5,9,2,6,2,2
"36828",9,0,6,9,5,6,7,2,2
"36830",7,0,5,7,8,6,6,5,5
"36831",7,5,6,2,4,7,6,4,3
"36832",6,0,6,10,8,6,7,6,7
"36834",9,3,8,9,9,8,8,7,8
"36835",1,0,2,5,5,8,1,8,9
"36836",10,0,7,4,8,5,8,7,5
"36837",9,0,4,7,7,4,6,3,1
"36838",7,2,8,4,8,6,8,8,8
"36839",4,4,8,5,3,5,6,1,5
"36840",7,4,7,5,5,7,7,5,7
"36841",8,1,6,8,5,4,4,6,4
"36842",5,1,4,8,9,8,7,3,8
"36843",4,0,4,7,6,4,7,5,2
"36844",8,8,8,8,7,7,8,7,7
"36845",2,0,5,6,7,6,7,3,5
"36846",2,6,7,5,7,8,4,8,8
"36847",8,1,8,8,8,6,8,5,8
"36848",7,1,6,7,5,4,7,6,5
"36850",3,0,2,7,8,7,4,5,7
"36851",7,3,3,8,5,6,6,2,6
"36852",8,0,6,9,6,6,5,5,6
"36853",6,5,8,6,8,7,3,6,9
"36854",3,0,3,8,6,2,6,2,3
"36855",5,3,4,5,6,7,7,5,8
"36856",7,0,5,8,10,5,8,6,8
"36857",5,3,5,7,7,7,6,6,6
"36858",8,0,3,7,6,5,6,1,8
"36860",8,5,7,8,5,6,3,6,2
"36861",6,0,6,7,8,5,7,5,7
"36862",10,2,7,6,3,3,8,5,5
"36864",0,2,1,2,1,10,0,0,2
"36865",1,5,6,1,5,9,1,2,5
"36866",10,1,6,7,7,6,8,7,4
"36867",7,0,7,7,8,6,7,6,8
"36868",5,3,7,8,8,7,5,6,8
"36870",7,6,8,7,3,5,6,4,0
"36871",6,1,8,8,8,7,8,7,4
"36872",4,7,7,5,7,5,4,5,5
"36874",8,1,4,6,4,3,6,6,3
"36875",7,7,9,6,1,7,1,6,5
"36876",5,1,5,6,5,8,7,6,3
"36877",5,10,6,3,6,7,6,5,7
"36878",2,7,4,6,4,7,2,3,7
"36880",7,0,7,7,7,5,7,7,6
"36881",6,2,4,5,4,3,5,4,5
"36883",3,0,8,9,7,8,6,6,3
"36884",3,0,5,5,8,6,7,6,5
"36885",6,1,5,5,8,7,5,6,10
"36886",7,7,6,3,1,2,4,6,2
"36887",8,8,7,6,5,5,7,7,5
"36888",6,0,6,6,7,4,3,2,0
"36889",5,0,3,2,5,6,4,2,7
"36890",6,1,6,6,3,4,2,4,3
"36891",4,8,4,6,4,4,3,5,2
"36892",7,2,5,7,8,7,8,5,5
"36893",9,4,7,7,6,6,7,5,7
"36894",8,4,8,8,8,8,8,8,6
"36895",10,6,7,8,5,7,7,7,3
"36897",5,3,7,6,5,6,5,4,7
"36898",8,1,4,6,2,3,7,7,1
"36899",7,0,5,7,7,8,3,5,6
"36900",8,1,8,5,5,5,6,5,4
"36901",4,0,6,10,6,5,3,6,1
"36902",7,1,5,7,6,6,6,5,7
"36904",5,4,7,5,1,7,3,5,6
"36906",2,8,4,4,3,4,2,5,8
"36907",3,0,4,6,7,4,3,7,8
"36908",9,0,8,8,8,2,3,6,7
"36909",5,8,4,5,6,4,5,5,1
"36910",2,5,3,4,4,5,1,4,7
"36912",6,0,3,8,6,3,7,5,6
"36913",7,2,4,7,7,7,7,5,2
"36914",7,0,6,7,7,5,7,4,6
"36915",7,0,8,8,6,1,4,7,5
"36916",5,0,10,4,4,4,3,7,3
"36917",6,3,4,6,3,8,4,6,7
"36918",5,5,7,6,7,8,7,7,9
"36919",2,0,3,8,7,6,3,2,6
"36922",9,6,7,3,1,3,3,5,6
"36926",9,5,6,7,3,4,4,8,2
"36927",5,4,6,6,8,8,8,6,7
"36928",5,4,5,3,1,5,4,3,1
"36929",7,2,6,7,8,7,6,6,5
"36930",5,0,3,7,6,6,6,4,3
"36931",3,2,6,7,9,7,8,8,6
"36932",6,0,6,7,7,5,6,7,6
"36934",4,0,6,9,10,8,6,2,9
"36935",6,1,3,8,9,7,8,6,4
"36936",7,0,6,6,5,3,3,4,2
"36937",8,3,8,4,8,5,6,9,3
