"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"31802",6,6,3,3,2,5
"31803",5,5,5,5,5,5
"31804",7,3,3,4,3,3
"31805",7,3,4,3,2,6
"31806",7,6,2,5,2,4
"31807",5,5,3,4,3,4
"31808",0,5,5,5,2,8
"31809",5,5,5,5,5,5
"31810",7,5,5,5,6,5
"31813",0,2,3,1,5,2
"31814",7,5,2,5,3,5
"31815",0,5,5,0,2,5
"31816",4,5,5,5,5,5
"31817",8,6,7,7,8,8
"31818",3,3,3,3,3,3
"31819",5,6,3,3,3,3
"31820",1,2,2,1,1,5
"31822",1,10,0,0,3,5
"31824",5,5,3,3,5,5
"31825",5,4,5,3,3,4
"31826",5,5,5,5,5,5
"31827",7,4,3,5,1,3
"31828",7,5,7,5,5,5
"31829",4,6,5,5,5,5
"31830",8,1,4,1,1,1
"31831",1,5,1,1,4,1
"31832",5,5,3,3,3,3
"31833",5,5,5,5,5,5
"31834",10,4,10,5,0,4
"31835",4,3,3,3,2,3
"31836",3,2,3,3,3,2
"31837",5,5,8,2,2,5
"31838",8,7,5,5,5,5
"31840",3,8,3,3,7,3
"31841",5,5,7,5,8,4
"31842",8,4,4,7,4,4
"31843",5,5,5,5,5,5
"31844",5,4,4,8,4,4
"31845",2,6,4,7,8,5
"31846",7,5,2,2,1,5
"31847",5,5,5,5,5,5
"31848",0,5,0,5,5,7
"31850",8,3,3,3,3,3
"31851",5,5,5,5,7,5
"31852",5,7,6,2,1,6
"31853",5,5,5,5,5,5
"31854",5,2,2,0,0,2
"31855",9,7,7,5,5,7
"31856",5,5,5,5,5,5
"31857",5,6,2,2,2,2
"31858",5,5,5,5,5,5
"31859",5,5,5,5,5,5
"31860",8,3,5,5,2,7
"31861",3,5,3,3,3,3
"31862",0,7,2,2,7,2
"31863",5,5,5,5,5,5
"31864",5,5,1,5,10,2
"31865",8,3,2,6,2,2
"31866",8,8,0,0,5,8
"31867",4,6,0,0,6,0
"31868",5,7,0,5,5,5
"31869",9,3,3,7,3,3
"31871",6,4,3,6,4,5
"31872",5,3,4,3,3,4
"31873",8,5,3,5,1,5
"31874",5,5,5,2,2,2
"31875",6,5,5,5,5,5
"31876",5,3,2,2,2,3
"31877",7,4,4,5,4,4
"31879",9,5,5,6,3,4
"31880",5,6,3,4,5,4
"31881",5,6,6,5,5,5
"31882",0,6,3,1,6,1
"31883",4,8,5,4,3,5
"31885",7,5,5,5,5,5
"31886",5,5,4,4,4,4
"31888",5,6,6,5,1,3
"31889",5,6,3,5,3,3
"31890",8,3,2,0,0,9
"31891",0,7,1,1,8,0
"31892",9,3,3,5,3,3
"31893",7,3,0,3,0,5
"31895",7,1,7,6,2,2
"31896",5,4,5,4,4,4
"31897",6,5,5,5,8,5
"31898",6,5,5,5,5,5
"31899",5,4,5,5,4,5
"31900",7,5,3,5,5,8
"31901",5,5,4,5,5,4
"31902",5,5,5,5,5,5
"31904",6,5,5,6,5,6
"31905",2,5,8,2,0,5
"31907",5,6,5,5,5,5
"31909",1,5,3,2,3,2
"31911",5,3,5,0,0,3
"31913",10,1,3,2,3,4
"31914",7,5,4,5,5,5
"31915",1,2,1,1,1,1
"31916",7,6,6,4,4,5
"31917",4,5,5,4,4,5
"31918",5,5,3,6,5,6
"31919",2,5,5,5,6,5
"31920",5,3,3,4,3,3
"31921",1,1,1,0,1,1
"31922",5,8,3,6,6,3
"31923",5,5,5,5,5,5
"31924",0,10,0,0,8,0
"31926",5,5,1,1,3,4
"31927",5,3,7,5,3,4
"31928",0,5,0,0,6,0
"31929",5,7,3,3,1,3
"31930",5,5,5,5,5,5
"31931",9,7,5,3,7,5
"31932",6,2,1,2,2,2
"31933",5,5,5,5,5,5
"31935",3,8,3,3,8,3
"31936",7,5,2,2,0,4
"31937",9,5,3,5,2,5
"31938",4,6,5,4,5,5
"31939",7,3,0,5,1,3
"31940",7,5,5,5,5,5
"31941",8,6,5,6,3,7
"31942",0,1,1,1,1,1
"31943",10,5,5,5,5,5
"31944",5,5,5,5,5,5
"31945",5,5,5,4,5,5
"31946",5,4,4,4,4,4
"31947",5,5,5,5,5,5
"31948",5,5,3,3,3,7
"31949",5,5,5,5,5,5
"31950",5,5,5,5,5,5
"31951",5,5,5,5,5,5
"31952",4,6,2,2,2,3
"31953",4,3,2,1,1,3
"31954",3,5,5,3,3,5
"31955",3,4,4,4,3,4
"31956",5,7,7,9,9,5
"31957",7,5,5,0,0,5
"31958",2,8,1,2,1,2
"31959",5,7,2,7,2,5
"31960",5,5,5,10,5,5
"31961",5,5,5,5,5,5
"31963",7,0,5,5,7,6
"31964",4,6,4,2,2,4
"31965",4,9,6,3,5,7
"31966",3,7,2,3,3,3
"31967",4,3,3,6,3,3
"31968",8,3,5,5,2,4
"31969",8,8,3,7,4,8
"31970",6,5,5,5,5,5
"31971",3,5,3,4,4,3
"31972",8,4,8,9,1,8
"31973",8,7,3,5,5,5
"31974",5,5,5,5,5,5
"31975",5,5,3,3,3,5
"31976",6,7,7,5,7,6
"31977",7,5,5,6,3,5
"31978",10,0,0,10,0,0
"31979",8,6,1,3,5,5
"31980",8,4,8,5,4,8
"31981",3,5,3,1,3,4
"31983",7,3,4,3,2,4
