,A,B,F,G,H,I
v1,0.2,1.0,0.5,0.6,0.2,0.1
v2,0.1,0.3,0.1,0.2,0.3,0.1
v3,0.1,0.8,0.1,0.2,0.1,0.1
v4,0.0,0.3,0.0,0.0,1.0,0.0
v5,0.3,0.2,0.7,0.4,0.0,0.1
v6,0.1,0.8,0.2,0.4,0.5,0.1
v7,0.5,0.5,0.3,0.4,0.1,0.5
v8,0.0,0.8,0.0,0.3,0.2,0.0
v9,0.3,0.0,0.0,0.0,0.9,0.2
v10,0.8,0.5,0.4,0.2,0.2,0.7
v11,0.8,0.2,0.6,0.5,0.2,0.2
v12,0.0,0.4,0.0,0.4,0.0,0.0
v13,0.8,0.4,0.6,0.2,,
v14,0.4,0.2,0.4,0.2,0.0,0.0
v15,0.1,0.1,0.1,0.1,0.1,1.0
v16,0.1,,0.1,0.1,0.1,0.1
v17,0.1,0.8,0.2,0.3,0.4,0.1
v18,0.9,0.1,0.2,0.3,0.3,0.7
v19,0.9,0.1,0.1,0.1,0.1,0.1
v20,0.1,0.1,0.0,0.0,1.0,0.0
v21,0.9,0.1,0.3,0.4,0.1,0.5
v22,0.5,0.6,0.2,0.5,,
v23,0.7,0.4,0.3,0.4,0.4,0.1
v24,1.0,0.0,1.0,0.0,0.0,0.0
v25,1.0,0.0,1.0,0.0,0.0,0.0
v26,0.4,0.0,0.0,0.0,0.0,
v27,0.0,0.0,0.0,0.0,0.0,0.0
v28,0.0,0.3,0.0,0.0,0.4,0.0
v29,0.7,0.0,0.6,0.0,0.0,0.0
v30,0.0,1.0,0.0,0.4,0.0,0.0
v31,0.8,0.6,0.5,0.4,0.2,0.7
v32,1.0,0.0,0.0,0.0,0.0,0.0
v33,0.4,0.1,0.1,0.2,0.2,0.1
v34,0.0,0.8,0.0,0.3,0.5,0.0
v35,0.8,0.2,0.5,0.5,0.2,0.4
v36,1.0,0.0,1.0,0.0,0.0,0.7
v37,1.0,0.2,0.6,0.3,0.0,0.8
v38,0.5,0.0,0.5,0.0,0.0,0.0
v39,0.0,0.9,0.0,0.0,1.0,0.0
v40,1.0,0.6,0.0,0.0,0.0,0.0
v41,0.0,0.0,0.0,0.0,0.0,0.0
v42,0.0,0.0,0.0,0.0,0.0,0.0
v43,0.4,0.3,,,,
v44,0.0,0.3,0.0,0.2,0.1,0.0
v45,0.8,0.2,0.7,0.5,0.0,0.7
v46,0.0,1.0,0.0,0.5,0.5,0.0
v47,1.0,0.2,0.8,0.5,0.0,0.8
v48,0.5,0.2,0.3,0.1,0.1,0.1
v49,0.0,1.0,0.0,1.0,0.0,0.0
v50,0.9,0.7,0.4,0.4,0.0,0.2
v51,0.0,0.7,0.0,0.2,0.0,0.0
v52,0.9,0.1,0.1,0.1,0.1,0.1
v53,0.1,0.1,0.1,0.1,0.1,0.1
v54,0.1,0.8,0.1,0.1,0.1,0.1
v55,0.0,0.8,0.0,0.3,0.0,0.0
v56,0.3,0.3,0.0,0.0,0.0,0.0
v57,1.0,0.0,0.3,0.5,0.0,0.7
v58,0.9,0.1,0.1,0.2,0.1,0.1
v59,0.0,0.0,0.0,0.0,0.0,0.0
v60,0.5,0.4,0.4,0.5,0.3,0.2
v61,0.1,0.1,0.1,0.1,0.1,0.1
v62,0.0,0.7,0.0,0.0,0.0,0.0
v63,0.1,0.1,0.1,0.1,0.1,0.1
v64,0.1,0.6,0.1,0.4,0.9,0.1
v65,0.1,0.7,0.1,0.3,0.6,0.1
v66,0.1,0.3,0.1,0.1,0.0,0.1
v67,0.0,0.3,0.0,0.0,0.7,0.0
v68,0.0,0.8,0.1,0.6,0.1,0.1
v69,1.0,0.2,0.5,0.4,0.5,0.8
v70,0.0,0.7,0.0,0.0,0.0,0.0
v71,0.7,0.1,0.1,0.1,0.1,0.1
v72,1.0,0.1,0.3,0.2,0.2,0.1
v73,0.3,0.5,0.6,0.5,0.0,
v74,0.0,0.8,0.0,0.0,0.0,0.0
v75,0.0,1.0,0.0,0.5,0.0,0.0
v76,0.6,0.1,0.5,0.4,0.0,0.3
v77,0.0,0.7,0.0,0.4,0.0,0.0
v78,0.3,0.7,0.2,0.4,0.3,
v79,0.0,0.8,0.0,0.0,1.0,0.0
v80,0.1,0.8,0.1,0.4,0.3,0.1
v81,,0.0,,0.0,0.0,0.0
v82,0.5,0.5,0.5,0.5,0.5,0.5
v83,0.1,0.1,0.1,0.1,0.1,0.1
v84,0.8,0.1,0.7,0.1,0.2,0.8
v85,1.0,0.1,0.7,0.2,0.4,0.7
v86,0.0,1.0,0.0,0.0,0.0,0.0
v87,0.7,0.2,0.0,0.4,0.0,0.1
v88,0.5,0.6,0.0,0.2,0.5,0.0
v89,0.0,0.8,0.0,0.7,0.0,0.5
v90,0.0,0.8,0.0,0.7,0.2,0.0
v91,0.3,0.7,0.1,0.4,0.6,0.1
v92,0.1,0.8,0.1,0.3,0.1,0.1
v93,0.0,0.0,0.0,0.0,0.0,0.0
v94,0.6,0.2,0.3,0.0,0.0,0.0
v95,1.0,0.0,1.0,0.0,0.0,0.0
v96,0.0,0.0,0.0,0.0,0.0,0.0
v97,0.6,0.1,0.0,0.1,0.0,0.0
v98,1.0,0.0,0.6,0.0,0.0,0.0
v99,0.5,1.0,0.5,0.5,0.3,0.3
v100,0.3,0.8,0.5,0.5,,
v101,0.1,0.3,0.1,0.7,0.1,0.1
v102,0.1,0.8,0.1,0.5,0.5,0.1
v103,0.1,0.8,0.1,0.1,0.1,0.1
v104,0.1,0.5,0.0,0.2,0.0,0.0
v105,0.0,0.4,0.2,0.6,0.1,0.0
v106,0.5,0.2,0.2,0.2,0.0,0.2
v107,0.6,0.1,0.3,0.1,0.0,0.5
v108,0.0,0.0,0.0,0.0,0.0,0.0
v109,0.1,0.9,0.1,0.4,0.5,0.2
v110,0.0,0.0,0.0,0.0,0.0,0.0
v111,0.5,0.5,0.5,0.3,0.3,0.2
v112,0.8,0.1,0.1,0.1,0.1,0.1
v113,0.0,0.7,0.0,0.0,0.4,0.0
v114,0.0,0.0,0.0,0.0,0.0,0.0
v115,1.0,0.1,0.6,0.1,0.2,0.1
v116,0.0,0.7,0.0,0.0,0.0,0.0
v117,0.7,0.1,0.1,0.1,0.1,0.1
v118,0.0,0.0,0.0,0.1,1.0,0.0
v119,1.0,0.1,0.8,0.1,0.1,0.5
v120,0.5,0.8,0.0,0.0,0.0,0.0
v121,1.0,0.0,1.0,0.0,0.0,0.0
v122,0.1,0.1,0.1,0.1,0.1,0.1
v123,0.0,1.0,0.0,1.0,0.0,0.0
v124,0.4,0.2,0.2,0.0,0.4,0.0
v125,1.0,0.4,0.3,0.3,0.3,0.3
v126,0.5,0.5,,,,
v127,0.1,0.1,0.1,0.1,0.1,0.1
v128,0.8,0.1,0.4,0.6,0.3,0.7
v129,0.0,0.0,0.0,0.5,0.0,0.0
v130,1.0,0.1,0.2,0.1,0.1,0.1
v131,0.0,0.0,0.0,0.0,0.0,0.0
v132,0.7,0.1,0.1,0.1,0.1,0.1
v133,0.0,0.8,0.1,0.4,,
v134,0.0,0.5,0.0,0.0,0.0,0.0
v135,0.1,0.1,0.1,0.1,0.1,0.2
v136,0.0,0.6,0.0,0.6,0.1,0.0
v137,0.2,0.4,0.2,0.1,0.2,0.2
v138,0.0,0.7,0.0,0.0,0.0,0.0
v139,0.5,0.5,0.5,0.5,0.5,0.5
v140,0.0,0.8,0.0,0.0,0.0,0.0
v141,0.2,1.0,0.0,0.0,0.0,0.0
v142,0.5,0.3,0.4,0.4,0.0,0.3
v143,0.0,0.5,0.0,0.3,0.4,0.1
v144,1.0,0.0,0.9,0.0,0.0,0.2
v145,0.1,0.5,0.0,0.8,0.1,0.0
v146,0.6,0.2,0.5,0.3,0.2,0.5
v147,0.0,1.0,0.0,0.0,0.0,0.0
v148,0.0,0.2,0.0,0.3,0.1,0.0
v149,0.7,0.0,0.6,0.0,0.0,0.6
v150,0.0,0.8,0.0,0.0,0.0,0.0
v151,0.5,0.2,0.1,0.1,0.1,0.1
v152,0.0,1.0,0.0,1.0,0.2,0.0
v153,1.0,0.2,1.0,0.2,0.1,0.1
v154,0.1,0.8,0.1,0.1,0.1,0.1
v155,0.1,0.9,0.2,0.6,1.0,0.3
v156,0.0,0.0,0.0,0.0,0.0,0.0
v157,0.7,0.1,0.1,0.1,0.1,0.1
v158,0.6,0.2,0.5,0.4,0.2,0.6
v159,1.0,0.1,0.3,0.1,0.1,0.1
v160,0.0,1.0,0.5,0.8,0.0,0.3
v161,0.4,0.3,0.4,0.5,0.0,0.0
v162,0.1,1.0,0.1,0.5,0.5,0.5
v163,0.6,0.2,0.4,0.4,0.0,0.0
v164,0.8,0.0,0.5,0.0,0.0,0.0
v165,0.0,0.4,0.0,0.7,0.2,
v166,1.0,0.2,0.6,0.3,0.1,0.3
v167,0.5,0.8,0.1,0.4,0.2,0.5
v168,0.8,0.1,0.1,0.1,0.1,0.1
v169,1.0,0.2,0.7,0.3,0.1,0.6
v170,0.0,0.9,0.0,0.5,0.6,0.1
v171,1.0,0.0,0.5,0.0,0.0,0.0
v172,0.0,0.7,0.0,0.5,1.0,0.0
v173,0.0,1.0,0.0,0.5,0.0,0.0
v174,1.0,0.2,0.5,0.2,0.0,0.7
v175,0.0,0.0,0.0,0.0,0.0,0.0
v176,0.0,0.0,0.0,0.0,0.0,0.0
v177,0.9,0.0,0.7,0.0,0.0,0.4
v178,1.0,0.0,1.0,0.0,0.0,1.0
v179,0.0,0.9,0.0,0.6,0.5,0.0
v180,0.4,0.4,0.4,0.3,0.0,0.0
v181,0.1,0.3,0.1,0.1,0.3,0.1
v182,0.8,0.2,0.5,0.4,0.6,0.5
v183,0.2,0.2,0.1,0.1,0.1,0.1
v184,1.0,0.7,0.7,0.3,0.2,0.1
v185,0.8,0.1,0.1,0.1,0.1,0.1
v186,0.5,0.5,0.4,0.4,0.0,0.0
v187,0.5,0.3,0.4,0.3,0.0,0.3
v188,0.0,0.5,0.2,0.4,0.0,0.0
v189,0.5,0.3,0.2,0.4,0.2,0.6
v190,0.4,0.3,0.3,0.3,0.3,0.5
v191,0.3,0.2,0.0,0.0,1.0,0.0
v192,0.1,0.9,0.2,0.4,0.5,0.1
v193,1.0,0.0,1.0,0.0,0.0,0.0
v194,1.0,0.2,1.0,0.2,0.0,0.0
v195,0.1,0.8,0.1,0.1,0.1,0.1
v196,0.1,0.8,0.1,0.1,0.1,0.1
v197,0.2,0.0,0.0,0.0,0.0,0.0
v198,0.0,0.6,0.0,0.0,1.0,0.0
v199,0.4,0.4,0.0,0.2,0.0,0.0
v200,0.5,0.5,0.5,0.5,0.5,0.5
v201,0.0,0.8,0.0,0.4,0.2,0.0
v202,1.0,0.0,0.6,0.0,0.0,0.5
v203,0.9,0.1,0.3,0.2,0.2,0.3
v204,0.0,0.7,0.0,0.1,0.1,0.0
v205,1.0,0.2,0.7,0.3,0.0,0.4
v206,0.8,0.0,0.7,0.0,0.0,0.8
v207,0.5,0.5,0.0,0.0,0.5,0.0
v208,0.5,0.5,0.0,0.5,0.5,0.5
v209,0.6,0.0,0.0,0.0,0.0,0.0
v210,0.1,0.8,0.1,0.3,0.4,0.1
v211,0.9,0.1,0.8,0.4,0.0,0.6
v212,0.1,0.1,0.1,0.1,0.1,0.1
v213,0.4,0.8,0.0,0.0,0.0,0.0
v214,0.1,0.3,0.4,0.0,0.2,0.1
v215,0.0,0.5,0.0,0.0,0.0,0.0
v216,0.1,0.8,0.2,0.4,0.5,0.1
v217,1.0,0.1,0.8,0.1,0.1,0.1
v218,0.1,0.7,0.1,0.4,0.0,0.7
v219,1.0,0.0,0.5,0.0,0.0,0.0
v220,0.4,0.2,0.0,0.0,0.0,0.0
v221,0.9,0.2,0.7,0.5,0.0,0.8
v222,0.0,0.8,0.0,0.5,0.0,0.0
v223,1.0,0.1,0.5,0.1,0.1,0.8
v224,0.0,0.8,0.0,0.5,0.5,0.0
v225,1.0,0.0,0.0,0.0,0.0,0.0
v226,1.0,0.0,0.8,0.2,0.0,0.8
v227,0.2,0.8,0.1,0.2,,
v228,0.6,0.1,0.1,0.1,0.3,0.1
v229,1.0,0.0,0.5,0.0,0.0,0.0
v230,0.0,0.0,0.0,0.0,0.0,0.0
v231,1.0,0.1,0.8,0.6,0.1,0.8
v232,0.0,0.0,0.0,0.0,0.0,0.0
v233,0.9,0.2,0.2,0.4,0.2,0.3
v234,0.0,0.4,0.3,0.1,0.0,0.4
v235,0.5,0.0,0.3,0.0,0.0,0.0
v236,0.8,0.1,0.4,0.2,0.0,0.0
v237,0.0,0.7,0.1,0.2,0.5,0.1
v238,0.1,0.5,0.2,0.3,0.0,0.0
v239,1.0,0.0,1.0,0.2,0.6,0.9
v240,0.1,0.8,0.1,0.3,0.2,0.1
v241,0.4,0.0,0.6,0.0,0.0,0.0
v242,1.0,0.0,0.8,0.0,0.5,1.0
v243,0.0,0.5,0.0,0.0,0.0,0.0
v244,0.9,0.1,0.1,0.1,0.1,0.1
v245,0.5,0.8,0.5,0.4,0.0,0.4
v246,0.5,0.2,0.4,0.2,0.1,0.4
v247,0.1,0.2,0.1,0.1,0.3,0.1
v248,0.0,0.3,0.0,0.5,0.0,0.5
v249,0.8,0.2,0.9,0.2,0.1,0.3
v250,0.5,0.3,0.2,0.2,0.4,0.2
v251,1.0,0.1,1.0,0.1,0.1,1.0
v252,1.0,0.0,0.0,0.0,0.0,0.0
v253,1.0,0.0,0.7,0.0,0.0,0.4
v254,0.1,1.0,0.1,0.4,0.9,0.1
v255,0.7,0.0,0.6,0.2,0.0,0.6
v256,0.3,0.6,0.3,0.3,0.0,0.3
v257,0.6,0.1,0.8,0.2,0.1,0.1
v258,0.4,0.1,0.1,0.1,0.1,0.1
v259,0.8,0.3,0.2,0.2,0.2,0.0
v260,1.0,0.1,0.8,0.5,0.0,0.7
v261,0.2,0.2,0.2,0.1,0.0,0.2
v262,0.0,0.0,0.0,0.0,0.0,0.0
v263,0.2,0.5,0.6,0.3,0.1,0.8
v264,0.2,0.3,0.2,0.2,0.3,0.2
v265,1.0,0.0,0.9,0.0,0.0,1.0
v266,0.7,0.1,0.1,0.1,0.1,0.1
v267,0.0,0.0,0.0,1.0,0.0,0.0
v268,1.0,0.0,0.6,0.5,0.0,0.9
v269,1.0,0.0,0.7,0.0,0.2,0.6
v270,0.2,0.2,0.2,0.2,0.0,0.2
v271,0.1,0.8,0.1,0.1,0.1,0.1
v272,0.3,0.6,0.2,0.3,0.1,0.2
v273,0.0,0.0,0.0,0.0,0.0,0.0
v274,0.8,0.2,0.5,0.2,0.0,0.2
v275,0.5,0.5,0.5,0.4,0.2,0.5
v276,0.0,0.3,0.0,0.0,1.0,0.0
v277,0.8,0.3,0.5,0.4,0.3,0.4
v278,0.0,0.6,0.0,0.2,0.1,0.0
v279,0.0,0.5,0.0,0.4,0.0,0.0
v280,0.1,0.8,0.1,0.1,0.1,0.1
v281,0.0,0.8,0.0,0.0,0.0,0.0
v282,0.3,0.3,0.3,0.2,0.0,0.3
v283,1.0,0.0,0.0,0.0,0.0,0.0
v284,0.3,0.7,0.3,0.4,0.4,0.4
v285,0.0,0.5,0.4,0.3,0.1,0.1
v286,1.0,0.0,0.5,0.0,0.0,0.0
v287,0.8,0.0,0.7,0.1,0.0,0.8
v288,0.8,0.4,0.6,0.2,,
v289,0.1,0.1,0.1,0.1,0.1,0.1
v290,0.1,0.7,0.2,1.0,0.9,0.2
v291,0.8,0.6,0.4,0.2,0.2,0.2
v292,0.3,0.3,0.1,0.1,0.0,0.0
v293,0.0,0.8,0.0,0.0,0.0,0.0
v294,0.0,1.0,0.0,0.8,0.0,0.0
v295,0.7,0.4,0.6,0.0,0.0,0.6
v296,0.8,0.2,0.6,0.2,,
v297,0.0,0.6,0.0,0.0,0.0,0.0
v298,0.0,0.6,0.0,0.0,1.0,0.0
v299,0.0,1.0,0.0,0.3,0.0,0.0
v300,0.0,1.0,0.0,0.7,0.2,0.0
v301,0.0,0.0,0.0,0.0,0.0,0.0
v302,0.0,0.5,0.0,0.9,0.0,0.2
v303,1.0,0.0,0.5,0.0,0.0,0.0
v304,1.0,0.0,0.3,0.1,0.0,0.7
v305,0.1,0.5,0.1,0.8,0.2,0.3
v306,0.8,0.1,0.1,0.1,0.1,0.1
v307,0.2,0.5,0.9,0.5,0.1,0.1
v308,0.6,0.0,0.0,0.0,0.0,0.0
v309,1.0,0.1,0.1,0.1,0.1,0.1
v310,0.0,1.0,0.0,0.0,0.0,0.0
v311,1.0,0.0,0.7,0.0,0.0,0.5
v312,0.8,0.1,0.5,0.2,0.0,0.0
v313,0.0,0.8,0.0,0.0,0.0,0.0
v314,1.0,0.0,0.0,0.2,0.0,0.0
v315,0.1,1.0,0.1,0.3,0.1,0.1
v316,0.0,0.7,0.0,0.0,0.0,0.0
v317,0.0,0.0,0.0,0.0,0.0,0.0
v318,0.7,0.0,0.7,0.0,0.0,0.0
v319,0.0,0.0,0.0,0.0,0.0,0.0
v320,0.1,0.1,0.1,0.1,0.2,0.0
v321,1.0,0.3,0.2,0.2,0.3,0.3
v322,0.5,1.0,0.0,1.0,0.0,0.0
v323,0.8,0.0,0.0,0.0,0.0,0.0
v324,1.0,0.0,1.0,0.0,0.0,0.3
v325,0.8,0.1,0.1,0.1,0.1,0.1
v326,1.0,0.1,0.9,0.1,0.1,0.1
v327,0.0,0.8,0.2,0.6,0.2,0.2
v328,0.0,1.0,0.0,0.0,0.0,0.0
v329,0.4,0.2,0.4,0.5,0.2,0.2
v330,0.1,0.5,0.1,0.1,0.1,0.1
v331,0.1,0.3,0.2,0.9,0.1,0.2
v332,0.8,0.1,0.1,0.1,0.1,0.1
v333,0.8,0.2,0.7,0.1,0.1,0.8
v334,0.8,0.0,0.8,0.0,0.0,0.8
v335,0.2,0.6,0.2,0.3,0.5,0.2
v336,1.0,0.1,1.0,0.1,0.1,0.1
v337,0.0,1.0,0.0,0.0,0.0,0.0
v338,0.0,0.0,0.0,0.0,0.0,0.0
v339,0.0,0.0,0.0,0.0,0.0,0.0
v340,0.0,0.8,0.0,0.0,0.0,0.0
v341,1.0,0.0,0.8,0.2,0.0,0.9
v342,1.0,0.0,1.0,0.0,0.0,0.5
v343,0.0,1.0,0.0,0.7,0.7,0.0
v344,0.0,0.7,0.1,0.6,0.1,0.0
v345,0.9,0.1,0.1,0.1,0.1,0.1
v346,0.1,0.3,0.1,0.2,0.3,0.1
v347,0.0,0.9,0.0,0.3,0.0,0.0
v348,0.8,0.1,0.5,0.1,0.1,0.1
v349,0.0,0.0,0.0,0.0,0.0,0.0
v350,0.7,0.1,0.5,0.3,0.0,0.2
v351,0.1,0.8,0.1,0.1,0.1,0.1
v352,0.1,0.8,0.1,0.2,0.5,0.1
v353,0.8,0.2,0.8,0.5,0.0,0.7
v354,0.6,0.0,0.5,0.5,0.0,0.8
v355,0.1,0.2,0.1,0.1,0.1,0.1
v356,0.1,1.0,0.1,0.3,0.1,0.1
v357,0.0,0.8,1.0,0.0,0.0,0.0
v358,0.1,0.1,0.1,0.2,0.2,0.2
v359,0.9,0.1,0.1,0.1,0.1,0.1
v360,0.7,0.3,0.9,0.8,,
v361,0.0,0.0,0.0,0.0,0.0,0.0
v362,0.0,0.0,0.0,0.0,0.0,0.0
v363,0.3,0.7,0.0,0.0,0.0,0.0
v364,0.0,0.7,0.0,0.0,0.0,0.0
v365,0.4,0.4,0.0,0.0,0.0,0.0
v366,0.2,0.8,0.2,0.3,0.2,0.3
v367,0.0,0.5,0.0,0.0,0.7,0.0
v368,0.5,0.0,0.3,0.2,0.0,0.2
v369,1.0,0.0,0.8,0.0,0.0,0.0
v370,0.6,0.1,0.0,0.0,0.0,0.0
v371,0.8,0.1,0.4,0.1,0.0,0.0
v372,1.0,0.0,0.6,0.0,0.0,0.2
v373,0.8,1.0,0.2,0.8,,1.0
v374,1.0,0.1,0.3,0.1,0.1,0.1
v375,0.1,0.1,1.0,0.1,0.1,0.1
v376,1.0,0.0,0.8,0.0,0.0,0.7
v377,0.5,0.5,0.4,0.4,0.0,0.2
v378,1.0,0.0,0.8,0.0,0.0,0.6
v379,1.0,0.2,0.6,0.3,0.2,0.4
v380,0.0,0.0,0.0,0.0,0.0,0.0
v381,0.8,0.1,0.1,0.1,0.1,0.1
v382,1.0,0.0,1.0,0.0,0.0,0.8
v383,1.0,0.2,0.5,0.4,0.3,0.9
v384,0.9,0.3,0.7,0.5,0.2,0.4
v385,0.6,0.0,0.0,0.0,0.0,0.0
v386,0.1,0.0,0.0,0.0,0.0,0.0
v387,0.8,0.2,0.6,0.1,,
v388,0.7,0.2,0.3,0.1,0.1,0.5
v389,0.5,0.3,0.5,0.3,0.1,0.1
v390,0.1,1.0,0.1,0.1,0.5,0.1
v391,0.1,0.9,0.1,0.5,0.5,0.2
v392,0.9,0.1,0.2,0.1,0.1,0.2
v393,0.3,0.2,0.3,0.3,0.0,0.3
v394,0.0,0.6,0.0,0.9,0.0,0.0
v395,0.5,0.1,0.2,0.1,0.0,0.0
v396,0.9,0.0,0.9,0.4,0.0,0.8
v397,1.0,0.2,0.7,0.3,0.0,0.8
v398,0.3,0.0,0.0,0.0,0.0,0.0
v399,0.0,0.7,0.0,0.4,0.2,0.0
v400,0.9,0.0,1.0,0.0,0.0,0.7
v401,1.0,0.0,0.8,0.5,0.2,0.9
v402,0.1,0.1,0.1,0.1,0.0,0.1
v403,1.0,0.0,1.0,0.5,0.0,0.3
v404,0.0,0.8,0.0,0.3,0.4,0.1
v405,0.2,0.8,0.1,0.0,0.3,0.0
v406,0.9,0.2,0.3,0.4,0.1,0.5
v407,0.9,0.1,0.1,0.1,0.1,0.1
v408,0.0,0.7,0.0,0.3,0.6,0.0
v409,0.0,0.6,0.0,0.4,0.0,0.0
v410,0.0,1.0,0.0,0.5,0.5,0.0
v411,1.0,0.0,0.9,0.0,0.0,0.7
v412,0.0,0.4,0.0,0.3,0.0,0.0
v413,0.4,0.4,0.4,0.4,0.0,0.4
v414,0.6,0.1,0.0,0.0,0.2,0.0
v415,0.5,0.3,0.4,0.2,0.0,0.0
v416,0.0,0.0,0.0,0.0,0.0,0.0
v417,0.0,0.0,0.0,0.0,0.0,0.0
v418,1.0,0.0,0.9,0.0,0.0,1.0
v419,0.6,0.0,1.0,0.0,0.0,0.2
v420,0.3,0.4,0.7,0.0,0.0,0.0
v421,0.0,0.2,0.0,0.3,1.0,0.0
v422,1.0,0.0,0.0,0.1,0.0,0.0
v423,1.0,0.2,0.6,0.3,0.2,0.4
v424,0.8,0.5,0.4,0.3,0.2,0.1
v425,0.0,0.8,0.1,0.4,,
v426,0.0,0.6,0.0,0.3,0.2,0.0
v427,0.1,0.2,0.1,0.2,0.5,0.1
v428,0.8,0.1,0.8,0.9,0.0,0.5
v429,0.0,,0.0,0.0,0.0,0.0
v430,0.7,0.1,0.3,0.0,0.0,0.5
v431,0.0,0.0,0.0,0.0,0.0,0.0
v432,0.5,0.0,0.4,0.0,0.0,0.4
v433,0.3,1.0,0.0,1.0,0.0,0.0
v434,0.0,0.0,0.0,0.1,0.0,0.0
v435,1.0,0.0,0.5,0.0,0.0,0.5
v436,0.6,0.0,0.2,0.0,0.0,0.0
v437,0.1,1.0,0.1,0.7,0.8,0.4
v438,0.5,0.6,0.6,,0.5,0.2
v439,0.5,0.2,0.1,0.3,0.4,0.1
v440,0.8,0.5,0.7,0.5,0.4,0.7
v441,1.0,0.0,0.8,0.0,0.0,0.0
v442,0.8,0.1,0.5,0.1,0.0,0.3
v443,0.4,0.2,0.3,0.3,0.0,0.2
v444,0.8,0.1,0.1,0.1,0.1,0.1
v445,0.0,0.8,0.0,0.4,0.2,0.0
v446,0.7,0.2,0.1,0.1,0.1,0.1
v447,0.3,0.5,0.2,0.2,0.0,0.0
v448,0.1,0.8,0.1,0.4,0.5,0.1
v449,0.9,0.1,0.1,0.1,0.1,0.1
v450,0.0,0.8,0.0,0.6,0.0,0.0
v451,1.0,0.3,0.8,0.4,0.0,0.2
v452,0.1,0.0,0.0,0.0,0.0,0.0
v453,1.0,0.3,0.8,0.5,0.2,0.9
v454,0.0,0.9,0.0,0.7,0.0,0.0
v455,0.0,1.0,0.0,0.8,0.0,0.0
v456,0.5,0.5,0.5,0.5,0.0,0.5
v457,0.0,0.8,0.0,0.0,0.0,0.0
v458,0.5,0.4,0.3,0.3,0.4,0.2
v459,0.0,0.0,0.0,0.0,0.0,0.0
v460,0.5,0.0,0.0,0.0,0.0,0.0
v461,0.2,0.2,0.0,0.1,0.0,0.0
v462,0.5,0.0,0.5,0.2,0.6,0.5
v463,0.8,0.2,0.7,0.8,0.0,0.0
v464,0.0,0.0,0.0,0.0,0.0,0.0
v465,0.3,0.1,0.2,0.2,0.0,0.0
v466,1.0,0.0,1.0,0.0,0.0,0.0
v467,0.9,,,,,
v468,1.0,0.0,1.0,0.0,0.0,0.8
v469,1.0,0.0,0.7,0.0,0.0,1.0
v470,0.5,0.4,0.2,0.1,0.1,0.1
v471,0.0,0.5,0.0,0.0,0.0,0.0
v472,0.0,0.5,0.0,0.0,0.0,0.0
v473,0.0,0.8,0.0,0.0,0.5,0.0
v474,1.0,0.0,0.6,0.0,0.0,0.3
v475,0.1,1.0,0.1,0.1,0.1,0.1
v476,0.0,0.6,0.0,0.4,0.0,0.0
v477,0.1,0.7,0.1,0.7,0.0,0.0
v478,0.3,0.1,0.3,0.0,0.0,0.0
v479,0.7,0.0,0.5,0.0,0.0,0.0
v480,0.0,1.0,0.0,0.5,0.0,0.0
v481,0.1,0.8,0.0,0.2,0.1,0.1
v482,1.0,0.0,1.0,0.0,0.0,0.8
v483,0.4,0.0,0.4,0.0,0.0,0.0
v484,0.2,0.5,0.0,0.1,0.6,0.0
v485,0.0,0.5,0.0,0.5,0.4,0.0
v486,0.0,0.7,0.0,0.3,0.1,0.0
v487,1.0,0.1,0.8,0.4,0.1,0.5
v488,0.4,0.8,0.2,0.2,0.0,0.0
v489,0.7,0.2,0.6,0.2,0.0,0.1
v490,0.5,1.0,0.0,0.0,0.0,0.0
v491,0.8,0.6,0.5,0.4,0.2,0.7
v492,0.0,1.0,0.0,0.5,0.3,0.0
v493,0.5,0.0,0.5,0.0,0.0,0.5
v494,0.5,0.5,0.3,0.3,0.2,0.5
v495,1.0,0.0,0.6,0.0,0.0,0.0
v496,0.2,0.9,0.1,0.4,0.8,0.1
v497,1.0,0.0,0.0,0.0,0.0,0.0
v498,1.0,0.0,0.0,0.0,0.0,0.0
v499,1.0,0.0,0.8,0.0,0.0,0.0
v500,1.0,0.4,0.8,0.3,0.0,0.7
v501,0.8,0.2,0.5,0.5,0.0,0.0
v502,0.7,0.1,0.1,0.1,0.1,0.1
v503,0.0,0.2,0.0,0.3,1.0,0.0
v504,0.1,0.5,0.1,0.1,0.1,0.0
v505,0.0,0.0,0.0,0.3,1.0,0.0
v506,0.0,0.0,0.0,0.0,0.0,0.0
v507,0.8,0.0,0.8,0.0,0.0,0.7
v508,1.0,0.0,0.0,0.0,0.0,0.0
v509,0.8,0.1,0.7,0.2,0.1,0.1
v510,0.5,0.1,0.2,0.1,0.1,0.1
v511,0.3,0.3,0.1,0.4,0.0,0.0
v512,1.0,0.0,0.0,0.0,0.0,0.0
v513,0.0,1.0,0.0,0.0,0.0,0.0
v514,1.0,0.0,0.8,0.2,0.0,0.8
v515,1.0,0.2,0.8,0.1,0.0,0.9
v516,0.2,0.3,0.1,0.5,0.2,0.3
v517,0.1,0.7,0.1,0.2,0.5,0.1
v518,0.0,0.0,0.0,0.0,0.0,0.0
v519,0.9,0.1,0.3,0.2,0.0,0.0
v520,0.0,0.0,0.0,0.0,0.0,0.0
v521,0.4,0.1,0.2,0.2,0.0,0.1
v522,0.8,0.1,0.1,0.1,0.1,0.1
