,A,B,F,G,H,I
v1005,0.0,0.4,0.0,0.5,0.3,0.0
v1006,0.0,1.0,0.0,0.8,0.0,0.0
v1007,0.5,0.0,0.0,0.0,0.0,0.0
v1008,0.0,0.0,0.0,0.0,0.0,0.0
v1009,0.1,1.0,0.1,0.5,0.5,0.5
v1010,1.0,0.3,0.4,0.4,,
v1011,0.0,1.0,0.2,0.8,0.3,0.0
v1012,0.0,0.2,0.0,0.0,0.0,0.0
v1013,0.4,0.2,0.1,0.1,0.1,0.1
v1014,0.8,0.2,0.4,0.2,0.2,0.3
v1015,0.0,1.0,0.0,0.0,1.0,0.0
v1016,0.1,1.0,0.1,0.4,0.1,0.1
v1017,0.7,0.0,0.3,0.0,0.0,0.2
v1018,0.1,0.1,0.1,0.1,0.1,0.1
v1019,0.7,0.1,0.1,0.3,0.1,0.2
v1020,0.2,0.2,0.2,0.2,0.2,0.2
v1021,1.0,0.0,0.8,0.0,0.0,0.0
v1022,0.1,0.8,0.1,0.5,0.1,0.1
v1023,0.9,0.0,0.5,0.0,0.0,0.0
v1024,0.2,0.4,0.1,0.4,0.1,0.1
v1025,0.5,0.4,0.4,0.4,0.3,0.3
v1026,0.5,0.2,0.1,0.2,0.4,0.1
v1027,0.9,0.0,0.3,0.0,0.4,1.0
v1028,1.0,0.0,0.0,0.0,0.0,0.0
v1029,0.1,0.8,0.2,0.4,0.2,0.1
v1030,0.1,0.9,0.1,0.1,0.1,0.1
v1031,0.1,0.8,0.1,0.4,0.5,0.1
v1032,1.0,0.0,0.6,0.2,0.0,0.8
v1033,0.3,0.8,0.2,0.3,0.4,0.2
v1034,0.8,0.5,0.8,0.1,0.0,0.5
v1035,0.1,0.0,0.0,0.0,1.0,0.0
v1036,0.5,0.5,0.0,0.0,0.0,0.0
v1037,0.4,0.4,0.7,0.2,0.1,0.2
v1038,0.0,1.0,0.0,0.8,0.4,0.0
v1039,0.0,1.0,0.0,0.8,0.0,0.0
v1040,0.5,0.5,0.5,0.5,0.5,0.5
v1041,0.0,0.8,0.0,0.0,0.0,0.0
v1042,0.0,0.3,0.0,0.0,0.0,0.0
v1043,0.9,0.1,0.1,0.1,0.1,0.1
v1044,0.0,0.2,0.0,0.2,0.0,0.0
v1045,0.1,0.2,0.1,0.0,0.1,0.0
v1046,0.5,0.0,0.0,0.0,0.0,0.9
v1047,0.1,0.8,0.1,0.1,0.1,0.1
v1048,0.0,,,,,
v1049,1.0,0.0,1.0,0.0,0.0,0.0
v1050,1.0,0.2,0.3,0.4,0.1,0.5
v1051,0.5,0.4,0.5,0.3,0.0,0.0
v1052,0.0,0.5,0.0,0.0,1.0,0.0
v1053,0.0,1.0,0.0,0.5,0.2,0.0
v1054,0.1,0.3,0.1,0.1,0.0,0.1
v1055,0.0,0.0,0.0,0.0,0.0,0.0
v1056,0.2,0.1,0.1,0.2,0.0,0.0
