"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"12205",0,4,0,0,0,0
"12207",1,5,1,1,5,5
"12209",7,0,10,7,3,2
"12210",0,0,0,0,0,0
"12212",5,10,0,5,10,5
"12213",0,0,0,0,0,0
"12215",2,3,6,2,4,3
"12216",10,10,10,10,10,10
"12217",6,0,5,5,0,0
"12219",7,0,5,5,0,0
"12221",6,1,8,1,1,1
"12222",10,0,10,0,0,0
"12223",1,1,3,1,0,0
"12224",8,7,0,6,4,2
"12225",2,3,3,4,3,4
"12226",2,0,9,5,5,6
"12227",7,2,3,5,5,3
"12228",10,2,3,8,0,0
"12229",7,6,3,6,5,3
"12233",0,4,6,6,5,6
"12235",0,0,0,3,0,0
"12236",0,0,5,0,0,0
"12237",10,8,0,10,0,0
"12238",6,5,2,2,3,7
"12240",3,0,2,3,0,0
"12241",7,0,10,9,0,6
"12242",3,0,5,3,2,2
"12243",5,6,8,7,6,4
"12244",8,1,3,0,0,0
"12247",4,6,5,7,6,5
"12248",6,8,4,4,5,9
"12249",0,0,0,0,5,3
"12250",0,10,0,0,0,0
"12251",6,10,4,4,6,6
"12252",5,5,2,5,5,5
"12254",4,10,6,7,5,6
"12257",0,9,5,3,7,6
"12259",4,6,4,3,1,3
"12261",9,6,8,5,1,0
"12262",8,0,7,5,0,0
"12264",1,5,4,0,0,0
"12265",4,0,9,7,0,0
"12268",5,0,9,7,4,4
"12269",4,1,7,4,1,1
"12271",7,0,0,0,0,0
"12272",7,8,0,9,7,4
"12274",1,8,5,1,3,1
"12276",5,4,5,6,1,4
"12277",8,0,0,1,10,1
"12278",0,5,0,4,4,5
"12280",4,5,5,5,4,4
"12281",2,9,8,8,9,9
"12282",5,3,4,2,5,1
"12283",5,0,10,5,2,0
"12284",5,5,5,5,5,5
"12285",2,3,5,1,0,0
"12286",4,2,3,5,2,4
"12288",8,7,1,4,2,1
"12290",3,3,3,3,3,3
"12292",0,0,0,0,3,0
"12293",10,0,0,0,0,0
"12294",8,3,5,4,5,5
"12296",10,0,0,0,0,0
"12297",0,8,0,0,8,8
"12300",2,0,8,8,2,5
"12302",8,9,6,7,5,2
"12304",8,1,4,6,3,5
"12305",7,5,7,6,8,8
"12306",7,5,3,7,5,5
"12307",0,0,0,0,0,0
"12309",5,0,3,2,0,0
"12310",10,10,10,10,0,10
"12311",2,0,7,5,0,0
"12312",2,3,3,2,3,5
"12313",8,0,6,8,0,0
"12314",5,5,5,5,5,5
"12316",0,0,2,3,2,2
"12317",3,5,0,2,6,4
"12321",6,0,8,5,5,4
"12323",2,3,3,3,0,1
"12324",0,0,7,0,0,5
"12325",0,0,0,1,0,1
"12327",0,0,0,0,0,0
"12328",5,8,8,6,7,6
"12330",0,0,0,0,0,0
"12331",3,8,0,3,2,8
"12333",7,7,6,6,6,6
"12334",3,0,4,6,0,0
"12335",0,0,7,0,5,4
"12337",0,0,0,0,0,0
