"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"46156",7,5,0,3,10,0,1,7,8
"46157",2,7,10,5,0,4,5,3,5
"46158",3,7,5,4,1,8,3,0,0
"46159",3,6,0,6,4,5,5,4,4
"46160",8,6,0,5,3,3,5,0,0
"46161",3,3,10,1,0,3,1,0,0
"46162",4,6,6,3,1,5,5,0,0
"46163",7,2,0,6,10,1,3,8,9
"46164",9,0,0,1,5,0,1,1,0
"46165",9,5,0,7,5,5,5,8,3
"46166",3,8,6,5,0,6,6,0,2
"46167",9,2,0,8,6,0,1,7,3
"46168",5,3,0,8,8,3,4,4,3
"46169",4,10,3,8,3,8,7,3,3
"46170",8,1,0,5,5,0,3,1,0
"46171",5,5,0,5,5,5,5,5,5
"46172",3,6,0,8,0,4,6,3,0
"46173",10,3,2,6,7,3,5,7,1
"46174",2,8,2,5,1,7,4,7,1
"46175",10,1,0,4,10,1,2,10,9
"46176",2,8,0,5,0,5,5,2,2
"46177",6,7,8,5,0,8,7,0,0
"46179",5,8,3,8,8,5,8,3,0
"46180",5,6,4,5,4,4,4,5,3
"46181",2,8,8,5,0,8,6,0,0
"46182",2,10,0,5,1,5,8,2,2
"46183",5,5,0,7,3,0,5,7,3
"46184",7,2,1,5,2,5,6,3,2
"46185",3,7,0,7,2,6,9,2,4
"46186",2,9,8,3,0,8,6,0,0
"46187",10,2,0,6,4,1,3,5,2
"46188",3,6,0,7,0,5,8,2,1
"46189",2,7,5,7,0,5,5,0,0
"46190",2,4,0,2,2,1,2,2,2
"46191",5,8,3,8,2,3,3,1,0
"46192",8,7,4,5,6,6,5,1,5
"46193",2,1,0,1,1,5,1,1,0
"46194",1,10,8,4,1,6,5,4,5
"46195",1,5,10,0,0,2,4,1,0
"46196",3,7,0,7,0,10,8,0,0
"46197",9,6,0,7,4,3,6,5,1
"46198",8,1,0,2,7,0,1,6,2
"46199",2,6,2,6,2,5,10,0,0
"46200",9,2,0,7,9,1,6,8,8
"46201",0,9,7,5,0,4,4,0,0
"46202",4,8,6,7,1,8,7,2,0
"46203",3,7,2,5,2,5,4,1,0
"46204",0,10,10,5,0,5,5,0,0
"46205",5,5,0,7,3,7,5,3,0
"46206",1,10,5,2,0,8,8,0,0
"46207",7,1,0,4,5,2,4,6,2
"46208",3,0,0,0,5,0,0,1,0
"46209",9,8,0,6,6,7,8,8,3
"46211",4,0,0,0,2,1,3,1,1
"46212",8,3,0,2,4,1,3,7,0
"46213",10,4,0,6,8,2,5,8,8
"46214",5,8,2,6,3,6,5,5,2
"46215",7,5,0,6,2,0,7,5,0
"46216",10,0,0,3,7,1,3,5,1
"46217",5,7,2,8,2,6,1,3,0
"46218",2,7,0,10,0,5,8,1,1
"46219",6,3,3,2,6,3,6,6,4
"46220",1,4,6,5,0,6,5,1,1
"46221",9,2,0,7,5,2,6,10,5
"46222",3,9,9,2,0,7,2,0,0
"46223",10,0,0,3,5,0,3,6,2
"46224",0,6,10,4,0,5,4,0,0
"46225",4,6,3,5,2,5,5,3,2
"46226",4,10,0,8,2,8,5,2,1
"46227",8,3,0,5,6,5,3,9,5
"46228",0,9,7,6,0,6,6,0,6
"46229",2,6,4,4,0,3,4,4,0
"46230",0,6,10,6,0,4,5,0,0
"46231",6,10,7,4,2,5,2,5,2
"46232",7,7,1,7,7,7,7,4,1
"46233",6,2,0,5,3,2,5,6,0
"46235",8,5,2,2,2,0,6,0,0
"46237",1,6,8,5,1,5,2,1,1
"46238",9,6,0,6,7,0,6,10,10
"46239",6,2,0,6,7,2,7,8,5
"46240",10,4,0,7,9,1,6,9,8
"46241",8,2,0,4,9,1,3,10,7
"46242",0,7,10,6,0,3,0,0,0
"46243",3,9,6,5,1,5,5,1,1
"46244",9,2,0,7,10,0,4,9,5
"46245",10,1,0,3,6,0,2,7,0
"46246",3,3,0,6,2,1,6,6,3
"46248",6,8,7,6,3,7,5,2,1
"46249",7,7,6,0,0,6,3,0,0
"46250",7,5,0,4,6,3,4,2,5
"46251",0,9,5,5,0,5,2,0,0
"46252",3,3,2,3,2,5,8,2,2
"46253",2,7,8,8,0,6,9,0,2
"46254",4,9,6,8,0,8,7,4,0
"46255",3,3,0,9,0,5,8,4,0
"46256",3,7,0,8,0,5,9,0,0
"46257",5,8,0,9,0,9,7,2,1
"46258",7,4,0,5,5,4,3,4,3
"46259",6,5,3,7,1,5,4,2,0
"46260",3,6,0,8,5,1,8,5,2
"46261",8,6,0,9,2,3,6,7,3
"46262",4,4,0,6,0,6,6,0,0
"46263",3,6,0,7,0,7,7,0,0
"46264",4,4,3,4,6,4,6,5,4
"46265",10,4,0,3,5,5,4,5,2
"46266",2,1,0,0,0,1,0,0,1
"46268",4,8,0,6,0,7,9,4,1
"46269",8,5,0,6,6,5,7,6,4
"46270",9,6,0,7,7,0,6,8,5
"46271",0,0,10,0,0,5,0,0,0
"46272",5,7,0,6,1,6,8,1,2
"46273",3,8,8,6,0,6,6,0,0
"46274",10,2,0,6,8,1,5,8,6
"46275",7,0,1,0,3,0,0,0,0
"46276",5,9,2,7,2,4,5,3,0
"46277",7,2,0,6,8,1,5,7,6
"46278",0,3,10,0,3,4,1,0,0
"46279",3,9,2,6,2,7,9,4,2
"46280",6,6,4,7,2,6,6,2,4
"46281",2,8,5,3,1,6,4,1,1
"46282",3,8,3,2,0,8,7,0,0
"46283",7,2,0,5,7,1,4,6,5
"46284",4,9,0,9,1,9,10,7,0
"46285",5,5,0,5,5,0,5,5,2
"46286",6,4,0,8,2,2,5,6,5
"46287",4,7,3,4,2,6,4,2,0
"46288",10,1,0,8,8,3,7,8,8
"46289",2,10,10,0,0,7,2,0,0
"46290",5,6,1,7,3,2,8,4,1
"46291",5,5,0,8,1,2,4,5,5
"46292",10,5,0,3,3,10,3,0,0
"46293",8,2,0,8,2,3,5,6,0
"46294",4,4,4,4,4,4,4,4,4
"46295",6,10,0,3,5,3,3,0,5
"46296",5,9,0,7,1,8,7,5,2
"46297",6,4,3,7,6,4,8,10,8
"46298",5,6,0,8,2,5,8,6,3
"46299",5,3,0,8,2,0,7,5,0
"46300",2,8,0,9,1,8,10,3,0
"46301",8,3,0,7,9,3,6,7,6
"46302",8,3,0,4,4,1,4,8,5
"46303",8,5,0,5,3,1,6,1,0
"46304",2,8,1,4,0,8,7,2,0
"46305",8,2,0,5,10,3,2,7,5
"46306",7,6,0,6,4,2,6,5,1
"46307",6,7,0,8,0,8,10,1,1
"46308",4,8,4,8,0,8,9,0,0
"46309",7,8,1,9,5,7,8,7,7
"46310",6,3,0,2,8,1,4,4,7
"46311",7,3,0,4,1,0,5,5,0
"46312",8,4,0,8,9,2,5,5,6
"46313",1,10,0,3,0,2,4,0,0
"46314",9,7,0,5,7,2,6,3,4
"46315",5,5,0,5,5,5,5,5,5
"46316",9,3,0,6,3,2,6,6,2
"46317",1,10,0,9,0,8,8,2,0
"46318",8,2,0,6,8,2,5,8,8
"46320",8,3,0,10,8,3,8,10,8
"46321",3,9,0,5,0,5,5,0,0
"46322",7,6,2,7,9,2,6,5,4
"46323",0,5,0,9,0,7,4,2,0
"46324",7,5,0,8,3,6,9,7,2
"46325",10,1,1,1,6,4,6,2,2
"46326",9,1,0,5,10,1,7,5,6
"46329",9,3,0,6,8,1,4,7,5
"46330",8,3,0,7,5,2,3,5,0
"46331",10,5,1,5,5,3,6,6,0
"46332",8,3,0,6,10,2,3,8,6
"46333",5,7,0,4,5,7,4,6,0
"46334",5,7,0,10,0,7,7,3,0
"46335",9,7,5,1,2,4,3,1,2
"46336",2,3,0,3,1,2,1,4,0
"46337",5,5,8,5,0,5,5,5,2
"46338",6,5,0,6,5,5,6,6,5
"46339",4,1,0,2,10,1,2,5,9
"46340",7,4,0,5,6,1,8,7,2
"46341",5,5,5,5,5,2,5,4,4
"46342",5,3,5,1,1,1,3,1,0
"46343",6,2,0,7,7,1,4,4,3
"46344",9,2,0,6,8,1,6,8,2
"46345",3,8,0,6,5,2,8,4,1
"46346",3,8,10,0,1,9,2,0,0
"46347",4,10,7,4,4,7,4,4,2
"46348",7,1,0,4,10,1,4,7,7
"46349",6,5,0,8,5,5,5,10,5
"46350",7,7,0,3,3,3,3,0,0
"46351",6,7,0,8,6,6,6,10,8
"46352",7,2,0,5,8,1,5,9,10
"46353",7,3,0,8,0,7,9,6,0
"46354",4,2,0,5,5,1,3,9,8
"46355",6,4,1,6,4,1,7,3,3
"46356",3,9,3,8,0,8,6,0,0
"46357",5,5,0,8,7,7,4,7,4
"46358",7,2,2,1,3,3,2,0,0
"46360",3,9,5,6,0,9,7,0,0
"46361",5,3,0,8,4,1,6,8,2
"46362",4,5,0,9,2,1,7,4,3
"46363",7,6,0,7,4,5,9,5,0
"46364",2,9,2,4,0,4,4,0,0
"46365",2,10,0,2,0,8,2,2,2
"46366",5,4,0,7,2,4,9,4,1
"46367",3,2,0,4,3,2,3,8,4
"46368",6,8,1,6,2,4,6,4,5
"46369",4,7,0,8,0,5,10,5,0
"46370",8,1,0,2,10,1,2,8,5
"46371",8,4,4,4,4,3,5,5,0
"46372",3,7,1,8,2,4,7,4,1
"46373",7,7,0,7,3,4,7,4,2
"46374",2,9,0,8,0,10,7,0,0
"46375",10,10,0,10,0,1,1,10,1
"46376",7,8,0,8,5,8,10,8,6
"46377",7,2,0,6,9,1,5,9,9
"46378",1,8,0,5,0,5,5,1,0
"46379",5,6,1,6,1,6,7,2,0
"46380",0,5,10,10,0,9,9,0,0
"46381",7,2,0,4,7,2,3,8,6
"46383",8,2,3,10,10,0,8,2,7
"46384",5,7,0,8,2,5,9,7,1
"46385",7,8,0,9,0,0,8,8,0
"46386",7,5,0,8,5,5,6,5,3
"46387",1,10,5,7,0,4,5,0,0
"46388",3,3,0,6,2,3,5,3,2
"46389",2,8,1,4,0,7,7,0,1
"46390",4,8,5,5,0,7,6,0,0
"46391",8,5,0,9,7,5,6,10,10
"46392",7,4,1,7,3,2,8,5,1
"46393",7,4,0,3,8,0,5,1,5
"46394",8,3,0,6,9,2,6,3,8
"46395",9,3,0,6,8,3,5,7,4
"46396",0,7,9,2,0,8,0,1,0
"46397",7,3,0,4,5,3,4,6,5
"46398",5,5,6,7,6,4,4,4,1
"46399",5,6,0,9,0,2,10,0,0
"46400",8,0,0,2,10,4,0,8,10
"46401",10,1,0,5,8,5,5,10,5
"46402",10,3,0,6,3,1,3,3,0
"46403",2,6,0,6,1,10,6,1,0
"46404",4,4,0,7,4,4,4,4,4
"46405",10,3,4,4,9,3,3,4,4
"46406",0,1,4,1,1,3,1,0,1
"46407",3,7,9,3,5,7,5,0,1
"46408",3,6,0,8,2,6,5,2,1
"46409",9,4,0,6,5,3,6,7,5
"46410",4,8,0,6,1,3,5,3,0
"46411",0,9,0,7,0,5,7,0,0
"46412",8,3,0,4,10,3,4,8,9
"46413",3,5,0,5,2,4,5,3,3
"46414",5,9,5,5,1,10,5,1,3
"46415",8,5,1,6,1,7,6,7,3
"46416",1,6,0,10,1,6,6,2,2
"46417",9,8,0,10,6,0,6,6,10
"46418",2,9,2,3,0,7,4,0,0
"46419",8,5,2,8,4,5,4,5,3
"46421",5,6,0,8,2,6,7,6,2
"46422",6,1,0,3,10,1,3,6,8
"46423",0,7,5,6,0,6,2,0,0
"46424",9,1,0,5,2,0,4,7,2
"46425",2,9,0,7,0,10,7,1,0
"46426",8,3,0,2,2,1,3,6,1
"46427",8,2,3,5,2,6,6,3,1
