"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"16778",5,3,3,5,3,5,1,5,6
"16780",5,1,5,1,5,9,7,5,0
"16781",8,6,1,0,0,9,2,3,0
"16782",5,1,1,5,3,5,1,1,0
"16785",8,5,8,7,8,9,8,7,0
"16786",7,7,7,5,6,7,0,3,0
"16787",8,6,6,2,4,7,4,8,2
"16788",3,4,6,1,7,3,3,2,2
"16789",3,4,2,3,1,1,3,3,1
"16790",6,9,1,5,2,5,3,4,1
"16791",10,1,8,5,0,0,0,5,0
"16792",8,0,0,4,6,5,5,5,0
"16794",6,8,2,0,8,7,1,1,1
"16796",9,4,0,5,5,0,2,0,0
"16797",8,0,4,4,10,7,6,6,0
"16798",6,8,5,6,3,4,5,7,2
"16799",0,5,10,5,5,0,5,4,0
"16800",7,0,2,0,10,8,5,2,1
"16802",8,2,7,7,8,8,6,3,1
"16803",0,10,1,1,0,0,0,4,0
"16804",5,0,2,2,8,9,3,1,0
"16806",7,0,1,3,10,10,6,2,0
"16807",6,9,4,3,6,4,6,4,2
"16810",8,2,6,6,7,7,7,5,2
"16811",4,3,5,4,3,2,3,3,4
"16812",6,7,2,10,9,2,1,6,8
"16813",3,0,3,5,6,3,8,5,0
"16814",6,0,6,2,6,2,9,5,0
"16815",5,3,5,5,3,2,2,2,1
"16816",7,8,2,2,8,9,3,3,1
"16817",5,5,5,5,5,5,5,5,5
"16818",5,5,5,5,5,5,5,5,5
"16819",0,3,3,8,0,0,0,0,0
"16820",0,6,7,8,0,0,1,1,5
"16821",8,0,3,4,7,8,10,4,0
"16823",2,4,10,6,2,0,7,4,3
"16824",7,0,6,3,8,6,7,0,0
"16825",7,0,3,5,9,8,3,2,1
"16826",0,9,3,3,0,0,0,0,5
"16827",8,9,8,6,9,9,8,10,3
"16828",7,0,2,3,8,9,6,0,1
"16829",9,0,3,2,8,8,4,1,0
"16830",8,7,10,7,6,5,7,6,4
"16831",0,10,5,5,0,0,2,8,0
"16834",0,6,0,0,0,0,0,2,6
"16835",7,3,7,6,6,3,2,6,2
"16836",3,2,2,4,10,1,0,1,0
"16837",10,0,2,2,8,8,5,5,1
"16838",2,7,0,2,1,1,3,7,0
"16843",5,0,8,8,8,1,10,8,5
"16844",5,1,5,2,6,3,5,0,1
"16845",8,0,6,1,3,5,7,5,0
"16846",2,8,4,5,2,2,8,7,4
"16847",5,2,8,6,6,5,7,4,5
"16848",6,4,0,1,3,3,0,3,0
"16849",1,9,1,1,0,0,0,0,0
"16850",4,8,1,3,6,2,0,2,6
