"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"13403",10,7,0,7,5,7,5
"13404",7,7,5,7,4,6,3
"13405",7,8,0,2,7,6,0
"13406",2,2,0,2,2,2,2
"13407",0,10,0,0,0,2,0
"13408",10,8,0,9,7,7,7
"13409",2,2,0,6,1,6,1
"13410",9,10,6,7,7,9,6
"13411",7,7,1,3,6,6,1
"13412",7,6,6,9,5,5,9
"13413",3,10,0,2,3,7,1
"13414",10,3,0,2,0,3,7
"13415",7,5,3,10,0,1,7
"13417",6,6,5,5,5,3,6
"13418",10,10,0,9,8,10,8
"13419",6,6,0,3,0,6,5
"13420",8,10,0,6,4,6,6
"13422",9,9,2,10,8,8,10
"13423",9,9,8,8,7,9,8
"13424",8,10,2,6,1,6,6
"13425",6,9,0,5,8,10,5
"13426",8,7,8,8,6,8,8
"13427",9,10,0,8,4,9,1
"13428",10,6,4,7,2,8,9
"13429",0,10,0,6,5,8,5
"13430",8,6,5,6,1,4,8
"13431",2,9,0,0,0,7,0
"13432",9,8,0,4,8,8,9
"13433",9,9,0,5,2,8,4
"13434",5,7,0,6,4,6,5
"13435",6,7,0,0,10,9,0
"13436",4,5,0,3,8,6,3
"13437",2,5,0,0,8,6,0
"13438",4,9,0,2,9,8,0
"13439",6,3,6,6,7,4,9
"13440",6,8,0,6,5,6,5
"13441",7,8,0,6,5,7,5
"13442",8,6,0,5,2,7,5
"13443",5,9,0,1,6,6,3
"13444",2,8,0,2,8,4,1
"13445",10,0,0,7,0,5,5
"13446",9,9,0,5,10,8,4
"13447",10,9,0,6,6,8,6
"13448",10,7,0,10,0,8,8
"13449",1,3,0,1,7,5,0
"13450",0,10,0,0,0,0,0
"13452",7,10,7,6,3,4,6
"13453",4,6,0,3,9,9,2
"13454",7,4,8,8,2,0,9
"13455",6,8,6,6,9,5,8
"13456",5,8,5,2,0,0,5
"13458",9,8,0,7,6,7,8
"13459",7,9,0,9,9,7,7
"13460",9,8,0,9,2,5,2
"13461",5,8,9,0,0,0,8
"13463",6,7,0,5,8,9,5
"13465",4,8,0,6,5,10,1
"13466",3,5,0,3,4,2,0
"13467",6,8,7,9,8,8,8
"13468",4,6,1,5,2,6,8
"13469",0,6,8,7,10,10,0
"13470",8,8,0,2,5,7,5
"13471",10,9,0,0,5,4,5
"13472",8,9,0,7,6,8,5
