"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"45265",2,6,1,2,1,0,0
"45266",0,10,4,6,0,0,0
"45267",10,10,9,0,9,9,10
"45268",2,5,1,3,3,1,1
"45269",3,0,3,0,2,8,2
"45270",5,5,5,5,5,5,5
"45271",9,0,5,0,5,9,10
"45272",1,5,1,10,1,1,1
"45273",4,6,7,5,0,2,0
"45274",8,1,5,0,3,4,3
"45275",4,9,7,5,5,4,5
"45276",0,5,10,1,0,0,0
"45277",4,3,7,9,1,2,1
"45278",3,5,3,3,3,3,3
"45279",2,2,9,8,1,3,1
"45280",5,0,6,0,3,4,0
"45281",2,0,3,0,0,5,3
"45282",4,4,4,4,4,4,4
"45283",10,0,8,0,0,9,0
"45284",0,5,9,0,0,3,0
"45285",9,4,10,0,1,2,8
"45286",8,0,5,0,6,6,6
"45287",5,1,2,0,10,7,9
"45288",9,2,4,0,1,10,7
"45289",5,5,8,5,2,5,2
"45290",5,2,7,0,7,6,8
"45291",5,0,5,0,4,10,1
"45292",1,7,2,5,0,1,1
"45293",0,5,3,2,0,0,0
"45294",0,0,0,0,0,0,0
"45295",0,8,1,2,0,0,0
"45296",3,0,1,2,0,3,0
"45297",2,0,4,0,0,5,1
"45298",4,9,6,0,0,0,3
"45299",0,7,1,4,0,2,1
"45300",0,9,1,4,3,0,2
"45301",8,1,1,1,8,4,7
"45302",0,10,1,2,4,1,0
"45303",8,9,0,4,7,0,4
"45304",0,8,4,7,1,2,1
"45306",1,6,3,4,3,8,0
"45307",10,0,8,0,1,5,3
"45308",9,0,5,0,1,2,3
"45309",2,2,3,2,1,3,2
"45312",4,4,4,0,8,4,2
"45313",0,5,0,5,0,0,0
"45314",0,8,3,8,1,1,0
"45315",6,5,6,1,6,6,1
"45316",2,7,4,0,3,0,3
"45317",1,4,10,0,0,5,3
"45318",7,1,5,1,1,1,3
"45319",0,3,1,3,0,0,0
"45320",2,4,3,2,3,2,2
"45321",1,3,2,0,1,2,1
"45322",1,7,2,2,2,1,1
"45323",8,2,5,2,5,6,5
"45324",1,3,1,1,8,1,0
"45325",1,10,1,4,0,0,1
"45326",4,1,2,10,2,2,2
"45327",1,5,0,1,2,2,0
"45328",0,0,0,0,0,0,0
"45329",3,7,6,0,3,2,4
"45330",5,0,5,0,0,8,6
"45331",1,8,3,5,2,2,1
"45332",1,3,5,0,5,6,3
"45333",9,0,5,0,5,5,10
"45334",2,8,5,0,0,0,3
"45335",2,4,4,4,0,6,1
"45336",0,2,2,6,0,2,0
"45337",0,7,0,0,0,0,0
"45338",2,0,0,0,10,5,5
"45339",0,10,0,5,1,1,0
"45340",8,1,10,1,1,4,2
"45341",0,5,3,0,0,1,0
"45342",0,9,0,4,2,1,0
