,AP_T05,AP_T07,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C
L6DV,14.285714,16.32653,18.367348,16.32653,14.285714,24.489796,19.387754,16.32653,28.571428,17.687075,16.32653,28.571428,6.122449,0.0,18.367348,18.367348,18.367348,28.571428,14.285714,12.244898,18.367348,16.32653,16.32653,16.32653,14.285714,18.367348,15.744898,18.367348
MJ,14.285714,18.367348,10.204082,8.163265,10.204082,12.244898,7.142857,10.204082,16.32653,9.523809,10.204082,20.408163,14.285714,18.367348,0.0,10.204082,10.204082,32.65306,12.244898,6.122449,10.204082,8.163265,10.204082,8.163265,14.285714,14.285714,8.030612,10.204082
MMIN,14.285714,18.367348,0.0,2.0408163,4.0816326,6.122449,7.142857,10.204082,10.204082,1.3605443,10.204082,14.285714,14.285714,18.367348,10.204082,0.0,0.0,30.612246,12.244898,8.163265,0.0,2.0408163,10.204082,2.0408163,16.32653,10.204082,8.520409,2.0408163
NANS,14.285714,18.367348,0.0,2.0408163,4.0816326,6.122449,7.142857,10.204082,10.204082,1.3605443,10.204082,14.285714,14.285714,18.367348,10.204082,0.0,0.0,30.612246,12.244898,8.163265,0.0,2.0408163,10.204082,2.0408163,16.32653,10.204082,8.520409,2.0408163
PLU1,28.571428,24.489796,30.612246,30.612246,32.65306,36.734695,35.714287,26.530613,40.816326,29.931973,26.530613,44.89796,32.65306,28.571428,32.65306,30.612246,30.612246,0.0,24.489796,30.612246,30.612246,30.612246,26.530613,30.612246,18.367348,38.77551,27.489796,30.612246
PLU2,10.204082,14.285714,12.244898,12.244898,14.285714,18.367348,15.306123,2.0408163,22.44898,11.564626,2.0408163,26.530613,14.285714,14.285714,12.244898,12.244898,12.244898,24.489796,0.0,10.204082,12.244898,12.244898,2.0408163,12.244898,10.204082,18.367348,9.438775,12.244898
RV,12.244898,16.32653,8.163265,6.122449,4.0816326,14.285714,11.22449,8.163265,18.367348,7.482993,8.163265,18.367348,8.163265,12.244898,6.122449,8.163265,8.163265,30.612246,10.204082,0.0,8.163265,6.122449,8.163265,6.122449,12.244898,10.204082,4.887755,8.163265
SCHU,14.285714,18.367348,0.0,2.0408163,4.0816326,6.122449,7.142857,10.204082,10.204082,1.3605443,10.204082,14.285714,14.285714,18.367348,10.204082,0.0,0.0,30.612246,12.244898,8.163265,0.0,2.0408163,10.204082,2.0408163,16.32653,10.204082,8.520409,2.0408163
STAR,14.285714,18.367348,2.0408163,0.0,2.0408163,8.163265,9.183674,10.204082,12.244898,1.3605443,10.204082,16.32653,12.244898,16.32653,8.163265,2.0408163,2.0408163,30.612246,12.244898,6.122449,2.0408163,0.0,10.204082,0.0,14.285714,12.244898,8.071428,2.0408163
WOOD,8.163265,12.244898,10.204082,10.204082,12.244898,16.32653,13.265306,0.0,20.408163,9.523809,0.0,24.489796,12.244898,16.32653,10.204082,10.204082,10.204082,26.530613,2.0408163,8.163265,10.204082,10.204082,0.0,10.204082,12.244898,16.32653,7.785714,10.204082
YOUN,14.285714,18.367348,2.0408163,0.0,2.0408163,8.163265,9.183674,10.204082,12.244898,1.3605443,10.204082,16.32653,12.244898,16.32653,8.163265,2.0408163,2.0408163,30.612246,12.244898,6.122449,2.0408163,0.0,10.204082,0.0,14.285714,12.244898,8.071428,2.0408163
AP_K2,18.367348,18.367348,16.32653,14.285714,16.32653,22.44898,19.387754,12.244898,26.530613,15.646258,12.244898,30.612246,18.367348,14.285714,14.285714,16.32653,16.32653,18.367348,10.204082,12.244898,16.32653,14.285714,12.244898,14.285714,0.0,22.44898,13.040816,16.32653
AP_K3,16.32653,24.489796,10.204082,12.244898,10.204082,16.32653,7.142857,16.32653,16.32653,11.564626,16.32653,16.32653,12.244898,18.367348,14.285714,10.204082,10.204082,38.77551,18.367348,10.204082,10.204082,12.244898,16.32653,12.244898,22.44898,0.0,13.404762,12.244898
AP_KRP,12.234694,14.132653,8.520409,8.071428,8.969388,14.561225,11.459184,7.785714,18.642857,8.595238,7.785714,21.581633,12.010204,15.744898,8.030612,8.520409,8.520409,27.489796,9.438775,4.887755,8.520409,8.071428,7.785714,8.071428,13.040816,13.404762,0.0,9.27551
DODG_C,14.285714,18.367348,2.0408163,2.0408163,4.0816326,8.163265,9.183674,10.204082,12.244898,2.0408163,10.204082,16.32653,14.285714,18.367348,10.204082,2.0408163,2.0408163,30.612246,12.244898,8.163265,2.0408163,2.0408163,10.204082,2.0408163,16.32653,12.244898,9.27551,0.0
